geo,time,ny_gdp_disc_kn
afg,2016,1222916881100
afg,2017,1255287530100
afg,2018,1270215762500
afg,2019,1319901565700
afg,2020,1288869351100
ago,2002,986900
ago,2003,-197125900
ago,2004,-3371206600
ago,2005,-1106553800
ago,2006,4039119800
ago,2007,3339951300.00006
ago,2008,-3925545500
ago,2009,-15110568000
ago,2010,6887402400
ago,2011,2032879100
ago,2012,-3946450300
ago,2013,-3688335100
ago,2014,-17067686400
ago,2015,-14934518700
ago,2016,37512608000
ago,2017,26449596400
ago,2018,-12155855000
ago,2019,-7165000000
ago,2020,-59731000000
alb,2010,12509910000
alb,2011,16595970000
alb,2012,20905613825.6188
alb,2013,8470352349.37897
alb,2014,35567568913.7939
alb,2015,22022480282.4091
alb,2016,34547342128.688
alb,2017,38163853671.454
alb,2018,55037627343.3962
alb,2019,42985116687.3361
are,2010,-0.40399
are,2011,32.1391
are,2012,32.672
are,2013,-48.42798
are,2014,49.133
are,2015,0.74799
are,2016,77.78497
are,2017,27.742
are,2018,11.547
are,2019,124829003482.123
arg,2004,0
arg,2005,0
arg,2006,-100
arg,2007,0
arg,2008,0
arg,2009,-100
arg,2010,-100
arg,2011,0
arg,2012,0
arg,2013,0
arg,2014,100
arg,2015,-100.00002
arg,2016,0.00002
arg,2017,0
arg,2018,-200
arg,2019,-3393536900
arg,2020,9713184500.00002
aus,2020,0
aut,1970,-3813000
aut,1971,-1767000
aut,1972,-1876000
aut,1973,2295000
aut,1974,86000
aut,1975,-2038000
aut,1976,0
aut,1977,0
aut,1978,0
aut,1979,0
aut,1980,0
aut,1981,0
aut,1982,0
aut,1983,0
aut,1984,0
aut,1985,0
aut,1986,0
aut,1987,0
aut,1988,0
aut,1989,0
aut,1990,0
aut,1991,0
aut,1992,0
aut,1993,0
aut,1994,0
aut,1995,0
aut,1996,0
aut,1997,0
aut,1998,0
aut,1999,0
aut,2000,0
aut,2001,0
aut,2002,0
aut,2003,0
aut,2004,0
aut,2005,0
aut,2006,0
aut,2007,0
aut,2008,0
aut,2009,0
aut,2010,0
aut,2011,0
aut,2012,0
aut,2013,0
aut,2014,0
aut,2015,0
aut,2016,0
aut,2017,0
aut,2018,0
aut,2019,0
aut,2020,0
aze,2005,-515700000
aze,2006,-563681100
aze,2007,-1762020975
aze,2008,-815962852
aze,2009,-831211211
aze,2010,-2254863498
aze,2011,-2567062735
aze,2012,-2632853947
bdi,2005,0
bdi,2006,0
bdi,2007,49700
bdi,2008,7600
bdi,2009,30200
bdi,2010,79100
bdi,2011,119999.99997
bdi,2012,97400
bdi,2013,188399.99997
bdi,2014,16205014600
bdi,2015,411187697300
bdi,2016,275792720700
bdi,2017,373476170300
bdi,2018,237500
bdi,2019,241200
bdi,2020,798614500
bel,1970,-268831000
bel,1971,82709000
bel,1972,151599000
bel,1973,602026000
bel,1974,1288849000
bel,1975,62902000
bel,1976,66448000
bel,1977,66902000
bel,1978,68772000
bel,1979,70412000
bel,1980,0
bel,1981,0
bel,1982,0
bel,1983,0
bel,1984,0
bel,1985,0
bel,1986,0
bel,1987,0
bel,1988,0
bel,1989,0
bel,1990,0
bel,1991,0
bel,1992,0
bel,1993,0
bel,1994,0
bel,1995,0
bel,1996,0
bel,1997,0
bel,1998,0
bel,1999,0
bel,2000,0
bel,2001,0
bel,2002,0
bel,2003,0
bel,2004,0
bel,2005,0
bel,2006,0
bel,2007,0
bel,2008,0
bel,2009,0
bel,2010,0
bel,2011,0
bel,2012,0
bel,2013,0
bel,2014,0
bel,2015,0
bel,2016,0
bel,2017,0
bel,2018,0
bel,2019,0
bel,2020,0
ben,2015,0
ben,2016,0
ben,2017,-451100
ben,2018,-51799.99976
ben,2019,100
ben,2020,-100
bfa,2015,0
bfa,2016,0
bfa,2017,-1469731500
bfa,2018,5313095700
bfa,2019,8907772000
bgd,2006,33642660200
bgd,2007,79186000000
bgd,2008,11432000000
bgd,2009,39359000000
bgd,2010,16531190000
bgd,2011,7322848800
bgd,2012,36345305700
bgd,2013,64116984400
bgd,2014,36831584700
bgd,2015,136148000000
bgd,2016,135990000000
bgd,2017,124115000000
bgd,2018,144613000000
bgd,2019,160881000000
bgd,2020,172566000000
bgr,2015,0
bgr,2016,0
bgr,2017,109616999.99999
bgr,2018,212773000
bgr,2019,267284000
bgr,2020,307678000.00001
bhr,2010,0
bhr,2011,-10000
bhr,2012,-10000
bhr,2013,-10000
bhr,2014,-10000
bhr,2015,0
bhr,2016,0
bhr,2017,0
bhr,2018,17320000
bhr,2019,48340000
bhs,2012,10000
bhs,2013,200680000
bhs,2014,288130000
bhs,2015,408070000
bhs,2016,689180000
bhs,2017,375300000
bhs,2018,209860000
bhs,2019,231420000
bhs,2020,-140760000
blz,2000,33219700
blz,2001,15861300
blz,2002,-76077100
blz,2003,-31586900
blz,2004,-88546600
blz,2005,-105818000
blz,2006,-244045200
blz,2007,-81228600
blz,2008,-17363900
blz,2009,-99235500
blz,2010,-35022000
blz,2011,-47391600
blz,2012,-45377800
blz,2013,-98058900
blz,2014,-9568600
blz,2015,38647400
blz,2016,92791700
blz,2017,144697200
blz,2018,120302100
blz,2019,357803300
blz,2020,-9657670.102
bmu,2014,-182752136.35244
bmu,2015,-324701927.63181
bmu,2016,-922878512.84193
bmu,2017,-207507777.92428
bmu,2018,-162338906.58526
bmu,2019,-76857000
bmu,2020,-100000
bol,1990,1000
bol,1991,0
bol,1992,1000
bol,1993,0
bol,1994,1000
bol,1995,0
bol,1996,0
bol,1997,-1000
bol,1998,0
bol,1999,1000
bol,2000,0
bol,2001,0
bol,2002,0
bol,2003,1000
bol,2004,1000
bol,2005,0
bol,2006,0
bol,2007,1000
bol,2008,-1000
bol,2009,0
bol,2010,0.29729
bol,2011,-0.22776
bol,2012,-0.38909
bol,2013,0.02382
bol,2014,-0.27227
bol,2015,0.04512
bol,2016,0.14098
bol,2017,-0.0936
