global,time,ny_gdp_fcst_cd
world,1970,3219092718263.3999
world,1971,3565541771983.62012
world,1972,4126892380835.68018
world,1973,5037954362923.44922
world,1974,5790016511756.90039
world,1975,6454823552301.13965
world,1976,7031590851373.11035
world,1977,7977195453848.55859
world,1978,9498557776931.91016
world,1979,11021944451833.59961
world,1980,12350522634260.69922
world,1981,12632710274650.30078
world,1982,12459402810652.40039
world,1983,12751931396150.59961
world,1984,13186929704540.30078
world,1985,13867472113885.59961
world,1986,16545492931790
world,1987,18918116809764.10156
world,1988,21181393693751.39844
world,1989,22053511369136.69531
world,1990,24797227159684.5
world,1991,25834591972348.69531
world,1992,27631221127911
world,1993,28097744006918.89453
world,1994,30024559271975.60156
world,1995,33258690770407.19922
world,1996,33752553999545.10156
world,1997,33852162898329.19922
world,1998,33887700453524.5
world,1999,35109583107259.10156
world,2000,36219674619362.09375
world,2001,35862171689940.39844
world,2002,37120764957623.20312
world,2003,41476843619688.89844
world,2004,46550775802849.20312
world,2005,50112054966319.60156
world,2006,53747329279162.70312
world,2007,59850727426696.49219
world,2008,64869374101334.20312
world,2009,60971045517668.39844
world,2010,65674474844641.79688
world,2011,71706951465273.09375
world,2012,72413455913276
world,2013,73423300807746.70312
world,2014,74727667344616.70312
world,2015,69353200036262
world,2016,70453167577636.20312
world,2017,74515870909652.28125
world,2018,78131571134028.09375
