geo,time,ny_gdp_fcst_kn
abw,2000,3094730000
afg,2002,441839253600
afg,2003,476357915700
afg,2004,480461284200
afg,2005,533895426200
afg,2006,561380600300
afg,2007,642779133100
afg,2008,668070050400
afg,2009,804306034700
afg,2010,872104495400
afg,2011,922040615400
afg,2012,1038411466100
afg,2013,1094877721700
afg,2014,1129214288500
afg,2015,1141812759200
afg,2016,1164587881100
afg,2017,1191626857000
afg,2018,1206212198700
afg,2019,1259516055100
afg,2020,1231687124700
ago,2002,660010986800
ago,2003,675677999900
ago,2004,752882229900
ago,2005,867023136800
ago,2006,968481574200
ago,2007,1105436370800
ago,2008,1220323111200
ago,2009,1229028686000
ago,2010,1277238773900
ago,2011,1320726880600
ago,2012,1435631192800
ago,2013,1506658334200
ago,2014,1568035058200
ago,2015,1607337495700
ago,2016,1587026703200
ago,2017,1584457833000
ago,2018,1546430464900
ago,2019,1469149000000
ago,2020,1377028000000
alb,1980,514052219674.53003
alb,1981,543587766145.26898
alb,1982,559615949428.64404
alb,1983,565799387725.17603
alb,1984,558717808086.05005
alb,1985,568666602879.03003
alb,1986,600723781562.66003
alb,1987,595990979811.26404
alb,1988,587527692822.15198
alb,1989,645320128399.89099
alb,1990,556155415389.40698
alb,1991,413329164898.59998
alb,1992,384588670498.69696
alb,1993,427027716198.55402
alb,1994,475992643298.388
alb,1995,499041014898.31
alb,1996,538637213498.17499
alb,1997,483653745498.362
alb,1998,524812423060.00293
alb,1999,599824974939.84802
alb,2000,635420851642.04797
alb,2001,692780573192.38501
alb,2002,722369605541.62891
alb,2003,755790535524.71899
alb,2004,800170110237.79004
alb,2005,841922263675.21204
alb,2006,891287931974.21484
alb,2007,943481377526.90894
alb,2008,1001455141683.58997
alb,2009,1038541124322.23999
alb,2010,1077485000000
alb,2011,1111672000000
alb,2012,1123175738998.75
alb,2013,1135846575426.06006
alb,2014,1160057499264.70996
alb,2015,1186445065514.72998
alb,2016,1224300895245.3999
alb,2017,1271186807583.04004
alb,2018,1323394539584.78003
alb,2019,1355208339434.5
alb,2020,1308918220000
arg,1965,182132431957.99097
arg,1966,181335565572.112
arg,1967,187022054665.79401
arg,1968,194712477879.586
arg,1969,213310634938.28101
arg,1970,223845570012.46896
arg,1971,235619130009.39801
arg,1972,239429318517.56201
arg,1973,246783449748.87
arg,1974,260099058427.36496
arg,1975,260151357158.28601
arg,1976,256137839947.87701
arg,1977,273515685173.89801
arg,1978,262646119187.733
arg,1979,287104591374.94598
arg,1980,296714267522.02802
arg,1981,281387225475.27802
arg,1982,279254956428.10797
arg,1983,292383608844.10901
arg,1984,296887456492.40997
arg,1985,281174678174.75201
arg,1986,298979476598.77698
arg,1987,308268723211.87598
arg,1988,305453871826.82703
arg,1989,283647345123.36902
arg,1990,277415416275.06897
arg,1991,304298208800
arg,1992,326788646800
arg,1993,347678391500
arg,1994,369321429200
arg,1995,359640716400
arg,1996,378958803700
arg,1997,409111387400
arg,1998,427586634700
arg,1999,415433893300
arg,2000,412629137100
arg,2001,394500817100
arg,2002,355186134300
arg,2003,381660031000
arg,2004,412427459400
arg,2005,450303332300
arg,2006,484489086300
arg,2007,523313962100
arg,2008,542819280800
arg,2009,511683810200
arg,2010,562997536700
arg,2011,593520270400
arg,2012,585086289000
arg,2013,597995549500
arg,2014,587117338600
arg,2015,602940231800
arg,2016,589623055500
arg,2017,604787145200
arg,2018,588532688700
arg,2019,578775431900
arg,2020,521411640600
arm,1990,2527755741060
arm,1991,2246304848400
arm,1992,1306785100600
arm,1993,1184997629100
arm,1994,1256902766000
arm,1995,1334247748600
arm,1996,1391989049200
arm,1997,1399110758100
arm,1998,1483057403700
arm,1999,1542379699800
arm,2000,1622583444200
arm,2001,1765370787300
arm,2002,1996634360400
arm,2003,2290139611400
arm,2004,2548925387500
arm,2005,2905774941700
arm,2006,3283525684200
arm,2007,3667698189200
arm,2008,3880424684200
arm,2009,3372089050600
arm,2010,3402437852000
arm,2011,3565754868900
arm,2012,3808226200000
arm,2013,3930089438400
arm,2014,4083362926500
arm,2015,4258947532300
arm,2016,4284501217500
arm,2017,4597269806400
arm,2018,4822536026900
arm,2019,5193871300971.2998
arm,2020,4825106438602.33984
atg,1977,705470109
atg,1978,728142172
atg,1979,785090328
atg,1980,843897677
atg,1981,872057877
atg,1982,863671241
atg,1983,917594844
atg,1984,1012907423
atg,1985,1088945995
atg,1986,1178549373
atg,1987,1262748107
atg,1988,1331171876
atg,1989,1412288171
atg,1990,1451330000
atg,1991,1489870000
atg,1992,1504750000
atg,1993,1587140000
atg,1994,1687900000
atg,1995,1602650000
atg,1996,1700400000
atg,1997,1803410000
atg,1998,1896520000
atg,1999,1979920000
atg,2000,2162560000
atg,2001,2034970000
atg,2002,2043050000
atg,2003,2164410000
atg,2004,2247110000
atg,2005,2418060000
atg,2006,2707530000
atg,2007,2894750000
atg,2008,2935340000
atg,2009,2624150000
atg,2010,2380530000
atg,2011,2330370000
atg,2012,2395100000
atg,2013,2421450000
atg,2014,2513740000
atg,2015,2604070000
atg,2016,2749570000
atg,2017,2845720000
atg,2018,3055050000
atg,2019,3238480000
atg,2020,2552030000
aus,1975,470854000000
aus,1976,479419000000
aus,1977,496830000000
aus,1978,502857000000
aus,1979,528116000000
aus,1980,541482000000
aus,1981,559766000000
aus,1982,581543000000
aus,1983,561571000000
aus,1984,589102000000
aus,1985,623234000000
aus,1986,648215000000
aus,1987,661496000000
aus,1988,705319000000
aus,1989,741600000000
aus,1990,771843000000
aus,1991,773728000000
aus,1992,772178000000
aus,1993,799137000000
aus,1994,832510000000
aus,1995,864714000000
aus,1996,899288000000
aus,1997,935619000000
aus,1998,976241000000
aus,1999,1025017000000
aus,2000,1066030000000
aus,2001,1091720000000
aus,2002,1135359000000
aus,2003,1168578000000
aus,2004,1218288000000
aus,2005,1258076000000
aus,2006,1292871000000
aus,2007,1342330000000
aus,2008,1392805000000
aus,2009,1422228000000
aus,2010,1455483000000
aus,2011,1492137000000
aus,2012,1553025000000
aus,2013,1594518000000
aus,2014,1637777000000
aus,2015,1675474000000
aus,2016,1718104000000
aus,2017,1758187000000
aus,2018,1810665000000
aus,2019,1852530000000
aus,2020,1857042000000
aut,1970,105680003000
aut,1971,110906496000
aut,1972,117468953000
aut,1973,123485679000
aut,1974,128809973000
aut,1975,128332704000
aut,1976,134543076000
aut,1977,140702403000
aut,1978,140741003000
aut,1979,148571069000
aut,1980,151231209000
aut,1981,150980281000
aut,1982,154254827000
aut,1983,158532659000
aut,1984,159125088000
aut,1985,163545747000
aut,1986,167646898000
aut,1987,169617207000
aut,1988,174838383000
aut,1989,181662527000
aut,1990,190304031000
aut,1991,196675177000
aut,1992,201092384000
aut,1993,202192666000
aut,1994,207103563000
aut,1995,213848770000
aut,1996,217921170000
aut,1997,222495980000
aut,1998,231196400000
aut,1999,238687400000
aut,2000,247899250000
aut,2001,251358620000
aut,2002,255367240000
aut,2003,258210940000
aut,2004,265754900000
aut,2005,271966690000
aut,2006,282210880000
aut,2007,293116590000
aut,2008,297902620000
aut,2009,285417510000
aut,2010,290885610000
aut,2011,300382110000
aut,2012,301970720000
aut,2013,302402240000
aut,2014,304464260000
aut,2015,307037680000
aut,2016,313032690000
aut,2017,320820660000
aut,2018,329764300000
aut,2019,334287680000
aze,1992,8347745974.9486
aze,1993,6692224277.60405
aze,1994,5534648977.17731
aze,1995,4881670458.76885
aze,1996,4947562320.34692
aze,1997,5342629894.71502
aze,1998,5913376733.85049
aze,1999,6340494654.48075
aze,2000,6223321478.89636
aze,2001,6788082721.44573
aze,2002,7411671947.61666
aze,2003,8161258996.90745
aze,2004,8908946079.02421
aze,2005,11576000000
aze,2006,15789664000
aze,2007,19872178395.8921
aze,2008,21942267307.0582
aze,2009,24100189799.8928
aze,2010,25252521580.6058
aze,2011,25119524605.4854
aze,2012,25588549466.2503
aze,2013,27030380367.2837
aze,2014,27733118489.7522
aze,2015,27979511616.9855
aze,2016,27140126268.476
aze,2017,27140126268.476
aze,2018,27547228162.5031
aze,2019,28208361638.4032
aze,2020,26967193726.3135
bdi,1960,417856965022.66895
bdi,1961,361111312835.02399
bdi,1962,394651363056.922
bdi,1963,411971617482.16998
bdi,1964,429030493533.83398
bdi,1965,439495499048.54401
bdi,1966,459203670876.68896
bdi,1967,523668034206.95599
bdi,1968,516740728885.44598
bdi,1969,510722346595.16302
bdi,1970,604264429214.61206
bdi,1971,638267637417.24097
bdi,1972,594723744290.59204
bdi,1973,636406280033.98401
bdi,1974,628744497398.38
bdi,1975,637231489077.69482
bdi,1976,677564074457.65698
bdi,1977,720019585863.06396
bdi,1978,726285199961.05786
bdi,1979,740226833145.69604
bdi,1980,767512672588.09692
bdi,1981,866874630150.7699
bdi,1982,849182410898.27502
bdi,1983,882942698181.91199
bdi,1984,880125497809.03894
bdi,1985,987647310927.21692
bdi,1986,1021045673227.06995
bdi,1987,1068681424712.96997
bdi,1988,1087780238982.75
bdi,1989,1086677420343.55005
bdi,1990,1168847437309.68994
bdi,1991,1205681581000
bdi,1992,1237215215400
bdi,1993,1170724232800
bdi,1994,1081724233200
bdi,1995,1006832756600
bdi,1996,962070557100
bdi,1997,1067394620300
bdi,1998,1097010414600
bdi,1999,1103086581700
bdi,2000,1069690049600
bdi,2001,1076415301800
bdi,2002,1114385199300
bdi,2003,1087089100200
bdi,2004,1117997996600
bdi,2005,1109117000000
bdi,2006,1166570000000
bdi,2007,1211077000000
bdi,2008,1265523000000
bdi,2009,1311619000000
bdi,2010,1356243000000
bdi,2011,1397612000000
bdi,2012,1467750000000
bdi,2013,1534737000000
bdi,2014,1598000000000
bdi,2015,1535263000000
bdi,2016,1526907000000
bdi,2017,1534541000000
bdi,2018,1560995000000
bdi,2019,1589755578100
bdi,2020,1594391533100
bel,1970,146301719000
bel,1971,151907356000
bel,1972,159585291000
bel,1973,168582745000
bel,1974,175996349000
bel,1975,169001777000
bel,1976,178680412000
bel,1977,179624523000
bel,1978,184801286000
bel,1979,189242837000
bel,1980,197744757000
bel,1981,197204129000
bel,1982,198735250000
bel,1983,199599465000
bel,1984,205224097000
bel,1985,208594141000
bel,1986,211883946000
bel,1987,214617338000
bel,1988,224468337000
bel,1989,231408365000
bel,1990,238915328000
bel,1991,243377150000
bel,1992,246044773000
bel,1993,242234072000
bel,1994,249258285000
bel,1995,256275500000
