geo,time,ny_gdp_ngas_rt_zs
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
abw,1990,0
abw,1991,0
abw,1992,0
abw,1993,0
abw,1994,0
abw,1995,0
abw,1996,0
abw,1997,0
abw,1998,0
abw,1999,0
abw,2000,0
abw,2001,0
abw,2002,0
abw,2003,0
abw,2004,0
abw,2005,0
abw,2006,0
abw,2007,0
abw,2008,0
abw,2009,0
abw,2010,0
abw,2011,0
abw,2012,0
abw,2013,0
abw,2014,0
abw,2015,0
abw,2016,0
abw,2017,0
afg,1970,0
afg,1971,0
afg,1972,0.0042
afg,1973,0.04793
afg,1974,0.17011
afg,1975,0.43629
afg,1976,0.55065
afg,1977,0.54136
afg,1978,0.26917
afg,1979,0.40727
afg,1980,0.521
afg,1981,0.17626
afg,2002,0.03212
afg,2003,0.01157
afg,2004,0.01039
afg,2005,0.01264
afg,2006,0.01489
afg,2007,0.01551
afg,2008,0.01699
afg,2009,0.0114
afg,2010,0.03439
afg,2011,0.06799
afg,2012,0.05838
afg,2013,0.0431
afg,2014,0.04408
afg,2015,0.03975
afg,2016,0.02861
afg,2017,0.0306
afg,2018,0.04257
afg,2019,0.03068
ago,1980,0.04074
ago,1981,0.01992
ago,1982,0.00593
ago,1983,0.02781
ago,1984,0.02516
ago,1985,0.02204
ago,1986,0.02891
ago,1987,0.01929
ago,1988,0.01892
ago,1989,0.01602
ago,1990,0.01779
ago,1991,0.03815
ago,1992,0.0385
ago,1993,0.07132
ago,1994,0.08075
ago,1995,0.07175
ago,1996,0.06539
ago,1997,0.06766
ago,1998,0.05434
ago,1999,0.09032
ago,2000,0.14405
ago,2001,0.17566
ago,2002,0.11598
ago,2003,0.11845
ago,2004,0.11439
ago,2005,0.07668
ago,2006,0.07857
ago,2007,0.08851
ago,2008,0.06597
ago,2009,0.07885
ago,2010,0.08629
ago,2011,0.1198
ago,2012,0.10761
ago,2013,0.11362
ago,2014,0.08342
ago,2015,0.06157
ago,2016,0.08519
ago,2017,0.18603
ago,2018,0.77752
ago,2019,0.72308
alb,1984,0.50778
alb,1985,0.44642
alb,1986,0.48393
alb,1987,0.32462
alb,1988,0.52136
alb,1989,0.50475
alb,1990,0.31027
alb,1991,0.26466
alb,1992,0.22471
alb,1993,0.04107
alb,1994,0.0216
alb,1995,0.01708
alb,1996,0.01607
alb,1997,0.01528
alb,1998,0.00834
alb,1999,0.0034
alb,2000,0.02518
alb,2001,0.04189
alb,2002,0.02936
alb,2003,0.02479
alb,2004,0.01708
alb,2005,0.01578
alb,2006,0.02738
alb,2007,0.00824
alb,2008,0.03137
alb,2009,0.02897
alb,2010,0.00763
alb,2011,0.01078
alb,2012,0.02014
alb,2013,0.02084
alb,2014,0.02451
alb,2015,0.02148
alb,2016,0.01651
alb,2017,0.02576
alb,2018,0.02841
alb,2019,0.022
are,1975,0.07119
are,1976,0.0716
are,1977,0.16289
are,1978,0.29564
are,1979,0.44215
are,1980,0.41832
are,1981,0.22087
are,1982,0.04618
are,1983,0.32946
are,1984,0.40693
are,1985,0.53314
are,1986,0.65218
are,1987,0.47681
are,1988,0.4493
are,1989,0.46679
are,1990,0.47607
are,1991,0.50272
are,1992,0.37189
are,1993,0.483
are,1994,0.3932
are,1995,0.50347
are,1996,0.63563
are,1997,0.74847
are,1998,0.61854
are,1999,0.51353
are,2000,0.78189
are,2001,0.97643
are,2002,0.82016
are,2003,0.77693
are,2004,0.76901
are,2005,1.02278
are,2006,1.1033
are,2007,1.10976
are,2008,1.06493
are,2009,1.21604
are,2010,0.92922
are,2011,1.27824
are,2012,1.35392
are,2013,1.35235
are,2014,1.19746
are,2015,0.92582
are,2016,0.52105
are,2017,0.56368
are,2018,0.73773
are,2019,0.55901
arg,1970,0.01704
arg,1971,0.02057
arg,1972,0.01494
arg,1973,0.01195
arg,1974,0.01964
arg,1975,0.06417
arg,1976,0.05428
arg,1977,0.01953
arg,1978,0.02534
arg,1979,0.08261
arg,1980,0.16192
arg,1981,0.15747
arg,1982,0.07198
arg,1983,0.17366
arg,1984,0.21716
arg,1985,0.20321
arg,1986,0.16191
arg,1987,0.11254
arg,1988,0.12069
arg,1989,0.28653
arg,1990,0.16147
arg,1991,0.13001
arg,1992,0.09504
arg,1993,0.11164
arg,1994,0.09049
arg,1995,0.10056
arg,1996,0.12094
arg,1997,0.12549
arg,1998,0.1115
arg,1999,0.16228
arg,2000,0.25917
arg,2001,0.28106
arg,2002,0.72573
arg,2003,0.62299
arg,2004,0.55805
arg,2005,0.61199
arg,2006,0.65664
arg,2007,0.54532
arg,2008,0.49475
arg,2009,0.5399
arg,2010,0.35093
arg,2011,0.41948
arg,2012,0.45397
arg,2013,0.44265
arg,2014,0.34008
arg,2015,0.19317
arg,2016,0.13795
arg,2017,0.17418
arg,2018,0.37937
arg,2019,0.34457
arm,1990,0
arm,1991,0
arm,1992,0
arm,1993,0
arm,1994,0
arm,1995,0
arm,1996,0
arm,1997,0
arm,1998,0
arm,1999,0
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,0
arm,2006,0
