geo,time,ny_gdp_pcap_cd
abw,1986,6472.39871
abw,1987,7885.15893
abw,1988,9765.90921
abw,1989,11392.26915
abw,1990,12306.71768
abw,1991,13495.7943
abw,1992,14045.47457
abw,1993,14938.68157
abw,1994,16239.98785
abw,1995,16439.35636
abw,1996,16583.87586
abw,1997,17927.95944
abw,1998,19077.68743
abw,1999,19355.33354
abw,2000,20617.75047
abw,2001,20670.36701
abw,2002,20436.88713
abw,2003,20833.97636
abw,2004,22568.37499
abw,2005,23300.73836
abw,2006,24046.22638
abw,2007,25834.11178
abw,2008,27083.63486
abw,2009,24631.18205
abw,2010,23513.5277
abw,2011,24985.01392
abw,2012,24712.49326
abw,2013,26441.61994
abw,2014,26893.01151
abw,2015,28396.90842
abw,2016,28452.17061
abw,2017,29350.80502
abw,2018,30253.27936
afg,1960,59.77323
afg,1961,59.8609
afg,1962,58.45801
afg,1963,78.70643
afg,1964,82.09531
afg,1965,101.10833
afg,1966,137.5943
afg,1967,160.89843
afg,1968,129.10831
afg,1969,129.32976
afg,1970,156.51877
afg,1971,159.56751
afg,1972,135.31723
afg,1973,143.14465
afg,1974,173.65362
afg,1975,186.51084
afg,1976,197.44551
afg,1977,224.225
afg,1978,247.35409
afg,1979,275.73812
afg,1980,272.65551
afg,1981,264.1112
afg,2002,179.42658
afg,2003,190.68381
afg,2004,211.38207
afg,2005,242.03131
afg,2006,263.7336
afg,2007,359.69316
afg,2008,364.66354
afg,2009,437.26874
afg,2010,543.30653
afg,2011,591.19003
afg,2012,638.84585
afg,2013,624.31545
afg,2014,614.22334
afg,2015,556.00722
afg,2016,512.01278
afg,2017,516.67986
afg,2018,485.66842
afg,2019,494.17935
afg,2020,516.74787
ago,1980,710.98156
ago,1981,642.38148
ago,1982,619.9599
ago,1983,623.44005
ago,1984,637.7151
ago,1985,758.23788
ago,1986,685.26975
ago,1987,756.26207
ago,1988,792.30305
ago,1989,890.55359
ago,1990,947.70426
ago,1991,865.69273
ago,1992,656.36202
ago,1993,441.20084
ago,1994,328.67315
ago,1995,397.17948
ago,1996,522.6437
ago,1997,514.29515
ago,1998,423.59369
ago,1999,387.78512
ago,2000,556.83863
ago,2001,527.33353
ago,2002,872.49444
ago,2003,982.96101
ago,2004,1255.56451
ago,2005,1902.42215
ago,2006,2599.56595
ago,2007,3121.99609
ago,2008,4080.94103
ago,2009,3122.7816
ago,2010,3587.88364
ago,2011,4615.46822
ago,2012,5100.09703
ago,2013,5254.88113
ago,2014,5408.4117
ago,2015,4166.97983
ago,2016,3506.07313
ago,2017,4095.81006
ago,2018,3289.64399
ago,2019,2809.62609
ago,2020,1776.16687
alb,1984,639.48474
alb,1985,639.86591
alb,1986,693.87347
alb,1987,674.79338
alb,1988,652.77432
alb,1989,697.9956
alb,1990,617.23044
alb,1991,336.58699
alb,1992,200.85222
alb,1993,367.27923
alb,1994,586.41634
alb,1995,750.60445
alb,1996,1009.97727
alb,1997,717.38005
alb,1998,813.7894
alb,1999,1033.24253
alb,2000,1126.68334
alb,2001,1281.65983
alb,2002,1425.12422
alb,2003,1846.12012
alb,2004,2373.58129
alb,2005,2673.78658
alb,2006,2972.74292
alb,2007,3595.03806
alb,2008,4370.53992
alb,2009,4114.1349
alb,2010,4094.34839
alb,2011,4437.14261
alb,2012,4247.63005
alb,2013,4413.06201
alb,2014,4578.63321
alb,2015,3952.80254
alb,2016,4124.05539
alb,2017,4531.01937
alb,2018,5287.66369
alb,2019,5395.65953
alb,2020,5246.09635
and,1970,3238.69026
and,1971,3496.53202
and,1972,4218.2716
and,1973,5342.16856
and,1974,6320.80963
and,1975,7169.10101
and,1976,7151.24991
and,1977,7751.84331
and,1978,9127.81228
and,1979,11818.47334
and,1980,12378.78451
and,1981,10372.78605
and,1982,9610.02062
and,1983,8025.20764
and,1984,7728.90669
and,1985,7775.61422
and,1986,10361.14777
and,1987,12615.12618
and,1988,14304.6406
and,1989,15165.28126
and,1990,18878.85231
and,1991,19534.26363
and,1992,20549.80558
and,1993,16515.6584
and,1994,16235.06804
and,1995,18458.17399
and,1996,19016.28819
and,1997,18355.62786
and,1998,18895.11066
and,1999,19262.30899
and,2000,21854.2468
and,2001,22970.51221
and,2002,25067.24006
and,2003,32272.84589
and,2004,37966.18725
and,2005,40064.22493
and,2006,42674.75897
and,2007,47804.84993
and,2008,48719.65877
and,2009,43504.21565
and,2010,40850.24814
and,2011,43334.81141
and,2012,38686.46126
and,2013,39540.72481
and,2014,41303.92937
and,2015,35770.7767
and,2016,37475.63506
and,2017,38964.90448
and,2018,41791.96984
and,2019,40897.33087
are,1975,26848.08818
are,1976,30117.94893
are,1977,33823.18166
are,1978,28457.07803
are,1979,33512.63342
are,1980,42764.54056
are,1981,44987.53799
are,1982,40025.82262
are,1983,34843.15963
are,1984,32309.83271
are,1985,29720.89772
are,1986,23467.87932
are,1987,23726.30705
are,1988,22295.11871
are,1989,24028.2625
are,1990,27729.39059
are,1991,26612.25311
are,1992,26420.85988
are,1993,25596.73939
are,1994,25848.01625
are,1995,27221.93441
are,1996,28975.07996
are,1997,29512.67479
are,1998,26899.60177
are,1999,28470.88586
are,2000,33291.36625
are,2001,31280.75586
are,2002,31567.54631
are,2003,33499.10278
are,2004,36333.18733
are,2005,39365.45964
are,2006,41907.42147
are,2007,41809.46216
are,2008,44498.94051
are,2009,32024.19778
are,2010,33893.26387
are,2011,39194.67224
are,2012,40976.49075
are,2013,42412.6395
are,2014,43751.80565
are,2015,38663.4005
are,2016,38141.86713
are,2017,40644.79119
are,2018,43839.32449
are,2019,42701.44305
are,2020,36284.55524
arg,1962,1155.89072
arg,1963,850.30458
arg,1964,1173.23811
arg,1965,1279.11378
arg,1966,1272.8032
arg,1967,1062.54341
arg,1968,1141.08043
arg,1969,1329.05855
arg,1970,1322.59064
arg,1971,1372.37417
arg,1972,1408.86538
arg,1973,2097.02283
arg,1974,2844.86331
arg,1975,2027.3372
arg,1976,1948.22469
arg,1977,2129.70836
arg,1978,2146.36496
arg,1979,2520.92072
arg,1980,2758.83482
arg,1981,2776.32209
arg,1982,2927.89736
arg,1983,3553.37751
arg,1984,2659.70824
arg,1985,2926.12649
arg,1986,3613.62171
arg,1987,3562.87606
arg,1988,3985.19247
arg,1989,2383.86747
arg,1990,4333.48337
arg,1991,5735.35998
arg,1992,6823.53884
arg,1993,6969.11973
arg,1994,7483.14033
arg,1995,7408.70866
arg,1996,7721.3541
arg,1997,8213.12513
arg,1998,8289.50757
arg,1999,7774.7362
arg,2000,7708.09911
arg,2001,7208.37311
arg,2002,2593.40456
arg,2003,3349.8063
arg,2004,4277.72157
arg,2005,5109.85224
arg,2006,5919.01234
arg,2007,7245.44686
arg,2008,9020.87332
arg,2009,8225.13758
arg,2010,10385.96443
arg,2011,12848.8642
arg,2012,13082.66433
arg,2013,13080.25473
arg,2014,12334.79825
arg,2015,13789.06042
arg,2016,12790.24247
arg,2017,14613.04182
arg,2018,11795.15939
arg,2019,10056.63794
arg,2020,8579.01777
arm,1990,637.85592
arm,1991,590.50588
arm,1992,369.70723
arm,1993,357.20285
arm,1994,400.51559
arm,1995,456.37493
arm,1996,504.05984
arm,1997,523.28441
arm,1998,609.17165
arm,1999,597.4329
arm,2000,622.74092
arm,2001,694.42346
arm,2002,783.24121
arm,2003,930.12547
arm,2004,1191.92101
arm,2005,1643.75689
arm,2006,2158.14807
arm,2007,3139.28071
arm,2008,4010.86138
arm,2009,2994.34047
arm,2010,3218.3783
arm,2011,3525.8072
arm,2012,3681.84469
arm,2013,3838.17388
arm,2014,3986.23162
arm,2015,3607.2893
arm,2016,3591.82805
arm,2017,3914.52785
arm,2018,4220.54032
arm,2019,4604.64632
arm,2020,4266.01807
asm,2002,8666.65538
asm,2003,8807.46281
asm,2004,8528.24878
asm,2005,8395.31877
asm,2006,8340.52344
asm,2007,8874.87793
asm,2008,9740.82449
asm,2009,11910.01323
asm,2010,10216.81763
asm,2011,10223.29836
asm,2012,11496.5241
asm,2013,11450.7242
asm,2014,11525.15639
asm,2015,12059.63516
asm,2016,12038.2497
asm,2017,11003.82976
asm,2018,11521.60978
asm,2019,11715.36014
asm,2020,12844.90099
atg,1977,1246.69016
atg,1978,1416.54053
atg,1979,1760.83132
atg,1980,2124.61853
atg,1981,2392.68696
atg,1982,2660.55809
atg,1983,2948.31728
atg,1984,3372.60207
atg,1985,3899.39184
atg,1986,4703.1794
atg,1987,5463.59538
atg,1988,6454.83545
atg,1989,7076.53633
atg,1990,7347.64637
atg,1991,7602.34533
atg,1992,7745.7218
atg,1993,8136.18855
atg,1994,8771.14373
atg,1995,8406.35895
atg,1996,9030.57498
atg,1997,9491.66077
atg,1998,9940.85223
atg,1999,10260.59941
atg,2000,10872.29295
atg,2001,10367.31961
atg,2002,10401.05088
atg,2003,10797.95106
atg,2004,11446.96914
atg,2005,12557.54785
atg,2006,13995.80442
atg,2007,15622.69287
atg,2008,16044.1058
atg,2009,14160.562
atg,2010,13048.96058
atg,2011,12746.63347
atg,2012,13272.73494
atg,2013,12910.59063
atg,2014,13501.58092
atg,2015,14285.32978
atg,2016,15198.74297
atg,2017,15383.5764
atg,2018,16679.59166
atg,2019,17376.64968
atg,2020,13992.74448
aus,1960,1810.61923
aus,1961,1877.61664
aus,1962,1854.65683
aus,1963,1967.11654
aus,1964,2131.37795
aus,1965,2281.0988
aus,1966,2343.99529
aus,1967,2580.2711
aus,1968,2724.37252
aus,1969,2991.6072
aus,1970,3305.12639
aus,1971,3495.57929
aus,1972,3950.17089
aus,1973,4771.67199
aus,1974,6484.11987
aus,1975,7005.90659
aus,1976,7489.59416
aus,1977,7778.16401
aus,1978,8255.74454
aus,1979,9297.33342
aus,1980,10211.83719
aus,1981,11854.5885
aus,1982,12788.54929
aus,1983,11538.39842
aus,1984,12454.55172
aus,1985,11459.17957
aus,1986,11384.93824
aus,1987,11645.45259
aus,1988,14279.15944
aus,1989,17828.04823
aus,1990,18243.47142
aus,1991,18855.762
aus,1992,18604.18827
aus,1993,17667.1871
aus,1994,18079.38018
aus,1995,20358.33336
aus,1996,21904.29412
aus,1997,23509.42347
aus,1998,21345.97099
aus,1999,20558.9604
aus,2000,21697.70848
aus,2001,19527.32358
aus,2002,20117.78889
aus,2003,23492.40517
aus,2004,30513.94174
aus,2005,34080.9999
aus,2006,36117.48798
aus,2007,41001.14298
aus,2008,49654.9106
aus,2009,42783.32257
aus,2010,52087.97229
aus,2011,62574.1457
aus,2012,68027.84171
aus,2013,68156.62792
aus,2014,62511.69059
aus,2015,56707.02208
aus,2016,49881.76371
aus,2017,53934.25018
aus,2018,57180.7794
aus,2019,54875.28596
aus,2020,51680.31652
aut,1960,935.46043
aut,1961,1031.815
aut,1962,1087.83424
aut,1963,1167.00053
aut,1964,1269.41258
aut,1965,1374.53214
aut,1966,1486.96861
aut,1967,1569.66718
aut,1968,1677.67353
aut,1969,1825.38613
aut,1970,2058.76905
aut,1971,2380.97846
aut,1972,2924.04888
aut,1973,3890.72242
aut,1974,4630.7572
aut,1975,5285.62072
aut,1976,5678.38666
aut,1977,6810.62768
aut,1978,8205.46898
aut,1979,9793.76535
aut,1980,10869.54649
aut,1981,9385.24906
aut,1982,9410.34726
aut,1983,9537.40742
aut,1984,8991.06504
aut,1985,9172.09676
aut,1986,13083.07266
aut,1987,16392.76952
aut,1988,17578.61894
aut,1989,17468.94614
aut,1990,21680.98962
aut,1991,22410.91177
aut,1992,24880.16412
aut,1993,24081.52779
aut,1994,25646.70066
aut,1995,30325.84958
aut,1996,29809.07677
aut,1997,26705.4786
aut,1998,27361.87511
aut,1999,27183.47593
aut,2000,24625.60072
aut,2001,24558.76368
aut,2002,26527.59309
aut,2003,32294.04886
aut,2004,36889.23351
aut,2005,38417.45779
aut,2006,40669.32696
aut,2007,46915.3374
aut,2008,51919.98358
aut,2009,48153.32402
aut,2010,46903.76159
aut,2011,51442.27625
aut,2012,48564.91734
aut,2013,50731.12725
aut,2014,51786.37717
aut,2015,44195.81759
aut,2016,45307.58786
aut,2017,47429.15846
aut,2018,51486.5755
aut,2019,50114.40111
aut,2020,48588.65938
aze,1992,60.45821
aze,1993,209.47857
aze,1994,157.08606
aze,1995,314.56123
aze,1996,409.16319
aze,1997,505.50035
aze,1998,561.90681
aze,1999,573.91651
aze,2000,655.11995
aze,2001,703.68384
aze,2002,763.08064
aze,2003,883.73397
aze,2004,1045.00938
aze,2005,1578.40239
aze,2006,2473.08182
aze,2007,3851.43787
aze,2008,5574.6038
aze,2009,4950.29479
aze,2010,5843.53377
aze,2011,7189.69123
aze,2012,7496.29465
aze,2013,7875.75695
aze,2014,7891.31315
aze,2015,5500.31038
aze,2016,3880.73873
aze,2017,4147.08972
aze,2018,4739.84171
aze,2019,4805.75372
aze,2020,4221.40748
bdi,1960,70.05191
bdi,1961,71.16719
bdi,1962,73.43533
bdi,1963,78.51462
bdi,1964,86.16155
bdi,1965,51.38188
bdi,1966,52.18255
bdi,1967,54.80644
bdi,1968,54.90076
bdi,1969,55.71493
bdi,1970,69.76938
bdi,1971,71.62671
bdi,1972,69.13961
bdi,1973,84.41878
bdi,1974,94.6854
bdi,1975,113.75316
bdi,1976,118.91493
bdi,1977,142.05298
bdi,1978,154.51627
bdi,1979,193.14996
bdi,1980,221.23194
bdi,1981,227.12812
bdi,1982,231.34369
bdi,1983,240.7817
bdi,1984,213.61684
bdi,1985,242.0585
bdi,1986,245.91533
bdi,1987,225.07148
bdi,1988,209.41486
bdi,1989,209.89441
bdi,1990,208.14668
bdi,1991,209.77801
bdi,1992,190.48888
bdi,1993,161.88753
bdi,1994,156.81238
bdi,1995,167.09889
bdi,1996,143.40232
bdi,1997,158.91467
bdi,1998,144.49302
bdi,1999,128.93892
bdi,2000,136.46397
bdi,2001,134.36343
bdi,2002,123.11754
bdi,2003,113.56725
bdi,2004,128.3367
bdi,2005,151.68157
bdi,2006,167.37646
bdi,2007,172.4956
bdi,2008,198.35285
bdi,2009,212.13706
bdi,2010,234.23554
bdi,2011,249.57798
bdi,2012,252.35887
bdi,2013,256.97565
bdi,2014,274.85784
bdi,2015,305.54965
bdi,2016,260.56522
bdi,2017,253.82635
bdi,2018,238.78347
bdi,2019,228.21359
bdi,2020,238.99073
bel,1960,1273.69166
bel,1961,1350.19767
bel,1962,1438.52323
bel,1963,1535.02373
bel,1964,1701.84628
bel,1965,1835.59477
bel,1966,1957.62608
bel,1967,2086.63601
bel,1968,2222.36151
bel,1969,2458.08182
bel,1970,2765.891
bel,1971,3082.92799
bel,1972,3831.6319
bel,1973,4900.9622
bel,1974,5733.79814
bel,1975,6701.37736
bel,1976,7243.04734
bel,1977,8426.94696
bel,1978,10289.76842
bel,1979,11810.61588
bel,1980,12864.00257
bel,1981,10622.80248
bel,1982,9343.8611
bel,1983,8846.2343
bel,1984,8457.2688
bel,1985,8750.81851
bel,1986,12170.0407
bel,1987,15135.85231
bel,1988,16391.09383
bel,1989,16525.06174
bel,1990,20600.37528
bel,1991,21041.66065
bel,1992,23372.61917
bel,1993,22283.93602
bel,1994,24208.55479
bel,1995,28413.82644
bel,1996,27489.55518
bel,1997,24820.93805
bel,1998,25338.44329
bel,1999,25252.80191
bel,2000,23098.88651
bel,2001,23015.07126
bel,2002,25006.1914
bel,2003,30655.20927
bel,2004,35429.40779
bel,2005,36809.70134
bel,2006,38705.1068
bel,2007,44319.16545
bel,2008,48303.39796
bel,2009,44760.29124
bel,2010,44184.94635
bel,2011,47410.56693
bel,2012,44670.56068
bel,2013,46757.95186
bel,2014,47764.07151
bel,2015,41008.29672
bel,2016,42012.62272
bel,2017,44198.48239
bel,2018,47542.76952
bel,2019,46591.49161
bel,2020,45205.33594
ben,1960,93.0227
ben,1961,95.57223
ben,1962,94.4645
ben,1963,99.85892
ben,1964,104.33993
ben,1965,110.13258
ben,1966,112.94084
ben,1967,111.95156
ben,1968,116.89515
ben,1969,116.02526
ben,1970,114.55668
ben,1971,112.56998
ben,1972,134.81959
ben,1973,161.98706
ben,1974,174.01409
ben,1975,207.30031
ben,1976,208.6564
ben,1977,218.45398
ben,1978,263.58143
ben,1979,327.82231
ben,1980,378.04431
ben,1981,337.97837
ben,1982,322.77745
ben,1983,271.12984
ben,1984,252.86979
ben,1985,244.41094
ben,1986,303.34904
ben,1987,344.50315
ben,1988,346.73663
ben,1989,311.67805
ben,1990,393.68677
ben,1991,385.75384
ben,1992,317.96274
ben,1993,411.92618
ben,1994,279.66675
ben,1995,367.38771
ben,1996,387.4321
ben,1997,361.09998
ben,1998,379.44177
ben,1999,551.82143
ben,2000,512.6739
ben,2001,518.06747
ben,2002,574.9298
ben,2003,711.28495
ben,2004,798.7443
ben,2005,822.78514
ben,2006,856.05492
ben,2007,966.20362
ben,2008,1125.42613
ben,2009,1088.75791
ben,2010,1036.53452
ben,2011,1130.27325
ben,2012,1145.1401
ben,2013,1251.20977
ben,2014,1291.41018
ben,2015,1076.7967
ben,2016,1087.28733
ben,2017,1136.59387
ben,2018,1241.8253
ben,2019,1219.51551
ben,2020,1291.04097
bfa,1960,68.42473
bfa,1961,71.55818
bfa,1962,76.52055
bfa,1963,78.3722
bfa,1964,80.47272
bfa,1965,81.72505
bfa,1966,82.54568
bfa,1967,84.36307
bfa,1968,84.73294
bfa,1969,86.52021
bfa,1970,81.50001
bfa,1971,84.28783
bfa,1972,99.32675
bfa,1973,113.78034
bfa,1974,124.3589
bfa,1975,152.728
bfa,1976,155.64906
bfa,1977,176.78335
bfa,1978,225.94152
bfa,1979,262.07601
bfa,1980,282.68585
bfa,1981,254.23047
bfa,1982,245.09449
bfa,1983,217.9946
bfa,1984,193.84327
bfa,1985,200.89435
bfa,1986,256.76248
bfa,1987,291.13162
bfa,1988,313.06159
bfa,1989,304.85352
bfa,1990,351.97923
bfa,1991,346.4106
bfa,1992,361.04688
bfa,1993,334.94324
bfa,1994,193.07028
bfa,1995,235.83215
bfa,1996,249.36056
bfa,1997,229.49295
bfa,1998,255.71824
bfa,1999,300.42172
bfa,2000,255.71869
bfa,2001,267.0976
bfa,2002,294.66539
bfa,2003,374.62736
bfa,2004,418.37666
bfa,2005,457.93343
bfa,2006,473.44987
bfa,2007,535.06228
bfa,2008,643.40458
bfa,2009,624.17516
bfa,2010,647.8361
bfa,2011,751.17277
bfa,2012,758.00043
bfa,2013,787.46944
bfa,2014,792.84624
bfa,2015,653.32727
bfa,2016,688.2507
bfa,2017,734.99627
bfa,2018,804.50054
bfa,2019,796.11521
bfa,2020,857.93273
bgd,1960,89.03524
bgd,1961,97.59529
bgd,1962,100.12213
bgd,1963,101.90141
bgd,1964,100.2211
bgd,1965,106.64664
bgd,1966,112.66536
bgd,1967,122.87063
bgd,1968,122.8476
bgd,1969,135.14738
bgd,1970,140.00271
bgd,1971,133.55142
bgd,1972,94.38168
bgd,1973,119.55972
bgd,1974,182.02002
bgd,1975,277.57061
bgd,1976,141.19716
bgd,1977,131.37323
bgd,1978,176.03395
bgd,1979,200.76968
bgd,1980,227.75193
bgd,1981,247.64962
bgd,1982,220.7188
bgd,1983,204.41769
bgd,1984,213.99664
bgd,1985,245.45391
bgd,1986,233.65807
bgd,1987,253.97447
bgd,1988,270.6996
bgd,1989,285.82922
bgd,1990,306.2687
bgd,1991,293.16042
bgd,1992,293.64499
bgd,1993,300.55575
bgd,1994,299.53304
bgd,1995,329.42408
bgd,1996,394.71749
bgd,1997,401.49867
bgd,1998,407.42918
bgd,1999,409.54318
bgd,2000,418.06894
bgd,2001,415.0344
bgd,2002,413.08028
bgd,2003,446.31068
bgd,2004,475.29193
bgd,2005,499.46194
bgd,2006,509.64019
bgd,2007,558.05184
bgd,2008,634.98707
bgd,2009,702.26442
bgd,2010,781.15358
bgd,2011,861.76216
bgd,2012,883.11713
bgd,2013,981.86085
bgd,2014,1118.87381
bgd,2015,1248.45331
bgd,2016,1401.56464
bgd,2017,1563.76782
bgd,2018,1698.13208
bgd,2019,1855.74009
bgd,2020,1961.61375
bgr,1980,2238.80296
bgr,1981,2234.81482
bgr,1982,2169.00401
bgr,1983,1852.81343
bgr,1984,1963.57268
bgr,1985,1914.55065
bgr,1986,2260.42728
bgr,1987,3132.30136
bgr,1988,2511.39306
bgr,1989,2477.02082
bgr,1990,2366.52982
bgr,1991,1267.73438
bgr,1992,1211.98088
bgr,1993,1278.24717
bgr,1994,1148.4944
bgr,1995,2258.28602
bgr,1996,1470.1037
bgr,1997,1361.39239
bgr,1998,1820.40509
bgr,1999,1659.71835
bgr,2000,1621.24296
bgr,2001,1770.91353
bgr,2002,2092.95769
bgr,2003,2719.49766
bgr,2004,3389.70705
bgr,2005,3899.90764
bgr,2006,4523.05083
bgr,2007,5885.10435
bgr,2008,7265.7355
bgr,2009,6988.23332
bgr,2010,6853.00285
bgr,2011,7849.16528
bgr,2012,7432.47877
bgr,2013,7681.93462
bgr,2014,7901.78588
bgr,2015,7074.68102
bgr,2016,7569.47881
bgr,2017,8366.29322
bgr,2018,9446.70077
bgr,2019,9879.26853
bgr,2020,10079.20338
bhr,1980,8537.71587
bhr,1981,9269.26962
bhr,1982,9446.08458
bhr,1983,9421.35695
bhr,1984,9590.54179
bhr,1985,8706.7666
bhr,1986,7041.63445
bhr,1987,7554.93219
bhr,1988,7958.74792
bhr,1989,8031.00482
bhr,1990,8529.05213
bhr,1991,9055.64441
bhr,1992,9082.82799
bhr,1993,9698.15289
bhr,1994,10130.3762
bhr,1995,10376.9533
bhr,1996,10544.79468
bhr,1997,10672.23776
bhr,1998,10076.26988
bhr,1999,10401.56215
bhr,2000,13636.41675
bhr,2001,12868.17692
bhr,2002,13049.90973
bhr,2003,14222.0368
bhr,2004,15846.50595
bhr,2005,17959.39683
bhr,2006,19307.50894
bhr,2007,20976.44229
bhr,2008,23066.45098
bhr,2009,19355.92101
bhr,2010,20722.07049
bhr,2011,22514.20272
bhr,2012,23654.36959
bhr,2013,24744.29696
bhr,2014,24989.43753
bhr,2015,22634.08565
bhr,2016,22608.45256
bhr,2017,23742.93734
bhr,2018,24085.95599
bhr,2019,23551.93009
bhr,2020,20409.9528
bhs,1960,1550.2677
bhs,1961,1651.31767
bhs,1962,1752.84001
bhs,1963,1867.01035
bhs,1964,1994.4405
bhs,1965,2144.73909
bhs,1966,2322.70582
bhs,1967,2556.63427
bhs,1968,2804.33388
bhs,1969,3215.1539
bhs,1970,3178.86332
bhs,1971,3297.41107
bhs,1972,3322.21991
bhs,1973,3696.03182
bhs,1974,3416.43932
bhs,1975,3156.25083
bhs,1976,3328.61594
bhs,1977,3617.45307
bhs,1978,4131.38643
bhs,1979,5533.25194
bhs,1980,6340.78703
bhs,1981,6624.99245
bhs,1982,7168.16089
bhs,1983,7698.08303
bhs,1984,8877.70591
bhs,1985,9893.042
bhs,1986,10344.32265
bhs,1987,11156.55725
bhs,1988,11387.70908
bhs,1989,12163.43977
bhs,1990,12356.231
bhs,1991,11919.83357
bhs,1992,11686.73974
bhs,1993,11406.85813
bhs,1994,11814.43471
bhs,1995,12238.60461
bhs,1996,12708.64145
bhs,1997,22036.10068
bhs,1998,23514.17756
bhs,1999,26130.01296
bhs,2000,27098.15632
bhs,2001,27486.23677
bhs,2002,28867.0825
