global,time,ny_gds_totl_cd
world,1970,768327731742.20996
world,1971,831763542292.94495
world,1972,969925199238.34595
world,1973,1242515891979.01001
world,1974,1431033465096.12988
world,1975,1465608305435.09009
world,1976,1639438526237.66992
world,1977,1863343250715.93994
world,1978,2206404599699.22021
world,1979,2583141595740.93994
world,1980,2871734627013
world,1981,3016489433088.72021
world,1982,2790441815907.75977
world,1983,2748132816730.9502
world,1984,2959424255837.77002
world,1985,3082206507824.14014
world,1986,3606501241179.68945
world,1987,4153772054685.2002
world,1988,4770714677469.74023
world,1989,5062635535800.36035
world,1990,5623008163812.20996
world,1991,5783301741238.36914
world,1992,6118957845763.56934
world,1993,6126613589418.79004
world,1994,6748484989881.2998
world,1995,7679821771139.82031
world,1996,7810911198780.21094
world,1997,7795580461454.55859
world,1998,7635231346244.87988
world,1999,7858638561034.63086
world,2000,8240936392642.63086
world,2001,7865429143508.33887
world,2002,8040658207969.25879
world,2003,9060687786939.83008
world,2004,10601649231586
world,2005,11723272485876.90039
world,2006,13147902392303
world,2007,15123344724478.40039
world,2008,16578176251716.40039
world,2009,14505499660150.5
world,2010,16887397279727.30078
world,2011,19275909446861.19922
world,2012,19895994889521.80078
world,2013,20484410528920.10156
world,2014,21142270136336.69531
world,2015,19972779947030.19922
world,2016,20104616057610.19922
world,2017,21872879255817.30078
world,2018,23604226223022.80078
world,2019,23775659901080.10156
world,2020,22862555071348.5
