global,time,ny_gds_totl_zs
world,1970,25.67564
world,1971,25.16311
world,1972,25.4469
world,1973,26.72048
world,1974,26.70132
world,1975,24.54915
world,1976,25.25781
world,1977,25.38122
world,1978,25.51869
world,1979,25.72187
world,1980,25.36555
world,1981,25.75456
world,1982,24.06397
world,1983,23.2425
world,1984,24.14759
world,1985,23.9118
world,1986,23.66285
world,1987,23.94432
world,1988,24.62498
world,1989,25.09817
world,1990,24.72791
world,1991,24.39489
world,1992,24.09637
world,1993,23.72592
world,1994,24.21205
world,1995,24.73866
world,1996,24.61193
world,1997,24.65409
world,1998,24.20832
world,1999,24.00566
world,2000,24.35845
world,2001,23.39867
world,2002,23.02712
world,2003,23.14472
world,2004,24.03222
world,2005,24.53704
world,2006,25.39251
world,2007,25.92386
world,2008,25.8745
world,2009,23.86518
world,2010,25.39439
world,2011,26.16469
world,2012,26.41825
world,2013,26.45087
world,2014,26.56881
world,2015,26.58884
world,2016,26.34487
world,2017,26.92887
world,2018,27.35951
world,2019,27.15107
world,2020,26.97743
