global,time,ny_gnp_mktp_pp_cd
world,1990,28956407877834.5
world,1991,30585147452610
world,1992,31995977851016
world,1993,33408759265311.89453
world,1994,35247482113509.39844
world,1995,37174097724112.29688
world,1996,39406702766062.60156
world,1997,41732756098192.60156
world,1998,43151713513211
world,1999,45251448771857.60156
world,2000,48706053686329.29688
world,2001,51093171981804.49219
world,2002,53446318051015
world,2003,56408419739590.60156
world,2004,61017746596768.39844
world,2005,65706472741193.29688
world,2006,72257159614596.78125
world,2007,78066576219237.29688
world,2008,82470690962994.28125
world,2009,83182717399398.59375
world,2010,88727428145439.29688
world,2011,94619291368737.40625
world,2012,99803732778449.90625
world,2013,104525871857001
world,2014,108777471705747
world,2015,110957419369300
world,2016,115136615642439
world,2017,121508115826485
world,2018,128691707912516
world,2019,134157816365362
world,2020,132374449619820
