global,time,ny_gnp_pcap_pp_cd
world,1990,5484.10309
world,1991,5697.53182
world,1992,5868.04699
world,1993,6032.76465
world,1994,6269.46769
world,1995,6514.05343
world,1996,6806.39892
world,1997,7106.73279
world,1998,7247.51126
world,1999,7498.80951
world,2000,7965.89342
world,2001,8249.26476
world,2002,8520.43164
world,2003,8880.62042
world,2004,9487.28731
world,2005,10090.48666
world,2006,10960.15773
world,2007,11696.8009
world,2008,12205.22213
world,2009,12162.00956
world,2010,12818.44728
world,2011,13509.78409
world,2012,14078.17029
world,2013,14567.04987
world,2014,14979.31291
world,2015,15101.01616
world,2016,15488.73906
world,2017,16159.74892
world,2018,16927.70097
world,2019,17460.64936
world,2020,17050.8756
