geo,time,ny_gnp_pcap_pp_kd
abw,2017,36750.39809
afg,2017,2085.48757
ago,2000,3690.60486
ago,2001,3900.71037
ago,2002,4659.95447
ago,2003,4684.38483
ago,2004,4929.94548
ago,2005,5390.69965
ago,2006,5672.12646
ago,2007,6359.18138
ago,2008,6490.78774
ago,2009,6999.1754
ago,2010,6911.74024
ago,2011,6885.53639
ago,2012,7280.84567
ago,2013,7478.10478
ago,2014,7704.23195
ago,2015,7652.65649
ago,2016,7189.42667
ago,2017,6861.57574
ago,2018,6381.52195
ago,2019,6082.74662
ago,2020,5593.14206
alb,1997,4496.16368
alb,1998,4952.59696
alb,1999,5595.6127
alb,2000,6065.19526
alb,2001,6645.34834
alb,2002,6920.5551
alb,2003,7341.56401
alb,2004,7756.64839
alb,2005,8197.99386
alb,2006,8814.50173
alb,2007,9399.46896
alb,2008,9962.44224
alb,2009,10153.09601
alb,2010,10643.05764
alb,2011,11056.64517
alb,2012,11146.26303
alb,2013,11552.98247
alb,2014,11691.64829
alb,2015,12016.2976
alb,2016,12484.6242
alb,2017,12802.14831
alb,2018,13302.70596
alb,2019,13485.31124
are,2001,103519.05368
are,2002,96736.92556
are,2003,97761.53732
are,2004,98236.07759
are,2005,92443.55639
are,2006,88502.51225
are,2007,79459.26304
are,2008,69814.63137
are,2009,59017.26106
are,2010,54911.24407
are,2011,56152.06467
are,2012,57445.95475
are,2013,60005.69536
are,2014,62573.50531
are,2015,65577.51224
are,2016,66881.32974
are,2017,67667.50846
are,2018,67195.09523
are,2019,68590.90094
arg,1990,13597.68636
arg,1991,14803.99888
arg,1992,15940.72602
arg,1993,17132.68448
arg,1994,17874.84399
arg,1995,17091.77126
arg,1996,17782.84547
arg,1997,18984.60422
arg,1998,19427.08332
arg,1999,18535.78094
arg,2000,18180.44981
arg,2001,17153.2977
arg,2002,14727.85071
arg,2003,16057.21074
arg,2004,16058.54354
arg,2005,17271.06449
arg,2006,20131.40256
arg,2007,21872.98639
arg,2008,22558.47112
arg,2009,20884.44997
arg,2010,22734.96712
arg,2011,23944.3551
arg,2012,23557.51314
arg,2013,23915.41972
arg,2014,23087.86964
arg,2015,23508.76738
arg,2016,22694.2851
arg,2017,22996.67142
arg,2018,21924.73119
arg,2019,21197.74104
arg,2020,19178.33184
arm,1994,2752.65061
arm,1995,3097.53676
arm,1996,3334.67213
arm,1997,3596.49938
arm,1998,3778.68842
arm,1999,3923.75614
arm,2000,4178.38859
arm,2001,4602.44173
arm,2002,5264.79155
arm,2003,6031.85919
arm,2004,6753.74126
arm,2005,7747.42175
arm,2006,8881.59312
arm,2007,10262.08008
arm,2008,11125.75363
arm,2009,9428.79768
arm,2010,9745.42727
arm,2011,10072.89566
arm,2012,10830.55372
arm,2013,11351.53875
arm,2014,11518.60475
arm,2015,11774.34934
arm,2016,11570.46772
arm,2017,12541.16263
arm,2018,12933.83405
arm,2019,13847.90825
arm,2020,12454.14508
atg,2017,18775.95101
aus,2017,47085.22714
aut,1990,37786.54033
aut,1991,38510.28148
aut,1992,38808.53857
aut,1993,38720.41386
aut,1994,39418.02542
aut,1995,40264.30902
aut,1996,41294.77151
aut,1997,41935.75294
aut,1998,43325.1685
aut,1999,44329.53112
aut,2000,46056.68451
aut,2001,46225.3902
aut,2002,47137.63034
aut,2003,47510.2663
aut,2004,48564.17121
aut,2005,49280.0232
aut,2006,50960.16583
aut,2007,52510.5402
aut,2008,53611.22504
aut,2009,51007.44766
aut,2010,52277.59515
aut,2011,53356.39616
aut,2012,53349.76165
aut,2013,53138.15998
aut,2014,53001.21944
aut,2015,52352.33627
aut,2016,53340.75718
aut,2017,53665.02668
aut,2018,54718.74281
aut,2019,55632.21256
aut,2020,51798.78532
aze,2017,13587.53119
bdi,1997,828.98644
bdi,1998,862.68934
bdi,1999,838.89707
bdi,2000,840.88823
bdi,2001,815.39492
bdi,2002,826.94966
bdi,2003,787.95443
bdi,2004,794.61235
bdi,2005,786.22073
bdi,2006,809.55292
bdi,2007,812.50698
bdi,2008,825.73374
bdi,2009,823.74378
bdi,2010,841.74001
bdi,2011,846.02943
bdi,2012,860.47791
bdi,2013,878.11872
bdi,2014,884.17221
bdi,2015,824.86962
bdi,2016,794.52047
bdi,2017,772.40229
bdi,2018,763.43317
bdi,2019,753.90894
bdi,2020,735.7371
bel,1990,35675.32938
bel,1991,36326.46811
bel,1992,36726.77183
bel,1993,36585.91285
bel,1994,37925.67505
bel,1995,38656.26548
bel,1996,39138.3287
bel,1997,40566.36119
bel,1998,41274.56139
bel,1999,42589.24891
bel,2000,44162.28162
bel,2001,44180.86287
bel,2002,44672.89821
bel,2003,45027.55251
bel,2004,46185.42662
bel,2005,46929.14679
bel,2006,47897.24971
bel,2007,49272.08276
bel,2008,49587.71989
bel,2009,47948.74028
bel,2010,48706.83111
bel,2011,48229.78472
bel,2012,49314.24158
bel,2013,49379.38569
bel,2014,49762.82526
bel,2015,50155.16535
bel,2016,50309.85768
bel,2017,50904.68909
bel,2018,51576.23939
bel,2019,52443.2258
bel,2020,49287.72861
ben,1990,2133.21015
ben,1991,2158.40286
