geo,time,ny_ttf_gnfs_kn
ago,2000,1502329873.41196
ago,2001,2715506154.16251
ago,2002,0
ago,2003,10672509682.3619
ago,2004,62975403972.4763
ago,2005,152284913290.69699
ago,2006,318668274119.026
ago,2007,122458542160.99699
ago,2008,78017182512.2029
ago,2009,-223647408251.99701
ago,2010,-5286450471.11841
ago,2011,165936172385.133
ago,2012,138434141868.93799
ago,2013,96278972736.14307
ago,2014,-15133455844.9733
ago,2015,-242608427776.83301
ago,2016,-153767085243.35101
ago,2017,-84997579486.79939
ago,2018,-65041443565.9672
ago,2019,-74868152853.45369
ago,2020,-199174685318.59296
alb,1996,10271434136.6355
alb,1997,5330308870.33106
alb,1998,5099513675.08807
alb,1999,13185721859.308
alb,2000,20050033953.5526
alb,2001,25450816598.9789
alb,2002,24546170670.98809
alb,2003,21442222437.66109
alb,2004,25898098711.8092
alb,2005,9783854761.34589
alb,2006,9789858793.64993
alb,2007,12443279926.3033
alb,2008,19266774194.7801
alb,2009,15560850038.4581
alb,2010,0
alb,2011,-10354077187.812
alb,2012,-8260476176.12695
alb,2013,-12035685477.5488
alb,2014,-11961371755.7192
alb,2015,-17582451338.8127
alb,2016,-23001527587.8951
alb,2017,-14698199390.2646
alb,2018,-8130639667.84656
alb,2019,-11446142578.9071
alb,2020,-29648297618.1932
are,2001,-45246780402.8406
are,2002,-36952407519.6499
are,2003,-44802542831.3043
are,2004,-37922879866.9559
are,2005,27776586240.0994
are,2006,104343441723.19099
are,2007,138666930608.573
are,2008,245434256984.37601
are,2009,65425450254.5564
are,2010,0
are,2011,125813163689.80701
are,2012,134203217847.114
are,2013,156228477433.172
are,2014,164031189154.14899
are,2015,-69113149317.7522
are,2016,-103739756101.813
are,2017,-42851726137.4565
are,2018,27797488685.0049
are,2019,94662896847.37041
arg,1960,3439431515.76228
arg,1961,7265114290.33697
arg,1962,-5820111236.43344
arg,1963,-1193045557.07402
arg,1964,2634617299.66441
arg,1965,9387209382.8969
arg,1966,2616638149.94909
arg,1967,5041025722.71276
arg,1968,3445110002.93442
arg,1969,929086698.1656
arg,1970,-92949570.6762
arg,1971,-855300246.36754
arg,1972,457343392.42342
arg,1973,2510884826.97675
arg,1974,-516299096.10537
arg,1975,-532189251.96
arg,1976,-1739002697.27516
arg,1977,-4695380729.94597
arg,1978,-5140337163.15797
arg,1979,-2510326368.54712
arg,1980,2430591280.57963
arg,1981,4250490789.80605
arg,1982,-2373629985.7691
arg,1983,-1779853572.0584
arg,1984,1231965382.53475
arg,1985,-3277725375.56138
arg,1986,-5907039455.61832
arg,1987,-7634624077.6849
arg,1988,-5119456268.37812
arg,1989,-5308958562.28649
arg,1990,-9040149116.91124
arg,1991,-6542465246.18919
arg,1992,-3344580744.92957
arg,1993,-3035232387.34824
arg,1994,-3195869917.26904
arg,1995,-4283266528.22819
arg,1996,468350748.89944
arg,1997,-59988634.20164
arg,1998,-4325148403.52908
arg,1999,-8780089881.96852
arg,2000,-2173496857.36948
arg,2001,-2246320874.67609
arg,2002,-10958281080.6272
arg,2003,-4226839007.57883
arg,2004,0
arg,2005,-3431168436.78581
arg,2006,1138754124.2749
arg,2007,6715614231.88638
arg,2008,21489362852.6474
arg,2009,20985185229.0128
arg,2010,30812021895.0707
arg,2011,50029482623.9865
arg,2012,53147962139.6016
arg,2013,39448584706.9514
arg,2014,34192279588.4066
arg,2015,25040347602.2249
arg,2016,29909162518.8926
arg,2017,28665409365.0954
arg,2018,35153230173.2025
arg,2019,43014640671.2038
arg,2020,35160711338.0466
arm,1994,128390419726.73
arm,1995,57473917904.6586
arm,1996,60371464310.7332
arm,1997,58901187688.447
arm,1998,51771045261.0958
arm,1999,60806326312.3351
arm,2000,50977608944.8345
arm,2001,66111836095.9667
arm,2002,92477342876.76109
arm,2003,115631332186.845
arm,2004,126525261632.67
arm,2005,143157101726.95401
arm,2006,132650967342.524
arm,2007,89383460303.49939
arm,2008,16263403309.5886
arm,2009,-77952978870.66278
arm,2010,18077168493.6759
arm,2011,-58216728578.08289
arm,2012,0
arm,2013,-87063039295.80049
arm,2014,-143492205549.155
arm,2015,-219666041880.5
arm,2016,-286985727987.33899
arm,2017,-304190141216.27197
arm,2018,-270487976626.18097
arm,2019,-360271269594.91602
arm,2020,-208400981590.13696
asm,2002,-2441281.13879
asm,2003,-19160278.74564
asm,2004,-62807017.54386
asm,2005,-104087378.64078
asm,2006,-101793103.44828
asm,2007,-110240000
asm,2008,-60207124.01055
asm,2009,91039355.99284
asm,2010,-72550831.79298
asm,2011,-91488454.70693
asm,2012,0
asm,2013,-7522273.4255
asm,2014,-38198561.15108
asm,2015,-37984962.40602
asm,2016,-27122065.7277
asm,2017,-30712460.0639
asm,2018,-35682779.45619
asm,2019,-39902280.13029
asm,2020,-27082949.30876
aus,1960,-7032349914.23671
aus,1961,-8018840667.6783
aus,1962,-8946647347.30272
aus,1963,-8395180346.38554
aus,1964,-7828669520.54795
aus,1965,-8801062234.79491
aus,1966,-8933983437.41515
aus,1967,-10044201591.5119
aus,1968,-11465130208.3333
aus,1969,-11599231651.3761
aus,1970,-12969259084.3769
aus,1971,-16232097813.5788
aus,1972,-19473815962.4413
aus,1973,-14015541324.5758
aus,1974,-10598900426.9212
aus,1975,-15287960030.5256
aus,1976,-17644606806.1417
aus,1977,-20157510976.9094
aus,1978,-24119919976.48289
aus,1979,-25572941518.8622
aus,1980,-25885380967.9682
aus,1981,-24962694766.18629
aus,1982,-26187225004.2294
aus,1983,-26926506276.8585
aus,1984,-27943885564.37
aus,1985,-33043045348.3511
aus,1986,-39201906890.2491
aus,1987,-45939612278.3307
aus,1988,-45248931379.822
aus,1989,-37125879930.7848
aus,1990,-38615242585.5293
aus,1991,-47052260142.1314
aus,1992,-53985980767.0127
aus,1993,-61457247015.9695
aus,1994,-69762440912.5687
aus,1995,-69910677953.6927
aus,1996,-73635003303.42659
aus,1997,-78206827975.2263
aus,1998,-82482988423.0807
aus,1999,-90304042239.32001
aus,2000,-93926124785.4987
aus,2001,-99537896462.47868
aus,2002,-96814601605.06268
aus,2003,-94995857136.12701
aus,2004,-84385974191.9684
aus,2005,-70583753532.83031
aus,2006,-51445860694.3849
aus,2007,-37193912194.8551
aus,2008,-24237396756.6881
aus,2009,-4838288542.29156
aus,2010,-16243612976.7659
aus,2011,45277063262.9299
aus,2012,49236474423.85609
aus,2013,13440714773.1025
aus,2014,-341284279.46832
aus,2015,-41620144176.6884
aus,2016,-82274749326.02478
aus,2017,-35304604414.541
aus,2018,-28526187790.06409
aus,2019,-3727939324.54822
aus,2020,0
aut,1970,3073065786.77423
aut,1971,3031596842.91919
aut,1972,3701293731.54314
aut,1973,4823782698.48322
aut,1974,3514903485.94826
aut,1975,3647994035.80583
aut,1976,3702230187.7026
aut,1977,3540460913.94405
aut,1978,3968786137.53452
aut,1979,3979227179.59293
aut,1980,2687717394.64782
aut,1981,1934039840.92546
aut,1982,2532363945.2709
aut,1983,2418973648.18431
aut,1984,2652846963.48034
aut,1985,2560863501.73308
aut,1986,3022820040.44689
aut,1987,3287240359.49145
aut,1988,3534669232.20345
aut,1989,3587515017.37029
aut,1990,4312701894.15022
aut,1991,4356028207.57642
aut,1992,3970862323.63602
aut,1993,3604300871.89191
aut,1994,4023439846.13094
aut,1995,4582336862.17145
aut,1996,3621890478.2532
aut,1997,3079827306.58836
aut,1998,2971234404.54236
aut,1999,2664352922.75819
aut,2000,1891302227.97122
aut,2001,2246765013.76689
aut,2002,3206809489.4377
aut,2003,4213796848.9328
aut,2004,3869087528.67284
aut,2005,2980544789.66339
aut,2006,1532518657.4711
aut,2007,947627762.12189
aut,2008,-1075574273.01071
aut,2009,1726892854.97238
aut,2010,-696460546.94733
aut,2011,-3645287525.28784
aut,2012,-4549196631.85571
aut,2013,-4328232273.71484
aut,2014,-2761777128.64798
aut,2015,0
aut,2016,1848247218.9783
aut,2017,-414614185.78705
aut,2018,-1007991241.35107
aut,2019,-2367636923.61954
aut,2020,-321996043.97281
aze,1994,-1143148246.54225
aze,1995,-682744759.59986
aze,1996,-907733932.46515
aze,1997,-974103385.42351
aze,1998,-1381400660.79633
aze,1999,-1425491777.59003
aze,2000,-1160128655.09471
aze,2001,-1688327943.10345
aze,2002,-1789946507.32294
aze,2003,-1611730278.86085
aze,2004,-1231470220.04191
aze,2005,0
aze,2006,2454779811.21847
aze,2007,4476745889.99431
aze,2008,10114604844.7961
aze,2009,2146393362.08657
aze,2010,1626567914.57819
aze,2011,5902651947.06384
aze,2012,2855413226.55774
aze,2013,1642637311.81326
aze,2014,158201876.02118
bdi,1997,-3133615730.08485
bdi,1998,-2860835247.38432
bdi,1999,-2722315045.39202
bdi,2000,-2522829184.94786
bdi,2001,-12307880117.6495
bdi,2002,-10913349428.6113
bdi,2003,-19304233734.4456
bdi,2004,-3081323003.75359
bdi,2005,0
bdi,2006,10719030837.6068
bdi,2007,724700898.18381
bdi,2008,3761042331.20932
bdi,2009,2131890375.02257
bdi,2010,18792609405.46149
bdi,2011,403638213.04181
bdi,2012,-19680229013.5161
bdi,2013,11364343165.4543
bdi,2014,10659554879.9415
bdi,2015,103454243595.918
bdi,2016,79307851557.47231
bdi,2017,64738854810.0449
bdi,2018,34754825693.0081
bdi,2019,35286374723.7556
bdi,2020,-8662485722.0842
bel,1970,3181071068.62946
bel,1971,2617365193.12711
bel,1972,3709199610.74377
bel,1973,4761827794.56779
bel,1974,3138757048.05511
bel,1975,2087913540.97627
bel,1976,1984115700.79951
bel,1977,2450057991.48355
bel,1978,2544858493.82861
bel,1979,2825859457.97894
bel,1980,-368767932.55684
bel,1981,-3354846289.44247
bel,1982,-3870308268.49431
bel,1983,-4192227698.80876
bel,1984,-4288261798.24442
bel,1985,-3563024270.45541
bel,1986,270856405.32256
bel,1987,1321051111.83134
bel,1988,3189930004.50922
bel,1989,4477042276.41858
bel,1990,4238464559.98976
bel,1991,4455405901.04466
bel,1992,7036241440.45895
bel,1993,9190876068.87799
bel,1994,9244607262.13345
bel,1995,9547267464.32492
bel,1996,8750783717.06955
bel,1997,8980496685.7435
bel,1998,10388611009.6486
bel,1999,9003785120.30899
bel,2000,6200762775.27972
bel,2001,6359658202.64294
bel,2002,8051257465.3132
bel,2003,7526960569.31091
bel,2004,5949776851.74316
bel,2005,4447571857.80597
bel,2006,2753715239.63135
bel,2007,3348784278.55377
bel,2008,-4262125495.74567
bel,2009,3877813637.5697
bel,2010,-735407144.58942
bel,2011,-5034046452.3125
bel,2012,-4974973324.10016
bel,2013,-3919958184.12659
bel,2014,-3088320583.47931
bel,2015,0
bel,2016,2923366222.46857
bel,2017,1267266088.7348
bel,2018,-1566138671.85107
bel,2019,1235238277.63788
bel,2020,2789590286.63855
ben,1960,4482879442.57571
ben,1961,2765649945.53555
ben,1962,3478638560.11549
ben,1963,5875857097.63419
ben,1964,5001590633.88813
ben,1965,7246677786.59747
ben,1966,8967463167.30016
ben,1967,13454330480.4813
ben,1968,36391762110.809
ben,1969,26456514706.2056
ben,1970,44497942101.2139
ben,1971,47252210884.8074
ben,1972,14513292827.2078
ben,1973,54231987528.38969
ben,1974,9454116784.06476
ben,1975,-1977616853.7598
ben,1976,-14456789038.5464
ben,1977,10003948601.4169
ben,1978,8940338975.23434
ben,1979,-10474393938.0748
ben,1980,-26686318055.4617
ben,1981,-77111980188.623
ben,1982,-346205127.93021
ben,1983,232666012.69626
ben,1984,16394922802.3271
ben,1985,-161393763.09357
ben,1986,-31353199533.2184
ben,1987,-41947304973.9738
ben,1988,-17068503884.7735
ben,1989,-26096901081.11449
ben,1990,-36732751820.7686
ben,1991,-31216288490.9742
ben,1992,-43451612417.94009
ben,1993,-82084793567.07179
ben,1994,-89586946917.09341
ben,1995,-74210953785.93689
ben,1996,-30831563980.4247
ben,1997,-37421761398.47449
ben,1998,-69957138429.79469
ben,1999,-150191293914.375
ben,2000,-105066552144.493
ben,2001,-120639971172.88
ben,2002,-112888380309.12801
ben,2003,-99502247324.33121
ben,2004,-36969059378.1757
ben,2005,-123631022063.836
ben,2006,-123955191132.69501
ben,2007,-155012636909.68701
ben,2008,-166396165947.38101
ben,2009,-132996317657.92
ben,2010,-100670190176.037
ben,2011,-63491802277.501
ben,2012,-65446421931.2029
ben,2013,-11846337484.1619
ben,2014,-59885270181.82929
ben,2015,0
ben,2016,71473946047.5625
ben,2017,1174175423.84058
ben,2018,-12070005773.6028
ben,2019,97933625915.55809
ben,2020,33790518155.41529
bfa,1965,23332547536.24969
bfa,1966,28473875902.2911
bfa,1967,26017994818.9062
bfa,1968,35358654434.5609
bfa,1969,29400268028.6055
bfa,1970,745749641.63322
bfa,1971,-2718215573.37875
bfa,1972,-21076842420.146
bfa,1973,-16184983952.6304
bfa,1974,2990518350.04051
bfa,1975,-14974843625.7535
bfa,1976,10523505689.589
bfa,1977,15801516659.1082
bfa,1978,-36571276092.4929
bfa,1979,-71892896575.72771
bfa,1980,-31686302717.5614
bfa,1981,-40282011064.23209
bfa,1982,-35047330215.8618
bfa,1983,-9246576368.582
bfa,1984,17486825774.061
bfa,1985,28470156145.3521
bfa,1986,25813022766.8848
bfa,1987,35143582768.59049
bfa,1988,49634855375.5609
bfa,1989,36347687876.8985
bfa,1990,48389955355.3994
bfa,1991,46349879833.98489
bfa,1992,45710760316.5208
bfa,1993,35848602988.0717
bfa,1994,-15629892419.5499
bfa,1995,-1237433308.4621
bfa,1996,-3926510364.51773
bfa,1997,-3414452854.78979
bfa,1998,-2713627586.61353
bfa,1999,-105460425329.966
bfa,2000,-110697335366.71001
bfa,2001,-92005532024.7459
bfa,2002,-76433828687.9865
bfa,2003,-78876966301.8934
bfa,2004,-71213049799.59219
bfa,2005,-101887658728.97
bfa,2006,-138298912013.01801
bfa,2007,-169520031894.064
bfa,2008,-188835810084.57401
bfa,2009,-202526045787.48599
bfa,2010,-114772811697.407
bfa,2011,27928664961.9912
bfa,2012,150772754930.46899
bfa,2013,-18623651393.1213
bfa,2014,-45851440129.3655
bfa,2015,0
bfa,2016,132644247936.392
bfa,2017,163382284408.34299
bfa,2018,210993285169.32901
bfa,2019,559092840301.63599
bgd,1960,203540106708.85599
bgd,1961,239644911153.172
bgd,1962,252409840562.36401
bgd,1963,252767757877.93701
bgd,1964,240967683138.078
bgd,1965,246928265803.52496
bgd,1966,289941790813.94702
bgd,1967,315657723875.14301
bgd,1968,285160835500.31403
bgd,1969,300000463960.97101
bgd,1970,317749235890.38898
bgd,1971,218333721005.99301
bgd,1972,151439708461.17999
bgd,1973,69738318238.761
bgd,1974,14130199898.2667
bgd,1975,4869902782.04041
bgd,1976,-2891727919.06657
bgd,1977,-7384728274.5797
bgd,1978,-2792290464.31455
bgd,1979,-1696290769.26044
bgd,1980,1401205580.76701
bgd,1981,-6907655973.03032
bgd,1982,-5568425885.40261
bgd,1983,-5185978990.54875
bgd,1984,-19995259152.3118
bgd,1985,-4101469320.51479
bgd,1986,-3514830843.98944
bgd,1987,-3105768068.07132
bgd,1988,-2986252087.05886
bgd,1989,-1408994471.88876
bgd,1990,-3760408440.92345
bgd,1991,-70729703.01924
bgd,1992,-12865657861.2
bgd,1993,3424435622.90344
bgd,1994,-4691362020.79047
bgd,1995,5606426102.132
bgd,1996,5984040976.09299
bgd,1997,8812429336.19174
bgd,1998,13583840674.223
bgd,1999,7998157818.34326
bgd,2000,7141343313.1806
bgd,2001,-191121595.79114
bgd,2002,-550446629.01376
bgd,2003,8405174448.43509
bgd,2004,16682428307.8804
bgd,2005,10251965288.3043
bgd,2006,0
bgd,2007,10406828577.8375
bgd,2008,-109482007366.248
bgd,2009,-103518259020.75999
bgd,2010,-101864710326.448
bgd,2011,-150442040270.535
bgd,2012,-196557982100.04297
bgd,2013,-201376682664.608
bgd,2014,-209271677278.53296
bgd,2015,-203349327500.83401
bgd,2016,-189787349004.30496
bgd,2017,-185341859519.93201
bgd,2018,-200332932744.99701
bgd,2019,-222245180093.72
bgd,2020,-192101884980.04901
bgr,1980,17982831485.3641
bgr,1981,6577558575.61049
bgr,1982,7022381262.77144
bgr,1983,3300036261.51736
bgr,1984,9387537683.5995
bgr,1985,373701920.35178
bgr,1986,-6749425679.92677
bgr,1987,-5375394653.44849
bgr,1988,484372368.30749
bgr,1989,-1581097358.34431
bgr,1990,-582693567.21836
bgr,1991,-4429084469.60236
bgr,1992,-5883365851.30624
bgr,1993,-6026893554.39603
bgr,1994,-6190149446.24824
bgr,1995,-30613033.10239
bgr,1996,-10032286151.107
bgr,1997,-11702466814.6753
bgr,1998,-8647120046.72275
bgr,1999,-5912356238.82656
bgr,2000,-4094136846.6865
bgr,2001,-4042721465.39928
bgr,2002,-4397084761.62517
bgr,2003,-4067500689.20995
bgr,2004,-4272082820.96572
bgr,2005,-4882909276.95128
bgr,2006,-3465260731.39744
bgr,2007,-3098561607.68011
bgr,2008,-2746211579.04404
bgr,2009,-1612696037.86032
bgr,2010,-1423454197.49905
bgr,2011,132931403.80935
bgr,2012,-965124656.15077
bgr,2013,-1323986678.18397
bgr,2014,-760858248.36443
bgr,2015,0
bgr,2016,2103880781.88953
bgr,2017,2336583541.76976
bgr,2018,3191666518.88848
bgr,2019,5107868741.53505
bgr,2020,7732592080.64629
bhr,2000,-939405613.30777
bhr,2001,-1003167386.288
bhr,2002,-1418929833.07325
bhr,2003,-1286712446.95898
bhr,2004,-1584858129.94369
bhr,2005,-1344668641.38163
bhr,2006,-1130318816.43735
bhr,2007,-856022935.86098
bhr,2008,-221654368.37203
bhr,2009,-744079033.51995
bhr,2010,0
bhr,2011,494311173.8082
bhr,2012,253994290.67209
bhr,2013,512767416.87475
bhr,2014,161478728.96297
bhr,2015,-741482691.07388
bhr,2016,-935107391.75947
bhr,2017,-695135847.95322
bhr,2018,-682748995.27082
bhr,2019,-711774890.11511
bhs,1989,-211688464.78931
bhs,1990,-153923877.05043
bhs,1991,-199149877.91767
bhs,1992,-204713071.14793
bhs,1993,-256021645.84036
bhs,1994,-203130078.06423
bhs,1995,-331061743.97477
bhs,1996,-390982341.01136
bhs,1997,942628405.49803
bhs,1998,114577751.27421
bhs,1999,1068209189.21608
bhs,2000,1066865242.29075
bhs,2001,751368507.69616
bhs,2002,1426188560.43847
bhs,2003,1215070649.18452
bhs,2004,959296044.94842
bhs,2005,1170407119.08055
bhs,2006,903664421.25237
bhs,2007,1125758499.92139
bhs,2008,851372441.88121
bhs,2009,339234791.26237
bhs,2010,239286676.78576
bhs,2011,-29345827.10654
bhs,2012,-54798.67333
bhs,2013,119563300.39924
bhs,2014,409949674.7049
bhs,2015,1058737518.32921
bhs,2016,1031785101.73889
bhs,2017,948004797.43093
bhs,2018,1031990836.41878
bhs,2019,1175420658.3682
bhs,2020,597878864.38809
bih,2000,-419179740.38599
bih,2001,-406153628.73501
bih,2002,-358564895.87952
bih,2003,-388994480.50136
bih,2004,-438575328.10532
bih,2005,-428710051.6347
bih,2006,-417662956.8059
bih,2007,-306472424.28502
bih,2008,-128802254.92838
bih,2009,-104969445.40027
bih,2010,427349.39159
bih,2011,-205958207.7105
bih,2012,-85355591.05309
bih,2013,-134469216.45097
bih,2014,-170928965.17814
bih,2015,0
bih,2016,204526309.89353
bih,2017,286651585.49223
bih,2018,396955265.33385
bih,2019,345758231.62118
bih,2020,270104246.43747
blr,1990,1020565591.94366
blr,1991,-233249100
blr,1992,-2322260273.58491
blr,1993,-4710736494.88429
blr,1994,-5380572386.54861
blr,1995,-4585831788.52214
blr,1996,-4700020171.01876
blr,1997,-7040775719.82379
blr,1998,-5596801814.38425
blr,1999,-6348137106.29581
blr,2000,-7136675100.96801
blr,2001,-8210687826.24686
blr,2002,-8725961049.78651
blr,2003,-8708953931.05961
blr,2004,-9517863392.72771
blr,2005,-6723816062.83999
blr,2006,-6322935465.71543
blr,2007,-7067372898.11823
blr,2008,-4033730677.52495
blr,2009,-6278680699.58923
blr,2010,-6367400169.14429
blr,2011,-3704244211.21373
blr,2012,-876381695.4542
blr,2013,-583936879.53068
blr,2014,0
blr,2015,-5007315517.8661
blr,2016,-6938470916.97042
blr,2017,-5727163538.48864
blr,2018,-3513204797.59409
blr,2019,-3160751000.26232
blr,2020,-2171260748.40776
blz,1980,164731420.48153
blz,1981,33669628.27065
blz,1982,40216759.44584
blz,1983,48851124.52659
blz,1984,63156938.53034
blz,1985,36816.43285
blz,1986,19162903.05196
blz,1987,61703657.00303
blz,1988,86947051.44746
blz,1989,73173920.47128
blz,1990,97196485.1918
blz,1992,24070688.3206
blz,1993,14037828.66963
blz,1994,25166150.48975
blz,1995,39768628.67507
