geo,time,pa_nus_fcrf
abw,1986,1.79
abw,1987,1.79
abw,1988,1.79
abw,1989,1.79
abw,1990,1.79
abw,1991,1.79
abw,1992,1.79
abw,1993,1.79
abw,1994,1.79
abw,1995,1.79
abw,1996,1.79
abw,1997,1.79
abw,1998,1.79
abw,1999,1.79
abw,2000,1.79
abw,2001,1.79
abw,2002,1.79
abw,2003,1.79
abw,2004,1.79
abw,2005,1.79
abw,2006,1.79
abw,2007,1.79
abw,2008,1.79
abw,2009,1.79
abw,2010,1.79
abw,2011,1.79
abw,2012,1.79
abw,2013,1.79
abw,2014,1.79
abw,2015,1.79
abw,2016,1.79
abw,2017,1.79
abw,2018,1.79
abw,2019,1.79
abw,2020,1.79
abw,2021,1.79
afg,1960,17.19656
afg,1961,17.19656
afg,1962,17.19656
afg,1963,35.10964
afg,1964,38.69226
afg,1965,38.69226
afg,1966,38.69226
afg,1967,38.69226
afg,1968,38.69226
afg,1969,38.69226
afg,1970,38.69226
afg,1971,38.69226
afg,1972,38.69226
afg,1973,38.69226
afg,1974,38.37871
afg,1975,34.92963
afg,1976,34.92963
afg,1977,34.92963
afg,1978,34.92963
afg,1979,33.84616
afg,1980,34.36946
afg,1981,38.56166
afg,1982,39.27643
afg,1983,39.27643
afg,1984,39.27643
afg,1985,39.27643
afg,1986,39.27643
afg,1987,39.27643
afg,1988,39.27643
afg,1989,39.27643
afg,1990,39.27643
afg,1991,39.27643
afg,1992,39.27643
afg,1993,39.27643
afg,1994,38.81846
afg,1995,36.56714
afg,1996,47.5
afg,1997,47.5
afg,1998,47.5
afg,1999,46.61953
afg,2000,47.35757
afg,2001,47.50001
afg,2002,47.263
afg,2003,48.76275
afg,2004,47.84531
afg,2005,49.4946
afg,2006,49.92533
afg,2007,49.96202
afg,2008,50.24961
afg,2009,50.325
afg,2010,46.45246
afg,2011,46.74701
afg,2012,50.9214
afg,2013,55.3775
afg,2014,57.2475
afg,2015,61.14346
afg,2016,67.86609
afg,2017,68.0269
afg,2018,72.08325
afg,2019,77.73795
afg,2020,76.81354
ago,1960,0
ago,1961,0
ago,1962,0
ago,1963,0
