geo,time,per_si_allsi_adq_pop_tot
afg,2007,15.69503
ago,2018,54.71266
alb,2008,29.18635
alb,2012,33.23205
arg,2006,42.19505
arg,2010,39.6634
arg,2011,32.51626
arg,2012,35.73935
arg,2013,42.82774
arg,2014,41.10771
arg,2016,42.09159
arg,2017,44.8928
arg,2018,44.0032
arg,2019,43.81434
arm,2008,26.9487
arm,2009,33.28939
arm,2010,33.56871
arm,2011,33.25013
arm,2012,34.19257
arm,2013,31.66516
arm,2014,32.64278
arm,2015,33.26404
arm,2016,33.56815
arm,2017,35.62155
arm,2018,36.57975
aze,2015,0.24261
ben,2003,39.49359
bfa,2014,22.54509
bfa,2018,20.16344
bgd,2005,49.45233
bgd,2010,34.35872
bgd,2016,21.81713
bgr,2007,36.38156
bih,2007,16.00652
bih,2015,34.08451
blr,2008,52.57943
blr,2009,53.59666
blr,2010,53.93382
blr,2012,54.70006
blr,2013,61.08942
blr,2014,59.29379
blr,2015,61.33467
blr,2016,63.07056
blr,2017,61.57378
blr,2018,60.04423
blr,2019,64.62128
blz,2009,25.11623
bol,2006,33.86787
bol,2007,35.14911
bol,2008,33.80011
bol,2009,36.49316
bol,2011,36.70606
bol,2012,36.1333
bol,2014,34.4445
bol,2015,34.58019
bol,2016,36.20539
bol,2017,38.6371
bol,2018,38.22419
bol,2019,39.01331
bra,2006,46.6679
bra,2009,47.53829
bra,2011,48.08082
bra,2012,46.52122
bra,2015,48.36503
bra,2016,42.89918
bra,2017,43.26401
bra,2018,43.5486
bra,2019,44.2902
btn,2012,27.63649
bwa,2015,26.75712
chl,2006,27.63344
chl,2009,25.15308
chl,2011,26.55648
chl,2013,30.02336
chl,2015,23.39456
chl,2017,26.4856
chn,2013,55.34534
civ,2002,14.42626
civ,2008,32.29462
civ,2015,49.55472
cmr,2007,29.88122
cmr,2014,3.28608
cod,2004,16.9666
cod,2012,27.28683
cog,2005,62.89129
col,2010,27.99136
col,2011,26.19623
col,2012,29.55883
col,2014,38.21077
col,2015,38.64212
col,2016,40.37636
col,2017,41.56301
col,2018,41.56823
col,2019,42.11522
com,2004,13.22897
cpv,2007,40.62073
cri,2008,40.1349
cri,2010,34.05394
cri,2011,32.0382
cri,2012,28.63577
cri,2014,32.38292
cri,2015,34.62892
cri,2016,37.44562
cri,2017,36.87568
cri,2018,36.56727
cri,2019,39.5652
dji,2012,34.85385
dma,2002,28.95926
dom,2007,23.21309
dom,2008,27.75848
dom,2009,26.36184
dom,2010,24.62066
dom,2011,24.97235
dom,2012,27.45165
dom,2013,24.74362
dom,2014,26.97777
dom,2015,27.45049
dom,2016,26.98259
dom,2017,27.21446
dom,2018,32.57599
dom,2019,37.66718
ecu,2008,34.19819
ecu,2010,36.91285
ecu,2011,40.45156
ecu,2012,39.95915
ecu,2014,29.89186
ecu,2015,31.05018
ecu,2016,41.76845
ecu,2017,31.99972
ecu,2018,34.12444
ecu,2019,34.54942
egy,2008,39.24936
eth,2015,20.91402
eth,2018,12.69978
fji,2008,42.80136
fji,2013,21.03145
fsm,2000,28.37553
gab,2005,20.14476
gha,2012,96.40502
gin,2012,10.26851
gmb,1998,10.95221
gmb,2010,5.21697
gmb,2015,12.18078
gtm,2006,15.47315
gtm,2011,6.24268
gtm,2014,22.3203
hnd,2008,22.38791
hnd,2009,26.28412
hnd,2010,24.63707
hnd,2011,26.59872
hnd,2013,27.85838
hnd,2015,30.16781
hnd,2016,29.29536
hnd,2017,28.73899
hrv,2008,36.44727
hrv,2010,42.7761
hrv,2011,47.58952
hrv,2014,47.22437
hti,2012,34.59822
hun,2007,61.2359
ind,2011,4.54136
irq,2006,15.31107
