geo,time,se_adt_1524_lt_fe_zs
abw,2000,99.16637
abw,2010,99.3231
abw,2018,99.39
afg,1979,11.1428
afg,2011,32.11322
afg,2021,41.59372
ago,2001,63.18212
ago,2014,70.58513
alb,2001,99.49808
alb,2008,99.12132
alb,2011,98.85624
alb,2012,99.02019
alb,2018,99.63
are,1975,56.27697
are,1985,84.51429
are,2005,97.00174
are,2019,99.08706
arg,1980,97.30248
arg,1991,98.54021
arg,2001,99.12767
arg,2006,99.50357
arg,2009,99.69673
arg,2010,99.58867
arg,2011,99.71145
arg,2012,99.61428
arg,2013,99.59812
arg,2014,99.4024
arg,2015,99.6435
arg,2016,99.62893
arg,2018,99.75765
arm,1989,99.91057
arm,2001,99.86167
arm,2011,99.87619
arm,2017,99.87416
arm,2020,99.89736
asm,1980,97.44365
aze,1999,99.90149
aze,2007,99.98897
aze,2009,99.94579
aze,2010,99.93333
aze,2011,99.93176
aze,2012,99.91767
aze,2013,99.9267
aze,2014,99.93638
aze,2015,99.92011
aze,2016,99.91648
aze,2017,99.91311
aze,2019,99.90619
bdi,1979,21.48686
bdi,1990,48.01126
bdi,2000,70.3653
bdi,2008,57.32103
bdi,2014,74.95891
bdi,2017,85.61855
ben,1979,18.25518
ben,1992,26.69029
ben,2002,33.238
ben,2006,30.78655
ben,2012,40.93838
ben,2018,51.94362
bfa,1975,6.66406
bfa,1991,14.17375
bfa,1996,13.98534
bfa,2003,24.81137
bfa,2005,26.4829
bfa,2006,26.53412
bfa,2007,33.12532
bfa,2014,43.98583
bfa,2018,54.45067
bgd,1981,27.15101
bgd,1991,37.98975
bgd,2001,60.25623
bgd,2007,67.48857
bgd,2011,79.54449
bgd,2012,79.3692
bgd,2013,86.92579
bgd,2014,86.48067
bgd,2015,89.53506
bgd,2016,93.53532
bgd,2017,94.37776
bgd,2018,94.91259
bgd,2019,96.08776
bgd,2020,95.85875
bgr,2001,98.10977
bgr,2011,97.65106
bhr,1981,82.07742
bhr,1991,96.57877
bhr,2001,97.25061
bhr,2010,95.12418
bih,1991,98.73546
bih,2000,99.84363
bih,2011,99.15044
bih,2013,99.66747
blr,1989,99.80054
blr,1999,99.82821
blr,2009,99.84739
blr,2019,99.89983
blz,1991,78.01632
blz,2000,84.54234
bol,1976,75.84014
bol,1992,91.56598
bol,2001,96.11462
bol,2007,99.14458
bol,2008,98.87941
bol,2009,99.0843
bol,2011,98.77202
bol,2012,98.82861
bol,2015,99.40421
bra,1980,85.23655
bra,2000,95.71902
bra,2004,97.90386
bra,2006,98.36166
bra,2007,98.55943
bra,2008,98.53111
bra,2009,98.69204
bra,2010,98.31874
bra,2011,99.07315
bra,2012,99.02082
bra,2013,99.22972
bra,2014,99.25031
bra,2015,99.3467
bra,2016,99.45533
bra,2017,99.48134
bra,2018,99.43153
brb,1970,99.8
brb,1984,99.9
brb,1994,99.9
brb,2004,99.9
brb,2014,99.9
brn,1981,93.23892
brn,1991,98.08379
brn,2001,98.91217
brn,2011,99.54606
brn,2018,99.78966
btn,2005,67.96426
btn,2012,82.17904
btn,2017,92.89112
bwa,1991,92.25188
bwa,2003,95.59602
bwa,2013,99.13954
caf,1975,20.33836
caf,1988,34.85175
caf,2000,49.01935
caf,2010,26.97133
caf,2018,28.70666
chl,1982,97.11653
chl,1992,98.70086
chl,2002,99.18334
chl,2008,99.19581
chl,2009,98.89002
chl,2011,99.60537
chl,2013,99.08694
chl,2015,99.44056
chl,2017,99.01156
chn,1982,82.09922
chn,1990,91.4547
chn,2000,98.50486
chn,2010,99.59304
chn,2018,99.78338
civ,1988,37.84594
civ,1998,39.84909
civ,2000,52.12517
civ,2012,38.75008
civ,2014,47.03975
civ,2019,76.41314
cmr,1976,59.06318
cmr,2000,77.96249
cmr,2007,77.48205
cmr,2010,76.42093
cmr,2018,82.41
cod,2001,63.0907
cod,2007,53.25022
cod,2012,76.6585
cod,2016,79.71484
cog,1984,82.8272
cog,2005,70.54331
cog,2011,76.94608
cog,2018,78.74231
col,1993,96.28144
col,1996,97.56674
col,2004,98.41068
col,2005,98.37487
col,2006,98.19491
col,2007,98.419
col,2008,98.42687
col,2009,98.43472
col,2010,98.5172
col,2011,98.72434
col,2014,98.97285
col,2015,98.91534
col,2016,99.02527
col,2018,99.0696
col,2019,99.15569
col,2020,99.29406
com,1980,54.89904
com,2000,77.55762
com,2012,69.59522
com,2018,78.30236
cpv,1990,86.41509
cpv,2000,96.63
cpv,2012,98.39818
cpv,2015,98.73018
cri,1984,97.53813
cri,2000,98.03841
cri,2011,99.25812
cri,2018,99.53
cub,2002,99.95369
cub,2012,99.8952
cym,2007,98.62333
cyp,1992,99.6642
cyp,2001,99.81524
cyp,2011,99.83831
dom,1981,83.93853
dom,2002,95.41705
dom,2007,96.93073
dom,2010,97.88349
dom,2011,98.05375
dom,2012,97.76923
dom,2013,98.25252
dom,2014,98.04481
dom,2015,98.03096
dom,2016,98.86737
dza,1987,62.21148
dza,2002,86.13399
dza,2006,89.13824
dza,2008,91.73993
dza,2018,97.25216
ecu,1982,92.27893
ecu,1990,95.83325
ecu,2001,96.49345
ecu,2007,98.56422
ecu,2008,98.4752
ecu,2009,98.88309
ecu,2010,98.8541
ecu,2011,98.80532
ecu,2012,98.89454
ecu,2013,98.63248
ecu,2014,99.18693
ecu,2015,98.91229
ecu,2016,99.13692
ecu,2017,99.40242
ecu,2020,99.09054
egy,1976,38.12264
egy,1986,54.00466
egy,1996,66.93154
egy,2005,78.77518
egy,2006,81.75145
egy,2010,84.30693
egy,2012,86.05159
egy,2013,90.3254
egy,2017,86.81055
eri,2002,69.4834
eri,2008,82.57652
eri,2018,92.71403
esp,1981,98.64258
esp,1991,99.56968
