geo,time,se_adt_litr_fe_zs
abw,2000,97.07136
abw,2010,96.71978
abw,2018,97.81268
afg,1979,4.98746
afg,2011,17.01784
afg,2021,22.60078
ago,2001,54.19449
ago,2014,53.40721
alb,2001,98.25227
alb,2008,94.68181
alb,2011,95.69148
alb,2012,96.13607
alb,2018,97.76112
are,1975,38.12487
are,1985,68.66128
are,2005,91.47475
are,2019,96.86031
arg,1980,93.58089
arg,1991,95.917
arg,2001,97.19341
arg,2006,98.51077
arg,2009,99.00176
arg,2010,98.92807
arg,2011,98.99984
arg,2012,99.09995
arg,2013,99.09121
arg,2014,98.93282
arg,2015,99.20877
arg,2016,99.1431
arg,2018,99.06204
arm,1989,98.15014
arm,2001,99.16107
arm,2011,99.69035
arm,2017,99.67716
arm,2020,99.74451
asm,1980,97.21991
atg,2001,99.42
atg,2011,99.42
atg,2015,99.42
aze,1999,98.17478
aze,2007,99.38394
aze,2009,99.68215
aze,2010,99.69263
aze,2011,99.70496
aze,2012,99.70286
aze,2013,99.71682
aze,2014,99.71966
aze,2015,99.71714
aze,2016,99.71955
aze,2017,99.72199
aze,2019,99.72675
bdi,1979,11.98357
bdi,1990,27.5293
bdi,2000,52.23776
bdi,2008,43.15719
bdi,2014,54.64166
bdi,2017,61.22369
ben,1979,9.53896
ben,1992,16.56512
ben,2002,23.30014
ben,2006,18.44291
ben,2012,22.09388
ben,2018,31.07165
bfa,1975,3.39059
bfa,1991,8.22543
bfa,1996,8.05798
bfa,2003,15.18877
bfa,2005,16.62224
bfa,2006,16.29113
bfa,2007,21.02722
bfa,2014,26.22025
bfa,2018,31.04408
bgd,1981,17.97163
bgd,1991,25.83898
bgd,2001,40.82335
bgd,2007,43.74085
bgd,2011,55.11944
bgd,2012,54.23604
bgd,2013,57.789
bgd,2014,57.86093
bgd,2015,62.25299
bgd,2016,69.89721
bgd,2017,70.0857
bgd,2018,71.18194
bgd,2019,71.94839
bgd,2020,72.00478
bgr,2001,97.70649
bgr,2011,97.9839
bhr,1981,58.59109
bhr,1991,76.93232
bhr,2001,83.55742
bhr,2010,89.01044
bih,1991,81.95933
bih,2000,94.35994
bih,2011,96.80371
bih,2013,94.91049
blr,1989,96.62822
blr,1999,99.41972
blr,2009,99.49399
blr,2019,99.87651
blz,1991,70.32839
blz,2000,77.12273
bol,1976,51.37465
bol,1992,72.31322
bol,2001,80.65438
bol,2007,85.98594
bol,2008,86.83175
bol,2009,86.82146
bol,2011,88.0802
bol,2012,91.87327
bol,2015,88.58286
bra,1980,72.85315
bra,2000,86.50005
bra,2004,88.80613
bra,2006,89.85559
bra,2007,90.22801
bra,2008,90.21955
bra,2009,90.41122
bra,2010,90.6817
bra,2011,91.63315
bra,2012,91.6249
bra,2013,91.76496
bra,2014,92.06052
bra,2015,92.34379
bra,2016,93.0212
bra,2017,93.24371
bra,2018,93.42507
brb,1970,99.25156
brb,1984,99.6
brb,1994,99.6
brb,2004,99.6
brb,2014,99.6
brn,1981,68.84183
brn,1991,82.46136
brn,2001,90.16155
brn,2011,94.65248
brn,2018,96.30126
btn,2005,38.68066
btn,2012,45.20451
btn,2017,57.08362
bwa,1991,71.29924
bwa,2003,81.80795
bwa,2013,87.45121
caf,1975,8.39958
caf,1988,20.33688
caf,2000,35.2909
caf,2010,24.35549
caf,2018,25.75638
chl,1982,90.80012
chl,1992,94.03671
chl,2002,95.64093
chl,2008,97.74206
chl,2009,97.40083
chl,2011,96.53071
chl,2013,96.16175
chl,2015,96.74396
chl,2017,96.33402
chn,1982,51.13681
chn,1990,68.07208
chn,2000,86.5266
chn,2010,92.71123
chn,2018,95.15933
civ,1988,23.43378
civ,1998,28.47667
civ,2000,38.61451
civ,2012,30.46172
civ,2014,36.78425
civ,2019,86.74125
cmr,1976,29.11613
cmr,2000,58.72176
cmr,2007,63.02206
cmr,2010,64.7995
cmr,2018,71.58627
cod,2001,54.0609
cod,2007,46.10425
cod,2012,62.91864
cod,2016,66.49998
cog,1984,49.00134
cog,2005,67.48077
cog,2011,72.87706
cog,2018,74.61876
col,1993,91.1479
col,1996,91.314
col,2004,92.71463
col,2005,92.91125
col,2006,92.2206
col,2007,92.84562
col,2008,93.43537
col,2009,93.41513
col,2010,93.48679
col,2011,93.66713
col,2014,94.48466
col,2015,94.41582
col,2016,94.89022
col,2018,95.31892
col,2019,95.46903
col,2020,95.87506
com,1980,40.31762
com,2000,63.45902
com,2012,42.63729
com,2018,52.95639
cpv,1990,52.99862
cpv,2000,69.44456
cpv,2012,80.49622
cpv,2015,82.04222
cri,1984,92.57713
cri,2000,95.08079
cri,2011,97.50041
cri,2018,97.92443
cub,2002,99.79092
cub,2012,99.79988
cym,2007,99.02148
cyp,1992,91.00178
cyp,2001,95.07966
cyp,2011,98.11623
dom,1981,72.53608
dom,2002,87.17709
dom,2007,88.27717
dom,2010,89.6973
dom,2011,90.22557
dom,2012,90.22417
dom,2013,91.25051
dom,2014,92.14779
dom,2015,92.32106
dom,2016,93.76413
dza,1987,35.83992
dza,2002,60.07508
dza,2006,63.91879
dza,2008,67.54875
dza,2018,75.32297
ecu,1982,80.40523
ecu,1990,86.19333
ecu,2001,89.69709
ecu,2007,90.86557
ecu,2008,91.12257
ecu,2009,90.91755
ecu,2010,90.47011
ecu,2011,90.22082
ecu,2012,90.95168
ecu,2013,92.21808
ecu,2014,93.25386
ecu,2015,93.25662
ecu,2016,93.31453
ecu,2017,92.08669
ecu,2020,92.49024
egy,1976,22.43801
egy,1986,31.39267
egy,1996,43.59531
egy,2005,56.12155
egy,2006,57.81191
egy,2010,63.51581
egy,2012,65.75666
egy,2013,62.70522
egy,2017,65.50569
eri,2002,40.22442
eri,2008,54.80107
eri,2018,68.94619
esp,1981,89.93692
esp,1991,95.051
esp,2004,96.23088
esp,2005,96.92515
esp,2006,96.97483
esp,2007,97.26032
esp,2008,96.88684
esp,2009,96.92597
esp,2010,97.0045
esp,2011,97.06557
esp,2012,97.21804
esp,2013,97.44054
esp,2014,97.48735
esp,2015,97.54713
esp,2016,97.69536
esp,2018,97.97378
esp,2020,98.18704
est,1989,99.60148
est,2000,99.76006
est,2011,99.90948
eth,1994,18.51498
eth,2004,22.8
eth,2005,17.9772
eth,2007,28.92164
eth,2017,44.42338
gab,1993,65.32631
gab,2012,79.87897
gab,2018,83.42397
geo,2002,99.55285
geo,2014,99.51458
geo,2017,99.29475
geo,2019,99.4518
gha,2000,49.79196
gha,2010,65.29469
gha,2018,74.47439
gin,1996,9.74307
gin,2003,18.23868
gin,2010,12.19195
gin,2014,21.96225
gin,2018,27.69256
gmb,2000,25.06155
gmb,2013,33.57535
gmb,2015,41.57702
gnb,1979,8.58826
gnb,2000,27.49421
gnb,2014,30.76851
gnq,2000,81.623
gnq,2010,90.67608
grc,1981,85.31999
grc,1991,89.3533
grc,2001,94.23941
grc,2005,90.76541
grc,2007,91.81247
grc,2009,91.84761
grc,2011,96.50211
grc,2018,97.3941
grd,1970,97.58978
grd,1984,98.6
grd,1994,98.6
grd,2004,98.6
grd,2014,98.6
gtm,1994,57.29266
gtm,2002,63.34138
gtm,2012,72.42804
gtm,2013,72.12759
gtm,2014,76.37066
gtm,2018,76.72338
gum,1980,96.46308
gum,1990,99.3085
guy,2009,87.25198
guy,2014,85.03461
hnd,2001,80.2236
hnd,2007,83.45277
hnd,2010,84.72503
hnd,2011,84.93027
hnd,2012,85.05148
hnd,2013,85.28473
hnd,2014,87.02599
hnd,2015,87.8937
hnd,2016,88.93486
hnd,2018,87.26556
hnd,2019,88.7317
hrv,1991,94.81722
hrv,2001,97.0839
hrv,2011,98.66591
hti,1982,32.52496
hti,2003,54.86147
hti,2006,44.59945
hti,2016,58.30052
hun,1980,98.45413
hun,2014,99.1
idn,1980,57.69463
idn,1990,75.27012
idn,2004,86.79959
idn,2006,88.78698
idn,2008,89.10139
idn,2009,89.67712
idn,2011,90.0687
idn,2014,93.4509
idn,2015,93.33571
idn,2016,93.58692
idn,2018,93.99218
idn,2020,94.55235
ind,1981,25.67625
ind,1991,33.72953
ind,2001,47.8421
ind,2006,50.82376
ind,2011,59.27732
ind,2018,65.79081
irn,1976,24.42308
irn,1986,41.03395
irn,1991,56.15642
irn,1996,66.06776
irn,2002,70.4
irn,2005,76.80264
irn,2006,77.24002
irn,2008,77.69472
irn,2012,78.41627
irn,2013,79.75584
irn,2014,79.83935
irn,2016,80.78744
irq,2000,64.1695
irq,2012,69
irq,2013,63.4
irq,2014,74.6
irq,2016,76.8
irq,2017,79.9
isr,1983,88.67472
ita,1981,95.53667
ita,2001,98.04215
ita,2011,98.57957
ita,2018,98.97192
jam,1999,85.87208
jam,2014,92.7
jor,1979,52.11061
jor,2003,84.71392
jor,2005,87.00581
jor,2007,88.90331
jor,2010,89.20774
jor,2011,93.93346
jor,2012,97.37201
jor,2018,97.83208
kaz,1989,96.13877
kaz,1999,99.2899
kaz,2009,99.68429
kaz,2010,99.73899
kaz,2018,99.73899
ken,2000,77.89298
ken,2007,66.86312
ken,2014,74.00632
ken,2018,78.18893
kgz,1999,98.13063
kgz,2009,98.98121
kgz,2018,99.49972
khm,1998,56.9925
khm,2004,64.05099
khm,2008,69.58641
khm,2009,69.10902
khm,2014,71.7818
khm,2015,75.03387
kor,2008,97.61866
kwt,1975,48.01521
kwt,1980,59.1105
kwt,1985,68.84937
kwt,1995,74.14872
kwt,2005,91.0425
kwt,2006,90.82863
kwt,2007,91.50349
kwt,2008,91.77865
kwt,2010,92.68094
kwt,2012,94.96525
kwt,2013,94.30116
kwt,2015,94.47005
kwt,2017,94.82577
kwt,2018,94.90516
kwt,2020,95.3517
lao,1995,47.90236
lao,2000,58.4607
lao,2001,60.90252
lao,2005,63.22699
lao,2011,49.72308
lao,2015,79.39104
lbn,2007,85.96778
lbn,2009,88.08706
lbn,2018,93.30501
lbr,1984,19.30279
lbr,2007,27.03491
lbr,2017,34.09226
lby,1984,42.31355
lby,1994,63.7
lby,2004,77.8
lka,1981,82.02197
lka,2001,89.13576
lka,2006,89.09135
lka,2008,89.07347
lka,2010,89.95868
lka,2016,91.48611
lka,2017,90.97074
lka,2018,90.7956
lka,2019,91.58087
lso,2000,92.04645
lso,2009,84.96396
lso,2014,84.93489
ltu,1989,97.78159
ltu,2001,99.64794
ltu,2011,99.83324
lva,1989,99.1888
lva,2000,99.70973
lva,2011,99.90792
lva,2018,99.9064
mac,1981,86.21588
mac,2001,87.77497
mac,2006,90.72359
mac,2011,93.73191
mac,2016,95.03257
mar,1982,17.51487
mar,1994,28.72542
mar,2004,39.61956
mar,2008,42.58785
mar,2009,43.92108
mar,2011,57.63999
mar,2012,59.13064
mar,2014,53.31092
mar,2018,64.59138
mda,1989,94.44448
mda,2000,95.4923
mda,2014,99.14042
