geo,time,se_adt_litr_ma_zs
abw,2000,97.5374
abw,2010,96.94053
abw,2018,97.80013
afg,1979,30.30775
afg,2011,45.4171
afg,2021,52.06343
ago,2001,82.91987
ago,2014,79.97415
alb,2001,99.18761
alb,2008,97.3062
alb,2011,98.00816
alb,2012,98.35261
alb,2018,98.51362
are,1975,58.38611
are,1985,72.27428
are,2005,89.4821
are,2019,98.02413
arg,1980,94.26339
arg,1991,96.17406
arg,2001,97.1932
arg,2006,98.72719
arg,2009,98.96272
arg,2010,98.98532
arg,2011,99.22831
arg,2012,99.11113
arg,2013,99.15603
arg,2014,99.06125
arg,2015,99.14825
arg,2016,99.10499
arg,2018,98.93774
arm,1989,99.40385
arm,2001,99.67223
arm,2011,99.80608
arm,2017,99.8055
arm,2020,99.84332
asm,1980,97.46996
atg,2001,98.4
atg,2011,98.4
atg,2015,98.4
aze,1999,99.47242
aze,2007,99.82097
aze,2009,99.84267
aze,2010,99.85444
aze,2011,99.85666
aze,2012,99.85285
aze,2013,99.86592
aze,2014,99.86201
aze,2015,99.86263
aze,2016,99.86405
aze,2017,99.86375
aze,2019,99.86824
bdi,1979,34.26271
bdi,1990,48.23625
bdi,2000,67.30693
bdi,2008,53.12839
bdi,2014,69.58728
bdi,2017,76.29605
ben,1979,25.19006
ben,1992,39.90332
ben,2002,47.86596
ben,2006,40.61617
ben,2012,44.96026
ben,2018,53.97703
bfa,1975,14.52849
bfa,1991,19.62613
bfa,1996,18.51779
bfa,2003,29.362
bfa,2005,31.37455
bfa,2006,29.71436
bfa,2007,36.5748
bfa,2014,44.37945
bfa,2018,49.17273
bgd,1981,39.7323
bgd,1991,44.31428
bgd,2001,53.89609
bgd,2007,49.83233
bgd,2011,62.48306
bgd,2012,61.54287
bgd,2013,64.21377
bgd,2014,64.36509
bgd,2015,68.05536
bgd,2016,75.61885
bgd,2017,75.70236
bgd,2018,76.66926
bgd,2019,77.44149
bgd,2020,77.81671
bgr,2001,98.7366
bgr,2011,98.74723
bhr,1981,76.51837
bhr,1991,88.53737
bhr,2001,88.55411
bhr,2010,92.14544
bih,1991,96.30542
bih,2000,99.03371
bih,2011,99.54133
bih,2013,99.17628
blr,1989,99.38418
blr,1999,99.79211
blr,2009,99.76369
blr,2019,99.87096
blz,1991,70.26877
blz,2000,76.68373
bol,1976,75.84289
bol,1992,88.15559
bol,2001,93.05747
bol,2007,96.03626
bol,2008,94.95543
bol,2009,95.80364
bol,2011,96.60105
bol,2012,97.10705
bol,2015,96.52275
bra,1980,76.37736
bra,2000,86.22798
bra,2004,88.40946
bra,2006,89.35324
bra,2007,89.77214
bra,2008,89.83787
bra,2009,90.17484
bra,2010,90.05618
bra,2011,91.16898
bra,2012,91.02567
bra,2013,91.17796
bra,2014,91.36677
bra,2015,91.72516
bra,2016,92.57516
bra,2017,92.89153
bra,2018,93.00904
brb,1970,99.28723
brb,1984,99.6
brb,1994,99.6
brb,2004,99.6
brb,2014,99.6
brn,1981,85.13681
brn,1991,92.45219
brn,2001,95.15042
brn,2011,97.42816
brn,2018,98.05362
btn,2005,65.04778
btn,2012,66.00306
btn,2017,75.01985
bwa,1991,65.38694
bwa,2003,80.43011
bwa,2013,86.12214
caf,1975,29.59292
caf,1988,48.0203
caf,2000,66.78953
caf,2010,50.71271
caf,2018,49.51459
chl,1982,91.48054
chl,1992,94.56307
chl,2002,95.79641
chl,2008,97.7025
chl,2009,97.88936
chl,2011,96.89878
chl,2013,96.38801
chl,2015,97.02469
chl,2017,96.48063
chn,1982,79.19178
chn,1990,87.02498
chn,2000,95.13525
chn,2010,97.47946
chn,2018,98.46654
civ,1988,44.36354
civ,1998,43.94642
civ,2000,60.86066
civ,2012,51.59267
civ,2014,50.7019
civ,2019,93.14135
cmr,1976,54.62985
cmr,2000,79.19452
cmr,2007,78.94996
cmr,2010,78.32769
cmr,2018,82.62804
cod,2001,80.92324
cod,2007,76.91569
cod,2012,87.90839
cod,2016,88.52469
cog,1984,71.32912
cog,2005,86.04983
cog,2011,86.43431
cog,2018,86.07651
col,1993,90.97266
col,1996,91.0891
col,2004,92.90412
col,2005,92.77795
col,2006,92.3928
col,2007,92.4297
col,2008,93.31688
col,2009,93.06254
col,2010,93.25019
col,2011,93.48826
col,2014,93.8674
col,2015,94.06317
col,2016,94.40228
col,2018,94.85183
col,2019,95.01589
col,2020,95.38252
com,1980,55.97704
com,2000,74.51404
com,2012,56.4798
com,2018,64.6442
cpv,1990,74.75927
cpv,2000,83.83761
cpv,2012,90.4745
cpv,2015,91.69144
cri,1984,92.68214
cri,2000,94.65018
cri,2011,97.30633
cri,2018,97.80235
cub,2002,99.80731
cub,2012,99.70606
cym,2007,98.72239
cyp,1992,97.83059
cyp,2001,98.63104
cyp,2011,99.28615
dom,1981,73.59025
dom,2002,86.81102
dom,2007,88.21015
dom,2010,89.37704
dom,2011,89.98501
dom,2012,90.08482
dom,2013,90.45813
dom,2014,91.3716
dom,2015,91.65071
dom,2016,93.7936
dza,1987,63.37743
dza,2002,79.18669
dza,2006,81.28404
dza,2008,82.61584
dza,2018,87.42296
ecu,1982,86.78697
ecu,1990,90.49677
ecu,2001,92.32713
ecu,2007,93.3892
ecu,2008,93.74945
ecu,2009,93.66378
ecu,2010,93.31687
ecu,2011,93.05252
ecu,2012,93.25424
ecu,2013,94.42573
ecu,2014,95.25717
ecu,2015,95.72622
ecu,2016,95.44502
ecu,2017,93.77906
ecu,2020,94.81251
egy,1976,53.61519
egy,1986,56.97616
egy,1996,67.15178
egy,2005,77.91013
egy,2006,74.6218
egy,2010,80.26865
egy,2012,81.67922
egy,2013,81.69406
egy,2017,76.49522
eri,2002,65.39012
eri,2008,75.07241
eri,2018,84.37324
esp,1981,95.89753
esp,1991,98.03549
esp,2004,98.14391
esp,2005,98.61747
esp,2006,98.56103
esp,2007,98.63346
esp,2008,98.4023
esp,2009,98.46194
esp,2010,98.52571
esp,2011,98.53619
esp,2012,98.60653
esp,2013,98.74875
esp,2014,98.73127
esp,2015,98.77089
esp,2016,98.83597
esp,2018,98.92539
esp,2020,99.02506
est,1989,99.87598
est,2000,99.77595
est,2011,99.85898
eth,1994,35.98253
eth,2004,50
eth,2005,41.93662
eth,2007,49.13466
eth,2017,59.24146
gab,1993,79.44418
gab,2012,84.8733
gab,2018,85.85235
geo,2002,99.76898
geo,2014,99.66821
geo,2017,99.43752
geo,2019,99.68112
gha,2000,66.35128
gha,2010,78.34891
gha,2018,83.52458
gin,1996,32.89534
gin,2003,42.90316
gin,2010,36.78979
gin,2014,43.64009
gin,2018,54.43117
gmb,2000,48.98115
gmb,2013,51.41804
gmb,2015,61.76725
gnb,1979,33.34895
gnb,2000,57.61375
gnb,2014,62.15797
gnq,2000,94.84261
gnq,2010,97.184
grc,1981,96.0638
grc,1991,96.03746
grc,2001,97.81122
grc,2005,95.45006
grc,2007,96.15757
grc,2009,96.06622
grc,2011,98.28216
grc,2018,98.50705
grd,1970,98.04716
grd,1984,98.58
grd,1994,98.58
grd,2004,98.58
grd,2014,98.58
gtm,1994,71.70639
gtm,2002,75.41558
gtm,2012,84.84873
gtm,2013,82.72068
gtm,2014,86.75616
gtm,2018,85.34118
gum,1980,96.38266
gum,1990,99.41711
guy,2009,82.43656
guy,2014,86.31438
hnd,2001,79.78523
hnd,2007,83.74603
hnd,2010,84.78901
hnd,2011,85.34128
hnd,2012,85.6962
hnd,2013,85.66837
hnd,2014,87.39595
hnd,2015,87.92208
hnd,2016,89.04894
hnd,2018,87.13764
hnd,2019,88.24963
hrv,1991,98.75706
hrv,2001,99.32059
hrv,2011,99.62971
hti,1982,37.12974
hti,2003,63.09002
hti,2006,53.35505
hti,2016,65.27765
hun,1980,99.30319
hun,2014,99.16
idn,1980,77.475
idn,1990,88.02452
idn,2004,94.03508
idn,2006,95.15854
idn,2008,95.38319
