geo,time,se_prm_durs
abw,1970,6
abw,1971,6
abw,1972,6
abw,1973,6
abw,1974,6
abw,1975,6
abw,1976,6
abw,1977,6
abw,1978,6
abw,1979,6
abw,1980,6
abw,1981,6
abw,1982,6
abw,1983,6
abw,1984,6
abw,1985,6
abw,1986,6
abw,1987,6
abw,1988,6
abw,1989,6
abw,1990,6
abw,1991,6
abw,1992,6
abw,1993,6
abw,1994,6
abw,1995,6
abw,1996,6
abw,1997,6
abw,1998,6
abw,1999,6
abw,2000,6
abw,2001,6
abw,2002,6
abw,2003,6
abw,2004,6
abw,2005,6
abw,2006,6
abw,2007,6
abw,2008,6
abw,2009,6
abw,2010,6
abw,2011,6
abw,2012,6
abw,2013,6
abw,2014,6
abw,2015,6
abw,2016,6
abw,2017,6
abw,2018,6
abw,2019,6
abw,2020,6
abw,2021,6
afg,1970,6
afg,1971,6
afg,1972,6
afg,1973,6
afg,1974,6
afg,1975,6
afg,1976,6
afg,1977,6
afg,1978,6
afg,1979,6
afg,1980,6
afg,1981,6
afg,1982,6
afg,1983,6
afg,1984,6
afg,1985,6
afg,1986,6
afg,1987,6
afg,1988,6
afg,1989,6
afg,1990,6
afg,1991,6
afg,1992,6
afg,1993,6
afg,1994,6
afg,1995,6
afg,1996,6
afg,1997,6
afg,1998,6
afg,1999,6
afg,2000,6
afg,2001,6
afg,2002,6
afg,2003,6
afg,2004,6
afg,2005,6
afg,2006,6
afg,2007,6
afg,2008,6
afg,2009,6
afg,2010,6
afg,2011,6
afg,2012,6
afg,2013,6
afg,2014,6
afg,2015,6
afg,2016,6
afg,2017,6
afg,2018,6
afg,2019,6
afg,2020,6
afg,2021,6
ago,1970,4
ago,1971,4
ago,1972,4
ago,1973,4
ago,1974,4
ago,1975,4
ago,1976,4
ago,1977,4
ago,1978,4
ago,1979,4
ago,1980,4
ago,1981,4
ago,1982,4
ago,1983,4
ago,1984,4
ago,1985,4
ago,1986,4
ago,1987,4
ago,1988,4
ago,1989,4
ago,1990,4
ago,1991,4
ago,1992,4
ago,1993,4
ago,1994,4
ago,1995,4
ago,1996,4
ago,1997,4
ago,1998,4
ago,1999,4
ago,2000,4
ago,2001,4
ago,2002,4
ago,2003,4
ago,2004,4
ago,2005,4
ago,2006,4
ago,2007,6
ago,2008,6
ago,2009,6
ago,2010,6
ago,2011,6
ago,2012,6
ago,2013,6
ago,2014,6
ago,2015,6
ago,2016,6
ago,2017,6
ago,2018,6
ago,2019,6
ago,2020,6
ago,2021,6
alb,1970,4
alb,1971,4
alb,1972,4
alb,1973,4
alb,1974,4
alb,1975,4
alb,1976,4
alb,1977,4
alb,1978,4
alb,1979,4
alb,1980,4
alb,1981,4
alb,1982,4
alb,1983,4
alb,1984,4
alb,1985,4
alb,1986,4
alb,1987,4
alb,1988,4
alb,1989,4
alb,1990,4
alb,1991,4
alb,1992,4
alb,1993,4
alb,1994,4
alb,1995,4
alb,1996,4
alb,1997,4
alb,1998,4
alb,1999,4
alb,2000,4
alb,2001,4
alb,2002,4
alb,2003,4
alb,2004,4
alb,2005,4
alb,2006,4
alb,2007,4
alb,2008,4
alb,2009,5
alb,2010,5
alb,2011,5
alb,2012,5
alb,2013,5
alb,2014,5
alb,2015,5
alb,2016,5
alb,2017,5
alb,2018,5
alb,2019,5
alb,2020,5
alb,2021,5
and,1970,5
and,1971,5
and,1972,5
and,1973,5
and,1974,5
and,1975,5
and,1976,5
and,1977,5
and,1978,5
and,1979,5
and,1980,5
and,1981,5
and,1982,5
and,1983,5
and,1984,5
and,1985,5
and,1986,5
and,1987,5
and,1988,5
and,1989,5
and,1990,5
and,1991,5
and,1992,5
and,1993,5
and,1994,5
and,1995,5
and,1996,5
and,1997,6
and,1998,6
and,1999,6
and,2000,6
and,2001,6
and,2002,6
and,2003,6
and,2004,6
and,2005,6
and,2006,6
and,2007,6
and,2008,6
and,2009,6
and,2010,6
and,2011,6
and,2012,6
and,2013,6
and,2014,6
and,2015,6
and,2016,6
and,2017,6
and,2018,6
and,2019,6
and,2020,6
and,2021,6
are,1970,6
are,1971,6
are,1972,6
are,1973,6
are,1974,6
are,1975,6
are,1976,6
are,1977,6
are,1978,6
are,1979,6
are,1980,6
are,1981,6
are,1982,6
are,1983,6
are,1984,6
are,1985,6
are,1986,6
are,1987,6
are,1988,6
are,1989,6
are,1990,6
are,1991,6
are,1992,6
are,1993,6
are,1994,6
are,1995,6
are,1996,6
are,1997,6
are,1998,6
are,1999,6
are,2000,6
are,2001,6
are,2002,6
are,2003,5
are,2004,5
are,2005,5
are,2006,5
are,2007,5
are,2008,5
are,2009,5
are,2010,5
are,2011,5
are,2012,5
are,2013,5
are,2014,5
are,2015,5
are,2016,5
are,2017,5
are,2018,5
are,2019,5
are,2020,4
arg,1970,7
arg,1971,7
arg,1972,7
arg,1973,7
arg,1974,7
arg,1975,7
arg,1976,7
arg,1977,7
arg,1978,7
arg,1979,7
arg,1980,7
arg,1981,7
arg,1982,7
arg,1983,7
arg,1984,7
arg,1985,7
arg,1986,7
arg,1987,7
arg,1988,7
arg,1989,7
arg,1990,7
arg,1991,7
arg,1992,7
arg,1993,7
arg,1994,7
arg,1995,7
arg,1996,7
arg,1997,7
arg,1998,6
arg,1999,6
arg,2000,6
arg,2001,6
arg,2002,6
arg,2003,6
arg,2004,6
arg,2005,6
arg,2006,6
arg,2007,6
arg,2008,6
arg,2009,6
arg,2010,6
arg,2011,6
arg,2012,6
arg,2013,6
arg,2014,6
arg,2015,6
arg,2016,6
arg,2017,6
arg,2018,6
arg,2019,6
arg,2020,6
arg,2021,6
arm,1970,3
arm,1971,3
arm,1972,3
arm,1973,3
arm,1974,3
arm,1975,3
arm,1976,3
arm,1977,3
arm,1978,3
arm,1979,3
arm,1980,3
arm,1981,3
arm,1982,3
arm,1983,3
arm,1984,3
arm,1985,3
arm,1986,3
arm,1987,3
arm,1988,3
arm,1989,3
arm,1990,3
arm,1991,3
arm,1992,3
arm,1993,3
arm,1994,4
arm,1995,4
arm,1996,4
arm,1997,3
arm,1998,3
arm,1999,3
arm,2000,3
arm,2001,3
arm,2002,3
arm,2003,3
arm,2004,3
arm,2005,3
arm,2006,3
arm,2007,3
arm,2008,3
arm,2009,3
arm,2010,3
arm,2011,4
arm,2012,4
arm,2013,4
arm,2014,4
arm,2015,4
arm,2016,4
arm,2017,4
arm,2018,4
arm,2019,4
arm,2020,4
arm,2021,4
asm,1981,8
asm,1982,8
asm,1983,8
asm,1984,8
asm,1985,8
asm,1986,8
asm,1987,8
asm,1988,8
asm,1989,8
asm,1990,8
asm,1991,8
asm,1992,8
asm,1993,8
asm,1994,8
asm,1995,8
asm,1996,8
asm,1997,8
asm,1998,6
asm,1999,6
asm,2000,6
asm,2001,6
asm,2002,6
asm,2003,6
asm,2004,6
asm,2005,6
asm,2006,6
asm,2007,6
asm,2008,6
asm,2009,6
asm,2010,6
asm,2011,6
asm,2012,6
asm,2013,6
asm,2014,6
asm,2015,6
asm,2016,6
asm,2017,6
asm,2018,6
asm,2019,6
