global,time,se_prm_enrl
world,1970,401903296
world,1971,412271200
world,1972,425980672
world,1973,448901152
world,1974,463630080
world,1975,479301792
world,1976,491223616
world,1977,500531776
world,1978,502909056
world,1979,512330624
world,1980,525399776
world,1981,534162048
world,1982,541042752
world,1983,545123456
world,1984,549388544
world,1985,552313728
world,1986,559941312
world,1987,557872000
world,1988,564887488
world,1989,571985728
world,1990,576902016
world,1991,583040384
world,1992,589214720
world,1993,599523136
world,1994,610629568
world,1995,623666944
world,1996,631772608
world,1997,640945984
world,1998,651431104
world,1999,653888896
world,2000,657403968
world,2001,654176384
world,2002,649815104
world,2003,654776768
world,2004,675523392
world,2005,679009152
world,2006,681383296
world,2007,689512000
world,2008,693726016
world,2009,694845632
world,2010,697378112
world,2011,702326400
world,2012,710457792
world,2013,717068032
world,2014,715625664
world,2015,719649664
world,2016,736674112
world,2017,742831104
world,2018,732029376
world,2019,739417408
