geo,time,se_prm_enrl_fe_zs
abw,1999,48.85664
abw,2000,48.60196
abw,2001,48.64349
abw,2002,48.24187
abw,2003,47.98424
abw,2004,47.88414
abw,2005,48.34146
abw,2006,48.80654
abw,2007,48.58883
abw,2008,48.53176
abw,2009,48.6424
abw,2010,48.90444
abw,2011,48.36479
abw,2012,49.60621
abw,2013,48.39335
abw,2014,48.16626
afg,1970,14.08269
afg,1971,13.74349
afg,1972,14.00464
afg,1973,14.54673
afg,1974,14.44661
afg,1975,15.02422
afg,1976,15.42992
afg,1977,16.04606
afg,1978,16.45924
afg,1980,18.06618
afg,1981,18.47081
afg,1982,32.38347
afg,1984,30.97858
afg,1985,31.39768
afg,1986,33.86037
afg,1988,32.14149
afg,1989,33.26159
afg,1990,34.00202
afg,1991,33.8417
afg,1993,24.52793
afg,1994,31.67316
afg,1995,32.02797
afg,1999,7.32191
afg,2000,0
afg,2001,0
afg,2002,30.17938
afg,2003,34.76495
afg,2004,29.1264
afg,2005,35.68696
afg,2006,37.23035
afg,2007,36.89484
afg,2008,37.78309
afg,2009,38.57131
afg,2010,39.34104
afg,2011,40.47591
afg,2012,40.71588
afg,2013,40.11072
afg,2014,39.95768
afg,2015,39.38989
afg,2016,39.35422
afg,2017,39.26577
afg,2018,38.95507
ago,1971,35.66821
ago,1972,36.41181
ago,1982,46.75126
ago,1983,45.49316
ago,1986,45.22985
ago,1987,45.13421
ago,1988,44.54734
ago,1989,45.69494
ago,1990,48.02435
ago,1991,48.02278
ago,1992,46.47721
ago,1998,45.5752
ago,2008,46.12396
ago,2009,45.84251
ago,2010,44.73841
ago,2011,38.91205
ago,2015,46.86435
alb,1976,47.46547
alb,1978,47.67218
alb,1979,47.62556
alb,1980,47.89461
alb,1981,47.76147
alb,1982,47.92234
alb,1983,48.27844
alb,1984,47.818
alb,1985,48.02425
alb,1986,48.10384
alb,1987,47.60533
alb,1988,48.29131
alb,1989,48.10475
alb,1990,48.07611
alb,1991,48.2046
alb,1992,48.54349
alb,1993,49.18068
alb,1994,48.26028
alb,1995,47.93367
alb,1996,48.00117
alb,1997,48.06773
alb,1998,48.09035
alb,1999,48.14257
alb,2000,48.26954
alb,2001,48.57986
alb,2002,47.8185
alb,2003,48.10129
alb,2004,48.213
alb,2005,48.04748
alb,2006,48.11288
alb,2007,48.07519
alb,2008,47.85715
alb,2009,47.60612
alb,2010,47.56496
alb,2011,47.42465
alb,2012,47.22893
alb,2013,47.14702
alb,2014,47.31709
alb,2015,47.11129
alb,2016,47.24054
alb,2017,47.16191
alb,2018,47.42217
and,1975,49.79405
and,1983,47.46597
and,2002,47.41967
and,2003,47.17528
and,2004,47.06848
and,2005,46.85435
and,2006,47.43767
and,2007,47.2103
and,2008,47.19501
and,2009,47.5637
and,2010,48.15663
and,2011,47.78325
and,2012,47.02179
and,2013,47.12389
and,2014,47.10947
and,2015,47.23823
and,2016,47.0339
and,2017,48.06474
and,2018,47.83815
are,1971,37.71185
are,1972,38.27019
are,1973,40.89195
are,1974,42.82917
are,1975,43.81914
are,1976,45.38472
are,1977,46.58391
are,1978,47.07119
are,1979,47.52365
are,1980,47.55064
are,1981,47.78203
are,1982,47.61442
are,1983,47.72895
are,1984,47.97121
are,1985,48.02832
are,1986,48.18932
are,1987,48.43983
are,1988,48.41405
are,1989,48.334
are,1990,48.23785
are,1991,48.15879
are,1992,48.04682
are,1993,48.18027
are,1994,47.9696
are,1995,47.86047
are,1996,48.11455
are,1997,48.0492
are,1998,48.14908
are,1999,48.0291
are,2000,47.85534
are,2001,47.97822
are,2002,48.0556
are,2003,48.27999
are,2004,48.34251
are,2005,48.49452
are,2006,48.54754
are,2007,48.51391
are,2009,48.15678
are,2010,48.58966
are,2011,48.63684
are,2012,48.60735
are,2013,48.73609
are,2014,48.88817
are,2015,48.92543
are,2016,48.11266
are,2017,49.0298
arg,1970,49.40404
arg,1971,49.37132
arg,1972,49.25455
arg,1973,49.35322
arg,1974,49.22184
arg,1975,49.24784
arg,1976,49.17641
arg,1977,49.2088
arg,1978,49.52302
arg,1979,49.18637
arg,1980,49.2001
arg,1981,49.18086
arg,1982,49.11483
arg,1984,49.28395
arg,1985,49.42434
arg,1986,49.11248
arg,1987,49.34345
arg,1988,50.63092
arg,1990,49.09786
arg,1991,49.09594
arg,1996,48.94371
arg,1997,49.2139
arg,1998,48.9743
arg,1999,49.24199
arg,2000,49.0851
arg,2001,49.09796
arg,2002,49.08889
arg,2003,49.05026
arg,2004,48.97273
arg,2005,48.92995
arg,2006,48.99691
arg,2007,49.05478
arg,2008,49.01723
arg,2009,48.99872
arg,2010,48.79207
arg,2011,48.81167
arg,2012,48.80953
arg,2013,48.89107
arg,2014,49.04683
arg,2015,49.06351
arg,2016,49.03375
arg,2017,49.04022
arm,1991,50.60575
arm,1992,50.27599
arm,1993,50.27583
arm,1994,50.55135
arm,1995,50.26833
arm,1996,50.28361
arm,1997,50.83079
arm,1999,51.50639
arm,2000,49.04607
arm,2001,49.17471
arm,2002,48.73989
arm,2003,48.50162
arm,2004,48.347
arm,2005,48.19136
arm,2006,47.81732
arm,2007,47.21591
arm,2008,46.74371
arm,2009,46.8296
arm,2010,46.8115
arm,2011,46.64414
arm,2012,46.6657
arm,2013,46.75479
