geo,time,se_prm_enrl_tc_zs
abw,1999,19.23044
abw,2000,19.05967
abw,2001,18.94779
abw,2002,19.06977
abw,2003,18.43017
abw,2004,18.45109
abw,2005,18.0776
abw,2006,18.16434
abw,2007,17.41751
abw,2008,17.29188
abw,2009,17.08591
abw,2010,16.82253
abw,2011,15.08609
abw,2012,14.78869
afg,1970,41.22332
afg,1971,39.10539
afg,1972,40.38314
afg,1973,38.32161
afg,1974,37.21537
afg,1975,37.30693
afg,1976,35.75747
afg,1989,36.40558
afg,1990,41.20965
afg,1993,48.67153
afg,1994,57.91294
afg,1998,32.10315
afg,1999,33.18571
afg,2006,42.32602
afg,2007,42.7703
afg,2008,43.72982
afg,2009,42.83639
afg,2010,44.41709
afg,2011,43.51915
afg,2012,44.67743
afg,2013,45.71171
afg,2015,43.38836
afg,2016,44.58162
afg,2017,47.98298
afg,2018,48.78979
ago,1971,44.38688
ago,1972,42.84184
ago,1973,40.89138
ago,1974,32.32685
ago,1982,31.45022
ago,1983,36.82133
ago,1984,31.77187
ago,1985,29.81775
ago,1986,31.273
ago,1987,33.39832
ago,1988,32.57673
ago,1989,33.42115
ago,1991,31.87673
ago,1992,27.18103
ago,1998,41.75324
ago,2007,41.0124
ago,2010,45.58651
ago,2011,42.54306
ago,2015,50.02951
alb,1997,22.75761
alb,2000,22.56784
alb,2001,21.75244
alb,2003,21.49541
alb,2008,19.4078
alb,2009,20.17793
alb,2010,19.70208
alb,2011,19.86917
alb,2012,19.48298
alb,2013,19.12103
alb,2014,18.92294
alb,2015,18.61557
alb,2016,18.19844
alb,2017,17.94478
alb,2018,17.57287
and,1975,15.38732
and,1983,9.72676
and,2002,12.67901
and,2003,12.0758
and,2004,12.65282
and,2005,11.47472
and,2006,10.4891
and,2007,10.24769
and,2008,10.02679
and,2009,10.33256
and,2010,9.64018
and,2011,9.84527
and,2012,9.58237
and,2013,9.33028
and,2014,9.51991
and,2015,9.93795
and,2016,10.06635
and,2017,10.5
and,2018,10.49757
are,1971,27.30645
are,1972,23.68994
are,1973,19.63619
are,1974,17.17656
are,1975,14.75211
are,1976,16.3607
are,1977,15.67131
are,1978,16.04642
are,1979,16.23312
are,1980,16.25985
are,1981,16.33794
are,1982,21.48346
are,1983,21.77902
are,1984,24.01023
are,1985,24.1961
are,1986,24.84485
are,1987,24.35787
are,1988,24.96814
are,1989,18.34669
are,1990,18.08003
are,1991,18.28038
are,1992,17.63254
are,1993,17.10681
are,1994,17.02467
are,1995,16.99968
are,1996,16.53584
are,1997,16.07066
are,1998,15.85782
are,1999,16.01551
are,2000,16.14708
are,2001,15.94765
are,2002,15.27716
are,2003,15.21595
are,2004,15.00218
are,2005,15.23077
are,2006,15.47687
are,2007,17.19022
are,2009,15.60016
are,2010,16.83357
are,2011,17.03397
are,2012,18.18358
are,2013,16.06864
are,2014,18.93254
are,2015,23.61794
are,2016,24.52278
arg,1970,19.24521
arg,1971,19.00165
arg,1972,18.77662
arg,1973,18.96393
arg,1974,19.10151
arg,1975,18.22059
arg,1976,18.07052
arg,1977,18.45777
arg,1979,18.51625
arg,1980,20.23058
arg,1981,20.23262
arg,1982,20.32281
arg,1984,20.27509
arg,1985,19.97819
arg,1986,20.00797
arg,1987,19.45186
arg,1988,19.25796
arg,1994,17.53274
arg,1996,16.73337
arg,1997,16.66847
arg,1998,19.92697
arg,1999,21.77841
arg,2000,20.05203
arg,2001,18.02999
arg,2002,17.596
arg,2004,17.95223
arg,2005,17.44373
arg,2006,17.1849
arg,2007,16.36028
arg,2008,17.22969
arm,1991,17.67076
arm,1994,20.61326
arm,1996,19.0061
arm,1997,15.96615
arm,1998,15.9995
arm,1999,16.07076
arm,2001,20.3441
arm,2002,20.34332
arm,2003,18.8372
arm,2004,20.26241
arm,2005,21.19732
arm,2006,21.24161
arm,2007,19.3076
arm,2018,15.41859
asm,1971,23.14286
asm,1972,21.55455
asm,1973,21.58841
asm,1976,23.25166
asm,1977,21.86452
asm,1982,17.07342
asm,1984,20.88728
asm,1985,21.30919
asm,1986,16.96916
asm,1987,16.87257
asm,1988,15.98807
asm,1989,17.71429
asm,1990,18.5987
asm,1991,17.26316
asm,1992,15.0458
atg,1972,25.11017
atg,1974,25.49091
atg,1975,23.78043
atg,1976,21.64122
atg,1977,26.04296
atg,1978,24.53865
atg,1979,24.50513
atg,2000,18.74101
atg,2007,21.50372
atg,2008,17.12889
atg,2009,16.22446
atg,2010,15.0656
atg,2011,14.51203
atg,2012,13.84503
atg,2014,14.2465
atg,2015,14.33428
atg,2017,12.05576
atg,2018,12.40564
aus,1971,25.11653
aus,1972,24.20741
aus,1973,23.59209
aus,1974,21.64596
aus,1975,20.82812
aus,1976,20.04911
aus,1977,19.46907
aus,1978,19.3371
aus,1979,18.8736
aus,1981,18.72319
aus,1984,15.6073
aus,1986,16.76363
aus,1987,16.59772
aus,1988,16.63185
aus,1989,16.75533
aus,1991,16.59162
aus,1992,16.56896
aus,1993,16.58239
aus,1995,18.14897
aus,1996,18.072
aus,1997,17.88299
aus,1998,17.8757
aus,1999,17.87578
aut,1971,21.43599
aut,1972,21.53882
aut,1973,21.26926
aut,1974,20.63155
aut,1975,20.27134
aut,1976,19.02794
aut,1978,16.38821
aut,1979,17.08714
aut,1980,15.96325
aut,1981,14.54667
aut,1982,13.96851
aut,1983,13.2592
aut,1984,12.68624
aut,1985,12.16607
aut,1986,10.48049
aut,1987,10.36293
aut,1988,10.52307
aut,1989,10.73233
aut,1990,10.85945
aut,1991,10.81473
aut,1992,10.84969
aut,1993,11.42039
aut,1994,11.90393
aut,1995,11.68606
aut,1996,12.45371
aut,1997,12.22127
aut,1998,12.14873
aut,1999,13.45715
aut,2002,13.26801
aut,2003,13.1816
aut,2004,13.13389
aut,2005,12.40884
aut,2006,12.23292
aut,2007,11.86203
aut,2008,11.62932
aut,2009,11.36314
aut,2010,11.02831
aut,2011,10.89398
aut,2012,10.82489
aut,2013,10.7043
aut,2014,10.71766
aut,2015,10.58415
aut,2016,10.30374
aut,2017,10.01653
aze,1991,19.78412
aze,1992,19.81668
aze,1993,19.5759
aze,1994,18.8577
aze,1995,18.98289
aze,1996,20.16771
aze,1997,20.00307
