geo,time,se_prm_gint_fe_zs
abw,1999,100.86455
abw,2000,106.72269
abw,2003,100.26954
abw,2004,97.97023
abw,2005,104.25824
abw,2006,107.32394
abw,2007,104.14286
abw,2008,104.92754
abw,2009,105.43319
abw,2010,100.59084
abw,2013,113.21321
abw,2014,108.88554
afg,1974,9.9835
afg,1977,11.19766
afg,1978,11.93265
afg,1980,18.67886
afg,1981,22.87538
afg,1982,12.38387
afg,1984,16.4392
afg,1985,19.00306
afg,1993,13.30766
afg,1999,8.63447
afg,2002,141.43952
afg,2003,145.41959
afg,2005,87.24497
afg,2007,74.02942
afg,2009,84.41596
afg,2010,91.0462
afg,2011,95.58944
afg,2012,101.38488
afg,2013,96.46611
afg,2014,92.19567
afg,2015,87.5875
afg,2018,90.44738
ago,1998,60.59175
ago,2008,126.30957
ago,2009,123.94696
ago,2010,122.83605
ago,2011,120.47758
alb,1996,96.42744
alb,2000,99.98119
alb,2001,101.42926
alb,2003,100.24219
alb,2004,97.8321
alb,2005,97.54111
alb,2006,94.56109
alb,2007,98.19055
alb,2008,100.22164
alb,2009,84.64284
alb,2010,99.9652
alb,2011,98.59591
alb,2012,103.59897
alb,2013,108.28843
alb,2014,109.80566
alb,2015,111.83151
alb,2016,112.15617
alb,2017,112.06482
alb,2018,111.1671
are,1974,87.93498
are,1975,84.44688
are,1976,82.86587
are,1977,78.6958
are,1978,74.73763
are,1979,63.78209
are,1980,66.40387
are,1981,65.97978
are,1982,95.46742
are,1983,90.56726
are,1984,96.62821
are,1985,97.22946
are,1986,97.51108
are,1987,100.24594
are,1988,102.22618
are,1989,104.49856
are,1990,106.49274
are,1991,101.85138
are,1992,101.06539
are,1993,100.57629
are,1994,98.86604
are,1995,102.31638
are,1996,99.19922
are,1997,91.45132
are,1998,88.15291
are,2007,106.51431
are,2012,105.30311
are,2013,101.37784
are,2014,104.96148
are,2015,97.08431
arg,1970,118.31683
arg,1971,119.36264
arg,1975,114.87984
arg,1976,116.21317
arg,1991,92.4599
arg,1996,112.54373
arg,1997,112.0217
arg,1998,111.78756
arg,1999,108.49268
arg,2000,108.05448
arg,2001,110.17931
arg,2002,111.21832
arg,2003,109.72206
arg,2004,109.02086
arg,2005,107.99802
arg,2006,109.04334
arg,2007,107.32327
arg,2008,105.61604
arg,2009,106.97319
arg,2010,106.08746
arg,2011,106.92857
arg,2012,103.87017
arg,2013,101.86259
arg,2014,101.99497
arg,2015,105.02833
arg,2016,106.07442
arg,2017,106.03708
arm,1999,112.92271
arm,2000,96.69727
arm,2002,102.00032
arm,2003,93.05187
arm,2004,94.02489
arm,2005,102.21124
arm,2006,107.71846
arm,2008,100.1584
arm,2009,101.58598
arm,2010,105.49256
arm,2011,103.1168
arm,2012,100.83944
arm,2013,96.96201
arm,2014,96.82875
arm,2015,96.11416
arm,2016,97.78775
arm,2017,96.50902
arm,2018,92.50577
atg,1975,93.33333
atg,1976,103.16027
atg,1992,129.59641
atg,2007,111.54401
atg,2008,108.28488
atg,2009,104.41826
atg,2011,107.08783
atg,2012,97.55352
atg,2014,110.53412
atg,2015,112.35294
atg,2017,95.05095
atg,2018,99.57082
aut,1971,100.74629
aut,1972,99.39621
aut,1973,96.6
aut,1998,105.45598
aut,1999,104.19448
aut,2002,99.5139
aut,2004,101.21564
aut,2011,97.68527
aut,2012,98.93467
aut,2013,98.18161
aut,2014,97.99521
aut,2015,98.14376
aut,2016,99.22767
aut,2017,101.07732
aze,1991,99.15763
aze,1992,95.48853
aze,1993,93.36021
aze,1994,104.34984
aze,1995,104.71464
aze,1996,94.26967
aze,1997,92.53635
aze,1998,92.78098
aze,1999,98.81722
aze,2000,94.054
aze,2001,96.19299
aze,2002,90.53392
aze,2003,90.85901
aze,2004,96.65539
aze,2005,85.6781
aze,2006,85.40494
aze,2007,90.51734
aze,2008,95.00388
aze,2009,93.52972
