global,time,se_prm_gint_ma_zs
world,1970,113.1305
world,1971,113.4579
world,1972,114.132
world,1973,115.1528
world,1974,115.3613
world,1975,117.1815
world,1976,118.0355
world,1977,118.5571
world,1978,118.0805
world,1979,119.1495
world,1980,118.2281
world,1981,118.552
world,1982,117.1287
world,1983,118.9022
world,1984,120.0974
world,1985,119.8515
world,1986,118.1865
world,1987,114.921
world,1988,114.3563
world,1989,112.2624
world,1990,112.9406
world,1991,109.6196
world,1992,108.6956
world,1993,109.2166
world,1994,108.4641
world,1995,109.0587
world,1996,108.7866
world,1997,109.2064
world,1998,109.0476
world,1999,108.9162
world,2000,110.7053
world,2001,111.7373
world,2002,113.181
world,2003,113.7779
world,2004,112.8618
world,2005,114.1922
world,2006,113.0615
world,2007,113.3395
world,2008,113.1038
world,2009,109.1002
world,2010,109.9369
world,2011,109.1047
world,2012,108.275
world,2013,107.5616
world,2014,106.7914
world,2015,106.6437
world,2016,107.4125
world,2017,106.2573
world,2018,106.5963
