geo,time,se_prm_oenr_zs
abw,1999,12.56596
abw,2000,11.25985
abw,2001,12.57948
abw,2002,14.0752
abw,2003,13.95372
abw,2004,14.54099
abw,2005,12.11707
abw,2006,12.84889
abw,2007,11.98531
abw,2008,12.03556
abw,2009,9.33226
abw,2010,11.69608
abw,2013,11.45568
abw,2014,11.45069
afg,1974,18.43234
afg,1993,7.13143
ago,1982,60.39768
ago,1983,58.8847
ago,1998,36.60637
ago,2008,28.13541
ago,2009,28.10576
ago,2010,28.13743
ago,2011,23.23049
alb,1999,8.4579
alb,2000,8.45793
alb,2001,8.83956
alb,2003,8.30601
alb,2004,7.38917
alb,2008,9.11137
alb,2009,8.13504
alb,2010,7.97087
alb,2011,8.21154
alb,2012,8.02306
alb,2013,7.87141
alb,2014,6.56295
alb,2015,6.94056
alb,2016,6.53917
alb,2017,6.14233
alb,2018,6.58079
and,2014,8.09348
and,2015,8.35735
and,2016,8.07439
and,2017,7.62374
and,2018,6.79769
are,1978,15.8609
are,1980,12.72648
are,1981,13.26946
are,1982,11.69939
are,1983,4.98737
are,1984,4.47264
are,1985,4.11111
are,1986,4.03155
are,1987,7.50379
are,1988,6.67499
are,1989,6.53715
are,1990,6.75352
are,1991,6.74688
are,1992,6.63864
are,1993,6.50567
are,1994,7.26167
are,1995,5.37148
are,1996,5.21656
are,1997,5.20753
are,1998,5.10636
are,1999,4.96957
are,2000,4.77221
are,2001,4.79361
are,2002,4.3126
are,2003,4.24286
are,2004,4.03532
are,2005,3.51893
are,2006,3.37641
are,2007,3.2482
are,2009,2.77075
are,2010,2.82099
are,2011,3.03891
are,2012,3.08172
are,2013,3.08829
are,2014,3.27642
are,2015,5.51331
are,2016,4.25359
are,2017,4.48131
arg,1970,9.27763
arg,1974,8.4379
arg,1975,8.61836
arg,1987,10.32002
arg,1991,10.33689
arg,1997,5.57432
arg,1998,7.3387
arg,1999,10.11659
arg,2000,10.19093
arg,2001,10.37059
arg,2002,10.82
arg,2003,11.15322
arg,2004,11.52822
arg,2005,11.49189
arg,2006,11.88405
arg,2007,12.19147
arg,2008,12.25832
