geo,time,se_prm_prs5_ma_zs
abw,1999,97.32151
abw,2001,92.10797
abw,2002,93.7913
abw,2003,94.71686
abw,2004,92.53274
abw,2006,93.64661
abw,2007,88.05661
abw,2008,86.91399
abw,2013,92.39189
afg,1973,66.13171
afg,1976,71.54778
afg,1977,77.88952
afg,1980,61.89124
ago,2008,44.31929
ago,2009,52.57597
alb,1995,18.83273
alb,2008,91.64917
alb,2009,95.06567
alb,2010,97.8378
alb,2011,98.46882
alb,2012,97.61909
alb,2013,98.32625
alb,2014,95.12022
alb,2015,88.65686
alb,2016,92.73267
alb,2017,91.63765
alb,2018,89.4172
alb,2019,88.87198
and,2006,99.95094
and,2007,96.95235
and,2008,94.77405
and,2009,92.71054
and,2010,92.17308
and,2011,93.49149
and,2012,97.85523
and,2013,97.46456
and,2016,98.75914
are,1973,64.54632
are,1977,96.63164
are,1978,91.12287
are,1982,97.67569
are,1983,88.79709
are,1984,82.65712
are,1985,91.59174
are,1986,85.37209
are,1987,91.13337
are,1988,96.12556
are,1989,97.4087
are,1990,96.2478
are,1991,80.26819
are,1992,88.05722
are,1993,100
are,1994,97.37323
are,1995,81.3517
are,1996,83.18935
are,1997,91.64787
are,1998,96.77137
are,1999,92.54609
are,2000,95.06666
are,2001,95.57497
are,2003,93.35305
are,2004,94.9103
are,2005,97.06964
are,2006,96.64423
are,2010,84.54929
are,2012,90.8167
arg,1970,73.37634
arg,1974,69.8878
arg,1975,74.50329
arg,1996,69.92834
arg,1998,89.48098
arg,1999,98.27386
arg,2000,93.30398
arg,2001,92.84423
arg,2002,85.51798
arg,2003,98.14452
arg,2004,90.603
arg,2005,96.99247
arg,2006,96.40608
arg,2007,99.07628
arg,2008,95.86792
arg,2009,97.62305
arg,2010,94.81023
arg,2011,98.2223
arg,2012,96.18751
arg,2013,96.81927
arg,2014,96.00538
arg,2015,98.60103
arg,2016,95.42372
arg,2017,95.51228
arg,2018,95.09706
atg,2007,92.00024
atg,2014,89.893
bdi,1972,13.87425
bdi,1973,49.72687
bdi,1974,67.98669
bdi,1975,57.74186
bdi,1976,56.94424
bdi,1977,84.17686
bdi,1978,60.85174
bdi,1979,78.52386
bdi,1980,81.20113
bdi,1982,86.74442
bdi,1983,85.49434
bdi,1984,83.78906
bdi,1986,87.3067
bdi,1987,83.57311
