geo,time,se_prm_prsl_fe_zs
abw,1999,93.87686
abw,2001,98.79518
abw,2002,95.77121
abw,2003,95.0455
abw,2004,95.51022
abw,2006,94.69581
abw,2007,87.98737
abw,2008,97.23148
abw,2013,99.60611
afg,1973,47.77895
afg,1976,73.92552
afg,1977,77.64868
ago,2008,25.73058
ago,2009,26.86385
alb,1995,83.16934
alb,2000,93.43219
alb,2003,91.23175
alb,2006,95.35825
alb,2007,93.36426
alb,2008,94.38825
alb,2009,95.44256
alb,2010,97.8856
alb,2011,99.14433
alb,2012,99.83727
alb,2013,99.14606
alb,2014,96.38993
alb,2015,89.05257
alb,2016,93.68109
alb,2017,93.25993
alb,2018,88.63291
alb,2019,90.06431
and,2013,70.34795
and,2016,70.14837
are,1977,91.14534
are,1978,89.32948
are,1982,94.75146
are,1983,88.26319
are,1984,79.72864
are,1985,88.90763
are,1986,86.24669
are,1987,89.79695
are,1988,94.65376
are,1989,95.40015
are,1990,94.88033
are,1991,75.1152
are,1992,86.73252
are,1993,95.40335
are,1994,95.92219
are,1995,78.61245
are,1996,80.22125
are,1997,92.34339
are,1998,96.27191
are,1999,89.03124
are,2000,94.31026
are,2001,94.58289
are,2003,94.79619
are,2004,95.54287
are,2005,98.8541
are,2006,96.68221
are,2010,84.34224
are,2012,93.17481
arg,1970,66.84446
arg,1974,65.6191
arg,1975,68.03075
arg,1998,88.11603
arg,1999,92.61097
arg,2000,90.39652
arg,2001,89.04531
arg,2002,79.28654
arg,2003,92.84921
arg,2004,85.67637
arg,2005,93.10749
arg,2006,94.38802
arg,2007,96.06041
arg,2008,92.92048
arg,2009,93.81257
arg,2010,93.13486
arg,2011,95.10088
arg,2012,94.17206
arg,2013,96.19082
arg,2014,95.55637
arg,2015,97.90656
arg,2016,94.19175
arg,2017,94.46963
arg,2018,93.86193
arm,2002,95.57045
arm,2003,96.41295
arm,2004,98.73712
arm,2005,98.10342
arm,2006,97.35621
arm,2009,97.76266
arm,2010,95.98838
arm,2011,94.26676
arm,2013,90.39834
arm,2014,98.57524
arm,2015,94.49571
arm,2016,93.02718
arm,2017,93.61055
arm,2018,97.11903
arm,2019,99.33251
aut,1971,95.77809
aut,1972,95.69354
aut,1997,96.98478
aut,1998,97.96029
aut,2003,99.259
aut,2010,100
aut,2011,100
aut,2012,100
aut,2013,99.8202
aut,2014,99.87978
aut,2015,99.58864
aut,2017,99.7343
aut,2018,99.79707
aze,1993,95.15489
aze,1995,98.95531
aze,1998,97.8769
aze,1999,97.79932
aze,2000,92.8094
aze,2001,98.30456
aze,2002,95.20816
aze,2003,99.86372
aze,2004,98.11505
aze,2005,93.59226
aze,2006,99.91892
aze,2007,98.44491
aze,2008,96.66061
aze,2009,97.50286
aze,2010,95.6248
aze,2011,98.86417
aze,2012,97.58972
aze,2013,99.9072
aze,2014,95.09356
aze,2015,98.84091
aze,2016,98.38557
aze,2018,96.76105
aze,2019,93.16763
bdi,1972,5.26068
bdi,1973,37.9162
bdi,1974,51.21296
bdi,1975,46.12648
bdi,1976,43.39724
bdi,1977,65.7315
bdi,1978,46.9247
bdi,1979,62.76359
bdi,1980,71.93568
bdi,1987,81.94445
bdi,1988,59.70566
bdi,1989,63.8086
bdi,1991,54.68366
bdi,2000,53.64103
bdi,2001,54.59596
bdi,2002,66.63357
bdi,2003,57.76185
bdi,2004,65.51741
bdi,2006,68.45298
bdi,2007,63.89438
bdi,2009,61.07613
bdi,2010,54.48525
bdi,2011,47.27054
bdi,2012,50.9613
bdi,2013,59.06856
bdi,2014,48.307
bdi,2015,47.66859
bdi,2016,46.00942
bdi,2017,47.32293
bdi,2018,47.56914
bel,1974,72.26185
bel,1975,67.4715
bel,1976,73.53843
bel,1977,70.46269
bel,1978,70.50975
bel,1979,71.24185
bel,1980,75.30495
bel,1981,77.08284
bel,1982,66.01105
bel,1983,72.02053
bel,1984,74.54357
bel,1985,77.65551
bel,1986,79.18868
bel,1987,79.8814
ben,1971,63.27046
ben,1972,56.62977
ben,1973,34.19744
ben,1975,60.23413
ben,1976,41.05125
ben,1977,52.0215
ben,1978,57.89739
ben,1980,39.11709
ben,1982,55.7112
ben,1983,36.877
ben,1984,45.48535
ben,1985,34.25833
ben,1986,40.22137
ben,1987,31.58776
ben,1988,36.06695
ben,1989,6.58925
ben,1991,44.68437
ben,1992,59.47104
ben,1993,44.23787
ben,1994,50.43853
ben,1995,45.92135
ben,1996,52.64641
ben,1997,53.83965
ben,2000,66.36632
ben,2001,63.04272
ben,2002,54.93998
ben,2003,63.31028
ben,2009,51.35237
ben,2010,52.95665
ben,2011,57.77638
ben,2012,51.53828
ben,2013,52.32816
ben,2014,55.74026
ben,2015,46.34189
ben,2018,32.50016
ben,2019,37.57578
bfa,1971,48.86729
bfa,1972,44.89048
bfa,1973,51.41347
bfa,1974,63.3117
bfa,1975,51.69211
bfa,1976,58.7157
bfa,1977,59.33523
bfa,1978,61.78861
bfa,1979,62.85867
bfa,1980,64.17621
bfa,1981,69.29793
bfa,1982,70.14828
bfa,1983,70.45558
bfa,1984,70.36353
bfa,1986,71.57965
bfa,1987,67.46631
bfa,1988,68.81249
bfa,1989,64.66471
bfa,1990,72.08353
bfa,1994,76.04117
bfa,1998,61.3303
bfa,1999,63.42338
bfa,2000,63.39345
bfa,2001,61.29659
bfa,2002,68.55422
bfa,2003,71.31954
bfa,2004,70.16143
bfa,2005,66.18086
bfa,2006,73.84245
bfa,2007,70.68113
bfa,2008,71.53863
bfa,2009,66.59944
bfa,2011,72.78538
bfa,2012,74.57086
bfa,2013,74.6311
bfa,2014,70.70117
bfa,2015,73.92059
bfa,2016,70.98764
bfa,2017,73.66849
bfa,2018,62.05539
bfa,2019,61.14429
bgd,1980,26.07556
bgd,2008,66.07103
bgd,2009,70.63724
bgr,1985,94.7588
bgr,1986,95.48387
bgr,1987,94.6004
bgr,1988,96.24266
bgr,1989,81.49403
bgr,1990,96.17031
bgr,1991,92.10062
bgr,1992,90.94999
bgr,1993,91.27325
bgr,1995,93.43618
bgr,1996,89.23244
bgr,1997,89.21617
bgr,1998,90.50461
bgr,1999,93.25339
bgr,2000,94.71995
bgr,2001,92.82466
bgr,2002,93.64563
bgr,2003,94.2528
bgr,2004,93.20946
bgr,2005,94.60793
bgr,2006,94.34582
bgr,2007,94.14522
bgr,2008,93.54606
bgr,2009,97.10295
bgr,2010,96.45031
bgr,2011,96.37855
bgr,2012,95.79288
bgr,2013,98.20727
bgr,2014,96.15103
bgr,2015,93.41872
bgr,2016,94.5933
bgr,2017,96.26316
bgr,2018,95.66385
bhr,1982,96.15742
bhr,1985,88.48081
bhr,1986,84.57263
bhr,1987,91.48424
bhr,1991,81.86063
bhr,1992,93.76538
bhr,1993,90.84082
bhr,1994,90.13953
bhr,1995,81.876
bhr,1997,88.10955
bhr,1998,92.83769
bhr,1999,91.2736
bhr,2000,91.94929
bhr,2001,97.4186
bhr,2003,98.69608
bhr,2004,96.91096
bhr,2011,96.5091
bhr,2015,99.1385
bhr,2016,97.76789
bhr,2017,96.20042
bhr,2018,97.36104
bhs,2005,84.30102
bhs,2007,91.96815
bhs,2008,87.4181
bhs,2009,87.71504
bhs,2011,74.91859
bhs,2012,64.5975
bih,2009,98.41488
bih,2010,79.99989
bih,2011,83.63395
bih,2012,82.72658
bih,2013,86.62941
bih,2014,97.62058
bih,2015,94.49098
bih,2016,98.08387
bih,2017,95.35484
bih,2018,94.40128
bih,2019,94.02281
blr,1993,97.24557
blr,1995,97.64059
blr,1996,98.40392
blr,1998,99.18913
blr,1999,99.44833
blr,2000,99.10467
blr,2001,96.16209
blr,2002,99.31542
blr,2004,98.32489
blr,2005,100
blr,2006,99.26263
blr,2007,100
blr,2010,99.60741
blr,2011,99.33757
blr,2012,98.26328
blr,2013,98.18113
blr,2014,98.601
blr,2015,99.57917
blr,2016,97.60824
blr,2017,98.73801
blz,1991,65.7546
blz,1994,67.29378
blz,1999,73.47402
blz,2005,92.61885
blz,2006,86.11707
blz,2007,90.00957
blz,2008,96.19403
blz,2009,91.43362
blz,2010,88.75208
blz,2012,91.36707
blz,2013,93.53085
blz,2014,99.76552
blz,2016,95.41579
blz,2017,96.15845
blz,2019,88.31671
bmu,2002,94.70548
bol,2009,84.57913
bol,2010,87.03229
bol,2011,90.47377
bol,2012,97.04819
bol,2013,95.56377
bol,2014,96.99102
bol,2015,97.37359
bol,2016,95.61197
bol,2017,96.3789
bol,2018,98.51409
bra,1971,44.18408
bra,1972,42.92417
bra,1973,41.61265
brb,1999,90.42789
brb,2003,97.70586
brn,1975,70.85702
brn,2003,95.12536
brn,2004,97.00505
brn,2005,96.83266
brn,2006,96.91892
brn,2007,96.18232
brn,2009,96.32723
brn,2011,95.10275
brn,2016,92.30377
brn,2018,93.70811
brn,2019,97.64894
btn,1977,11.18506
btn,1978,23.50037
btn,1993,73.70388
btn,1997,78.36255
btn,1998,79.00055
btn,1999,85.82537
btn,2000,85.23729
btn,2005,87.74073
btn,2008,94.85983
btn,2009,91.69402
btn,2010,93.42579
btn,2011,98.69575
btn,2016,93.10409
bwa,1970,50.49043
bwa,1978,86.14585
bwa,1980,76.11894
bwa,1983,89.64124
bwa,1984,90.67836
bwa,1991,81.72147
bwa,1992,85.86304
bwa,1993,88.23066
bwa,1994,84.79618
bwa,1995,91.04902
bwa,1998,86.85673
bwa,1999,85.54604
bwa,2000,88.05199
bwa,2001,86.15179
bwa,2002,87.54805
bwa,2003,87.58135
bwa,2004,87.90327
