geo,time,se_prm_prsl_ma_zs
abw,1999,97.32151
abw,2001,89.53283
abw,2002,92.03945
abw,2003,93.46216
abw,2004,91.86608
abw,2006,92.13415
abw,2007,84.97523
abw,2008,85.77637
abw,2013,92.39189
afg,1973,60.46431
afg,1976,65.66984
afg,1977,74.75728
ago,2008,29.20809
ago,2009,36.55027
alb,1995,80.82915
alb,2000,86.11458
alb,2003,88.72503
alb,2006,92.63141
alb,2007,93.50496
alb,2008,93.1897
alb,2009,95.06567
alb,2010,97.8378
alb,2011,98.46882
alb,2012,97.61909
alb,2013,98.32625
alb,2014,95.12022
alb,2015,88.65686
alb,2016,92.73267
alb,2017,91.63765
alb,2018,89.4172
alb,2019,88.87198
and,2013,70.97962
and,2016,68.5561
are,1977,91.31846
are,1978,86.42606
are,1982,95.09902
are,1983,85.5973
are,1984,76.47545
are,1985,83.59268
are,1986,78.27118
are,1987,85.05379
are,1988,92.96401
are,1989,95.08877
are,1990,93.36714
are,1991,74.14034
are,1992,83.60261
are,1993,98.22679
are,1994,94.90886
are,1995,76.33963
are,1996,79.34135
are,1997,88.49858
are,1998,96.31718
are,1999,89.8583
are,2000,93.6183
are,2001,93.62498
are,2003,93.35305
are,2004,94.9103
are,2005,97.06964
are,2006,96.64423
are,2010,84.54929
are,2012,90.8167
arg,1970,60.5283
arg,1974,58.89439
arg,1975,63.45641
arg,1998,87.58204
arg,1999,97.40884
arg,2000,91.17385
arg,2001,90.62271
arg,2002,82.28617
arg,2003,97.34566
arg,2004,87.93008
arg,2005,95.88082
arg,2006,95.28165
arg,2007,98.73394
arg,2008,94.60348
arg,2009,96.73082
arg,2010,93.11933
arg,2011,97.42997
arg,2012,94.94988
arg,2013,95.80351
arg,2014,95.03454
arg,2015,97.0607
arg,2016,93.826
arg,2017,93.9594
arg,2018,93.86781
arm,2002,95.93481
arm,2003,96.18275
arm,2004,98.62858
arm,2005,98.88529
arm,2006,98.01461
arm,2009,96.3008
arm,2010,95.98674
arm,2011,94.20866
arm,2013,90.03804
arm,2014,99.9131
arm,2015,94.88903
arm,2016,94.07715
arm,2017,95.16528
arm,2018,94.96495
arm,2019,99.37332
aut,1971,93.84474
aut,1972,92.87821
aut,1997,95.80658
aut,1998,96.24543
aut,2003,96.34294
aut,2010,98.85854
aut,2011,99.49004
aut,2012,99.24207
aut,2013,99.18849
aut,2014,98.99621
aut,2015,99.51942
aut,2017,99.48998
aut,2018,99.75276
aze,1993,100
aze,1995,98.13567
aze,1998,96.91591
aze,1999,95.94242
aze,2000,99.09563
aze,2001,95.30999
aze,2002,97.76759
aze,2003,95.78058
aze,2004,97.63391
aze,2005,100
aze,2006,97.5797
aze,2007,100
aze,2008,99.99362
aze,2009,95.37967
aze,2010,98.5989
aze,2011,97.60419
aze,2012,99.86376
aze,2013,95.05282
aze,2014,99.85444
aze,2015,98.86058
aze,2016,91.39738
aze,2018,94.87909
aze,2019,97.36231
bdi,1972,2.77601
bdi,1973,37.47837
bdi,1974,57.75853
bdi,1975,45.26027
bdi,1976,47.06441
bdi,1977,77.65876
bdi,1978,47.93914
bdi,1979,71.27967
bdi,1980,77.24946
bdi,1987,82.79029
bdi,1988,64.93146
bdi,1989,70.85081
bdi,1991,65.2631
bdi,2000,53.98031
bdi,2001,60.40265
bdi,2002,63.07116
bdi,2003,58.01859
bdi,2004,60.71944
bdi,2006,61.47234
bdi,2007,55.94841
bdi,2009,51.83934
bdi,2010,47.25841
bdi,2011,40.52715
bdi,2012,47.05209
bdi,2013,46.5268
bdi,2014,40.86458
bdi,2015,41.0067
bdi,2016,40.4508
bdi,2017,40.2373
bdi,2018,38.54767
bel,1974,69.95943
bel,1975,68.61321
bel,1976,71.70511
bel,1977,66.71475
bel,1978,65.42339
bel,1979,68.17414
bel,1980,69.52449
bel,1981,71.91943
bel,1982,55.2822
bel,1983,66.75597
bel,1984,68.4523
bel,1985,72.93041
bel,1986,74.52424
bel,1987,75.74208
ben,1971,66.57857
ben,1972,63.56551
ben,1973,50.72155
ben,1975,59.64165
ben,1976,52.39749
ben,1977,50.17935
ben,1978,54.20212
ben,1980,60.6783
ben,1982,56.29957
ben,1983,33.17068
ben,1984,53.49533
ben,1985,37.81497
ben,1986,45.06995
ben,1987,35.67769
ben,1988,42.07462
ben,1989,8.04368
ben,1991,46.90742
ben,1992,62.8569
ben,1993,48.34919
ben,1994,59.04564
ben,1995,54.89556
ben,1996,60.99556
ben,1997,58.38417
ben,2000,82.25365
ben,2001,71.65872
ben,2002,61.96989
ben,2003,64.84877
ben,2009,56.12789
ben,2010,58.31229
ben,2011,60.48244
ben,2012,54.7156
ben,2013,54.30697
ben,2014,58.64984
ben,2015,48.53249
ben,2018,35.25281
ben,2019,39.88419
bfa,1971,50.56615
bfa,1972,47.83791
bfa,1973,52.99053
bfa,1974,58.24384
bfa,1975,62.42019
bfa,1976,63.11972
bfa,1977,59.06763
bfa,1978,62.63449
bfa,1979,65.20127
bfa,1980,67.80492
bfa,1981,76.45472
bfa,1982,69.25823
bfa,1983,70.08596
bfa,1984,73.3609
bfa,1986,74.72187
bfa,1987,67.08019
