global,time,se_prm_uner_fe_zs
world,1970,34.72617
world,1971,35.10549
world,1972,34.11304
world,1973,31.19576
world,1974,30.29252
world,1975,28.70364
world,1976,28.0751
world,1977,28.54166
world,1978,30.33547
world,1979,30.15149
world,1980,28.85158
world,1981,27.77755
world,1982,27.22783
world,1983,26.85211
world,1984,26.34267
world,1985,25.25494
world,1986,23.99838
world,1987,23.49373
world,1988,22.67767
world,1989,21.78186
world,1990,21.74407
world,1991,21.41577
world,1992,21.63677
world,1993,21.2727
world,1994,20.96077
world,1995,21.25219
world,1996,21.20791
world,1997,20.80726
world,1998,19.82472
world,1999,18.50711
world,2000,17.55876
world,2001,17.08105
world,2002,16.53168
world,2003,14.28031
world,2004,12.98685
world,2005,12.06847
world,2006,11.60297
world,2007,10.33457
world,2008,9.86204
world,2009,9.77399
world,2010,9.57907
world,2011,9.41345
world,2012,9.28836
world,2013,9.09494
world,2014,9.59452
world,2015,9.86852
world,2016,9.72313
world,2017,9.69756
world,2018,9.60379
world,2019,9.61237
world,2020,9.56078
