geo,time,se_sec_cmpt_lo_ma_zs
abw,1999,90.96573
abw,2000,93.25153
abw,2001,95.93373
abw,2002,94.10029
abw,2003,84.87874
abw,2004,82.57888
abw,2005,87.66578
abw,2007,88.25758
abw,2009,92.87532
abw,2013,96.53795
abw,2014,95.59413
afg,1973,16.81575
afg,1974,14.69396
afg,1977,11.41949
afg,1978,15.15326
afg,1980,20.86044
afg,1981,24.85099
afg,1982,14.0889
afg,1984,16.47225
afg,1985,16.85116
afg,1993,25.32093
afg,2005,22.6727
afg,2016,63.87448
afg,2017,66.8292
afg,2018,69.76795
afg,2019,72.69377
ago,2008,17.60148
ago,2009,21.5722
ago,2011,24.7552
alb,1996,86.3101
alb,2000,81.51853
alb,2001,89.59395
alb,2003,86.6533
alb,2007,91.18501
alb,2008,89.80427
alb,2009,87.72351
alb,2010,91.88808
alb,2011,91.54906
alb,2012,92.62015
alb,2013,94.27546
alb,2014,95.43003
alb,2015,98.20456
alb,2017,88.49439
alb,2018,93.07908
alb,2019,91.50173
alb,2020,90.23833
are,1974,16.27119
are,1975,14.89011
are,1976,22.7576
are,1977,25.69055
are,1978,27.28199
are,1980,34.78005
are,1982,60.31428
are,1983,66.21928
are,1984,68.77341
are,1985,69.74802
are,1986,62.81971
are,1987,52.43359
are,1988,51.04589
are,1989,53.88437
are,1990,55.71317
are,1991,60.10154
are,1992,63.74991
are,1993,70.0242
are,1994,78.65518
are,1995,78.32638
are,1997,74.88377
are,2000,78.96722
are,2001,75.76889
are,2002,72.91698
are,2003,77.45393
are,2004,84.85499
are,2005,83.92035
are,2006,78.9118
are,2007,71.52576
are,2009,89.63442
are,2010,89.0471
are,2011,85.30098
are,2012,70.71223
are,2013,71.21821
are,2014,80.53182
are,2019,103.03377
are,2020,99.17202
arg,1970,12.32288
arg,1971,12.1894
arg,1999,77.92171
arg,2000,83.01126
arg,2001,83.42716
arg,2002,83.09804
arg,2003,78.57634
arg,2004,76.34778
arg,2005,76.98341
arg,2006,73.5894
arg,2007,71.70627
arg,2008,73.51436
arg,2009,75.02335
arg,2010,79.35365
arg,2011,83.20079
arg,2012,84.13332
arg,2013,86.63574
arg,2014,87.27703
arg,2015,88.48775
arg,2016,85.32629
arg,2017,86.18338
arg,2018,87.53478
arg,2019,90.47586
arm,2002,84.75789
arm,2003,84.90421
arm,2004,90.65305
arm,2005,97.28218
arm,2006,100.28734
arm,2007,96.39196
arm,2008,92.36245
arm,2009,109.19764
arm,2010,98.77396
arm,2016,85.50843
arm,2017,87.59349
arm,2018,92.38868
arm,2019,91.61879
arm,2020,88.58642
atg,1992,103.30579
atg,2008,79.28669
atg,2009,88.09202
atg,2010,83.86667
atg,2011,93.86423
atg,2012,99.35733
atg,2013,80.25641
atg,2014,85.82575
atg,2015,92.42021
atg,2016,109.60758
atg,2017,112.17151
atg,2018,95.35211
aut,2002,104.0165
aut,2003,103.96781
aut,2006,102.90659
aut,2007,101.40972
aut,2008,100.65606
aut,2009,99.90176
aut,2010,101.61284
aut,2011,101.20147
aut,2012,99.1964
aut,2013,96.54978
aut,2014,96.79227
aut,2015,96.34576
aut,2016,96.52494
aut,2017,98.26787
aut,2018,96.51756
aut,2019,96.87436
aze,1994,90.60749
aze,1996,85.48597
aze,1997,87.92843
aze,1999,86.2631
aze,2000,39.66573
aze,2001,75
aze,2002,91.78802
aze,2003,88.00774
aze,2004,84.86738
aze,2005,87.69402
aze,2006,90.12087
aze,2007,91.25956
aze,2008,89.61964
aze,2009,91.99375
aze,2010,91.82677
aze,2011,92.05323
aze,2012,95.37195
aze,2013,89.04799
aze,2014,87.05841
aze,2015,87.75389
aze,2016,89.88737
aze,2017,89.18899
aze,2018,85.77121
aze,2020,103.71942
bdi,1971,1.69435
bdi,1972,1.50079
bdi,1977,1.69781
bdi,1978,1.89216
bdi,1979,1.77651
bdi,1980,1.63306
bdi,1981,2.0185
bdi,1982,2.6606
bdi,1983,2.27346
bdi,1984,2.04683
bdi,1985,1.97421
bdi,1986,2.03901
bdi,1987,3.01533
bdi,1988,3.26253
bdi,1989,3.69994
bdi,1990,3.92682
bdi,1992,6.23469
bdi,1993,6.47648
bdi,2004,9.11792
bdi,2005,9.43329
bdi,2006,11.99601
bdi,2008,14.5279
bdi,2009,21.1463
bdi,2010,19.54712
bdi,2011,21.37051
bdi,2012,23.51006
bdi,2013,26.60957
bdi,2014,29.39285
bdi,2015,35.81305
bdi,2016,43.10534
bdi,2017,36.5593
bdi,2018,29.1699
bdi,2019,26.34033
bdi,2021,26.09093
bel,1974,40.5988
bel,1975,43.49347
bel,1976,46.82199
bel,1977,49.44863
bel,1993,109.05887
bel,1994,109.5408
bel,2006,87.50325
bel,2007,84.3845
bel,2008,82.5424
bel,2009,82.37647
bel,2010,87.76442
bel,2011,90.82932
bel,2012,91.33849
bel,2013,91.93012
bel,2014,92.54113
bel,2015,93.63982
bel,2016,93.65719
bel,2017,92.26204
bel,2018,91.04648
