geo,time,se_sec_cuat_po_fe_zs
afg,1975,0.8
afg,1979,0.51683
afg,2021,2.53545
and,2003,29.1866
and,2004,29.31476
and,2005,27.42966
and,2006,31.50927
and,2014,33.20038
and,2015,32.87336
and,2016,32.62832
are,1975,4.05512
are,2005,31.16257
are,2017,49.17583
are,2018,52.46504
are,2019,53.64651
arm,2001,42.56792
arm,2011,48.5679
arm,2015,52.25802
arm,2017,48.31575
arm,2020,48.00798
asm,1974,9.2524
asm,1980,12.8
asm,1990,20
aus,1971,10
aus,2004,35.69093
aus,2005,36.07575
aus,2006,38.53622
aus,2007,39.52696
aus,2008,42.82301
aus,2009,43.83345
aus,2010,45.13926
aus,2011,46.57024
aus,2012,50.07019
aus,2013,45.75682
aus,2014,47.41332
aus,2015,49.31292
aus,2016,50.06157
aus,2017,51.84964
aus,2018,53.00375
aus,2019,53.60009
aus,2020,56.12277
aut,1971,1.0868
aut,1981,1.56773
aut,1991,4.81644
aut,2005,20.88841
aut,2007,20.61354
aut,2008,19.65648
aut,2009,22.90417
aut,2010,23.77245
aut,2011,23.74505
aut,2012,24.32714
aut,2013,25.52958
aut,2014,26.01736
aut,2015,27.17237
aut,2016,28.24761
aut,2017,29.18438
aut,2019,30.82014
aze,1999,26.25788
aze,2007,25.34973
aze,2008,25.47636
aze,2009,25.51319
aze,2010,26.03324
aze,2011,26.09499
aze,2012,26.12116
aze,2013,26.13264
aze,2014,26.12095
aze,2015,26.03707
aze,2016,26.0779
aze,2017,25.98291
aze,2019,25.84045
bel,1970,3.2128
bel,2006,27.98339
bel,2008,29.03785
bel,2009,30.34893
bel,2010,31.70035
bel,2011,32.05892
bel,2012,32.81845
bel,2013,33.21785
bel,2014,32.72786
bel,2015,33.82556
bel,2016,34.2637
bel,2017,37.06731
bel,2019,38.44519
ben,1979,0.09988
ben,2002,0.80236
bfa,2006,0.99404
bfa,2007,0.10141
bfa,2014,0
bfa,2018,1.38286
bgd,1974,0.09933
bgd,1981,0.26305
bgd,2001,3.48744
bgd,2011,6.1805
bgd,2012,6.45326
bgd,2013,5.85413
bgd,2014,7.40156
bgd,2015,9.89999
bgd,2016,10.02624
bgd,2017,10.68297
bgd,2018,11.42455
bgd,2019,11.98345
bgd,2020,17.58409
bgr,1975,3.91027
bgr,1992,15.18762
bgr,2001,19.4697
bgr,2006,21.97226
bgr,2007,22.2241
bgr,2008,22.60105
bgr,2009,23.18179
bgr,2010,23.63328
bgr,2011,23.6131
bgr,2012,24.60257
bgr,2013,26.22396
bgr,2014,27.63025
bgr,2015,28.19088
bgr,2016,28.33035
bgr,2017,28.47521
bgr,2020,29.61647
bhr,1971,2.17918
bhr,1991,10.4
bhr,2010,23.54996
bhr,2016,25.72211
bhr,2017,26.58139
