geo,time,se_sec_cuat_up_zs
abw,2010,32.08317
afg,1975,3
afg,2021,9.46131
ago,2014,15.86353
alb,2001,37.04489
alb,2008,39.88932
alb,2011,43.49034
alb,2012,45.27915
and,2003,42.30387
and,2004,51.45418
and,2005,43.91017
and,2006,49.95065
and,2014,47.83741
and,2015,47.5452
and,2016,47.34969
are,2005,47.10615
are,2016,53.07051
are,2017,67.12303
are,2018,69.14016
are,2019,71.52376
arg,2001,34.29335
arm,2001,81.58308
arm,2011,90.23761
arm,2015,91.83743
arm,2017,90.09665
arm,2020,89.88086
asm,1974,36.07161
asm,1980,42.1
aus,2004,64.121
aus,2005,65.03385
aus,2006,66.71384
aus,2007,68.18978
aus,2008,70.08896
aus,2009,70.85574
aus,2010,72.79897
aus,2011,74.06167
aus,2012,76.48302
aus,2013,72.03735
aus,2014,73.59596
aus,2015,75.55976
aus,2016,76.41804
aus,2017,77.26136
aus,2018,78.32576
aus,2019,79.04793
aus,2020,80.05303
aut,1971,38.32165
aut,1981,50.71439
aut,2014,78.42659
aut,2015,79.0129
aut,2016,79.36898
aut,2017,79.66258
aut,2019,80.67405
aze,1999,83.52632
aze,2007,88.43542
aze,2008,88.54014
aze,2009,88.61049
aze,2010,88.6454
aze,2011,88.65878
aze,2012,88.71309
aze,2013,88.71974
aze,2014,88.71417
aze,2015,88.66508
aze,2016,88.66445
aze,2017,88.50123
aze,2019,88.41958
bdi,2008,7.41938
bdi,2014,3.32538
bdi,2017,5.59582
bel,1970,14.01619
bel,2006,57.73293
bel,2008,60.42416
bel,2009,61.6929
bel,2010,61.72838
bel,2011,62.75993
bel,2012,63.2111
bel,2013,64.27869
bel,2014,64.01888
bel,2015,66.21058
bel,2016,67.08264
bel,2017,69.15045
bel,2019,71.44626
ben,1979,1.1
bfa,2006,4.00732
bfa,2007,0.4951
bfa,2014,2.80549
bfa,2018,6.15245
bgd,1981,5.49605
bgd,2001,17.12843
bgd,2011,24.18282
bgd,2012,24.67884
bgd,2013,22.18535
bgd,2014,23.21816
bgd,2015,28.56218
bgd,2016,28.96917
bgd,2017,29.79417
bgd,2018,30.54477
bgd,2019,31.3301
bgd,2020,36.77044
bgr,2001,59.46212
bgr,2006,64.44891
bgr,2007,67.02065
bgr,2008,67.61235
bgr,2009,68.25976
bgr,2010,69.61495
bgr,2011,70.65317
bgr,2012,72.48086
bgr,2013,73.93796
bgr,2014,73.81309
bgr,2015,74.91267
bgr,2016,75.59954
bgr,2017,76.44854
bgr,2020,77.7782
bhr,2001,49.65031
bhr,2010,42.11301
bhr,2016,54.0476
bhr,2017,56.53816
bhr,2018,64.92823
bhr,2020,68.73668
bhs,2000,70.94155
bhs,2010,81.87773
bih,2010,31.11343
bih,2011,32.74236
bih,2014,59.57389
bih,2015,60.82957
bih,2016,62.37726
bih,2018,63.50654
bih,2020,69.08618
blr,1989,12.48125
blr,2009,84.40034
blr,2019,94.73781
blz,2005,24.825
blz,2010,36.82702
blz,2020,43.28563
bmu,2000,85.69938
bmu,2010,77.01597
bmu,2016,87.45344
bol,1976,12.08826
bol,1992,28.01494
bol,2001,38.00857
bol,2006,33.49575
bol,2008,36.08511
bol,2009,38.4426
bol,2012,43.14083
bol,2015,51.26096
bol,2019,79.79905
bra,1970,5.68445
bra,2004,29.416
bra,2006,32.42108
bra,2007,33.74557
bra,2008,35.45447
bra,2009,37.10688
bra,2010,35.92268
bra,2011,39.36098
bra,2012,40.61119
bra,2013,41.85367
bra,2014,42.56138
bra,2015,43.77635
bra,2016,45.10832
bra,2017,46.17425
bra,2018,47.43287
brb,2000,24.20573
brn,2011,62.99792
btn,2012,5.50574
btn,2017,17.31549
bwa,1971,1.28277
caf,1975,1.6407
can,1986,44.13345
can,1991,49.35452
can,2001,67.74513
can,2006,79.40339
can,2011,82.74899
can,2016,84.46919
che,2009,82.71612
che,2010,81.74335
che,2011,81.63194
che,2012,82.48155
che,2014,84.64385
che,2015,85.19001
che,2016,84.53691
che,2018,85.68177
che,2019,86.64503
chl,2004,50.02242
chl,2007,50.56865
chl,2008,51.86136
chl,2010,52.86015
chl,2011,50.80615
chl,2013,53.84206
chl,2015,56.96367
chl,2017,59.23115
chn,1982,6.64788
chn,2010,22.316
civ,1998,20.5865
civ,2014,14.17616
cmr,2010,18.17227
cod,2013,19.84704
cod,2016,27.26408
cog,1984,8.77368
col,1993,27.67818
col,2004,34.94966
col,2005,33.70995
col,2006,32.26968
col,2007,36.52377
col,2008,38.06184
col,2009,37.65163
col,2010,39.13526
col,2011,40.26528
col,2012,41.40263
col,2013,43.28975
col,2014,44.59131
col,2015,45.40466
col,2016,47.26855
col,2018,49.77448
col,2019,51.09823
col,2020,53.15287
cpv,2015,20.03713
cri,1973,10.63363
cri,2007,33.45751
cri,2008,35.73051
cri,2009,36.54697
cri,2010,35.50172
cri,2011,36.54348
cri,2012,37.38465
cri,2014,40.21864
cri,2015,37.99146
cri,2016,38.29614
cri,2018,39.65673
cri,2020,40.93561
cub,2002,40.35344
cub,2012,57.40553
cym,1989,14.11565
cym,2007,73.56458
cym,2008,77.28767
cym,2014,88.1058
cym,2015,90.19632
cyp,2004,57.13891
cyp,2005,58.66734
cyp,2006,61.20075
cyp,2007,63.52534
cyp,2008,64.49926
cyp,2009,63.82214
cyp,2010,65.45372
cyp,2011,67.7841
cyp,2012,68.92121
cyp,2013,69.89255
cyp,2014,69.49955
cyp,2015,69.05065
cyp,2016,71.16353
cyp,2018,72.98135
cyp,2020,74.47016
cze,2006,85.47783
cze,2007,85.77609
cze,2008,86.13708
cze,2009,87.24941
cze,2010,87.99366
cze,2011,88.39896
cze,2012,88.52554
cze,2013,89.15957
cze,2014,89.63336
cze,2015,89.77071
cze,2016,90.22886
cze,2017,90.57521
cze,2019,90.66727
deu,2004,78.48408
deu,2005,77.62368
deu,2006,77.84647
deu,2007,79.11421
deu,2008,80.16417
deu,2009,80.61875
deu,2010,81.12799
deu,2011,81.72286
deu,2012,82.04736
deu,2013,82.30825
deu,2014,82.99721
deu,2015,83.08337
deu,2016,83.00642
deu,2018,83.4613
dma,2001,10.76944
dnk,1991,57.83618
dnk,1994,58.16189
dnk,1995,60.04218
dnk,2003,84.26317
dnk,2004,82.27848
dnk,2007,75.82418
dnk,2008,78.78989
dnk,2009,72.65814
dnk,2010,72.23026
dnk,2011,73.12356
dnk,2012,76.00238
dnk,2013,76.54907
dnk,2014,76.835
dnk,2015,77.74914
dnk,2016,78.18444
dnk,2018,79.27773
dnk,2020,79.32194
dom,1970,4.4
dom,2007,30.82212
dom,2010,30.82697
dom,2011,31.72078
dom,2012,32.61209
dom,2013,33.48635
dom,2014,34.17121
dom,2015,34.86874
dom,2016,48.59966
dza,1971,0.31726
dza,2006,24.15286
dza,2008,25.41652
ecu,1974,8.51975
ecu,1982,15.43624
ecu,2007,33.24864
ecu,2008,33.2257
ecu,2009,34.03589
ecu,2010,34.91765
ecu,2011,35.90112
ecu,2012,37.87626
ecu,2013,38.64951
ecu,2014,38.5257
ecu,2015,42.25613
ecu,2016,42.29952
ecu,2017,43.53438
ecu,2020,43.36698
egy,2006,40.38026
egy,2017,67.15647
esp,1970,6.24202
esp,1981,12.83375
esp,1986,15.7
esp,1991,8.44641
esp,2004,37.26165
esp,2005,40.38942
esp,2006,41.44183
esp,2007,42.32306
esp,2008,42.83237
esp,2009,43.33484
esp,2010,44.25182
esp,2011,45.26531
esp,2012,45.60115
esp,2014,47.23725
esp,2015,47.86305
esp,2016,48.64906
esp,2018,50.41699
esp,2020,53.25675
est,1989,58.78374
est,2000,71.45966
est,2006,84.92073
est,2007,85.69726
est,2008,85.3211
est,2009,85.68411
est,2010,86.4621
est,2011,86.55455
est,2012,87.25456
est,2013,88.43854
est,2014,85.94555
est,2015,86.55509
est,2016,86.89375
est,2017,86.96192
est,2018,87.6303
est,2020,85.7552
eth,2007,7.02419
eth,2011,8.83605
fin,2003,64.39629
fin,2005,66.19799
fin,2006,67.13085
fin,2007,67.96839
fin,2008,68.78509
fin,2009,69.63254
fin,2010,70.44806
fin,2011,71.20155
fin,2012,71.95373
fin,2013,72.81208
fin,2014,73.56877
fin,2015,74.01707
fin,2017,75.52356
fin,2019,77.45072
fji,1976,7.2488
fji,1986,4.45642
fji,1996,25.57935
fji,2007,39.32962
fji,2017,44.55636
fra,2004,55.69758
fra,2005,56.59061
fra,2007,59.42295
fra,2008,60.34956
fra,2009,60.42087
fra,2010,61.89888
fra,2011,62.77157
fra,2012,63.74972
fra,2013,66.33516
