global,time,se_sec_enrl
world,1970,188479216
world,1971,198245584
world,1972,209995104
world,1973,220505920
world,1974,226204464
world,1975,233848832
world,1976,247972128
world,1977,267512656
world,1978,281977344
world,1979,294332352
world,1980,296847040
world,1981,297929376
world,1982,297702208
world,1983,302006240
world,1984,308495296
world,1985,305107744
world,1986,326216928
world,1987,333991936
world,1988,338331648
world,1989,339565664
world,1990,343208640
world,1991,351203872
world,1992,360817440
world,1993,372503904
world,1994,382692608
world,1995,394094752
world,1996,406607744
world,1997,418819360
world,1998,429869632
world,1999,438300896
world,2000,452366400
world,2001,464081632
world,2002,477806528
world,2003,490891200
world,2004,501832576
world,2005,509273536
world,2006,515590912
world,2007,523755392
world,2008,531901888
world,2009,535708896
world,2010,546431040
world,2011,555073216
world,2012,562061568
world,2013,573827264
world,2014,580938688
world,2015,583094016
world,2016,586694080
world,2017,588441600
world,2018,597468032
world,2019,602458624
