global,time,se_sec_enrl_gc
world,1970,161000000
world,1971,175000000
world,1972,186000000
world,1973,196000000
world,1974,201000000
world,1975,208000000
world,1976,221000000
world,1977,239000000
world,1978,253000000
world,1979,263000000
world,1980,264000000
world,1981,264000000
world,1982,263000000
world,1983,267000000
world,1984,271000000
world,1985,269000000
world,1986,286000000
world,1987,292000000
world,1988,296000000
world,1989,297000000
world,1990,301000000
world,1991,309000000
world,1992,318000000
world,1993,329000000
world,1994,337000000
world,1995,347000000
world,1996,359000000
world,1997,368000000
world,1998,383000000
world,1999,392000000
world,2000,406000000
world,2001,418000000
world,2002,432000000
world,2003,445000000
world,2004,453000000
world,2005,459000000
world,2006,464000000
world,2007,470000000
world,2008,476000000
world,2009,478000000
world,2010,487000000
world,2011,495000000
world,2012,502000000
world,2013,509000000
world,2014,517000000
world,2015,521000000
world,2016,525000000
world,2017,526000000
world,2018,532000000
