geo,time,se_sec_enrl_lo_tc_zs
afg,2007,31.88292
afg,2008,31.37915
afg,2009,41.37085
afg,2010,43.62042
afg,2011,42.79376
afg,2012,43.8545
afg,2015,31.87929
afg,2016,32.54577
afg,2017,33.56697
afg,2018,33.87261
ago,1998,20.7103
ago,2010,36.85848
ago,2011,33.27119
ago,2016,28.66072
alb,2000,15.79726
alb,2001,16.48796
alb,2003,16.41895
alb,2008,14.46957
alb,2009,13.8416
alb,2010,13.59361
alb,2011,13.56069
alb,2012,13.15755
alb,2013,12.91569
alb,2014,12.3303
alb,2015,11.9414
alb,2016,10.82794
alb,2017,10.1345
alb,2018,9.87655
and,2005,6.72947
and,2006,6.80976
and,2009,6.64115
and,2010,6.80576
and,2011,7.23192
and,2012,7.25659
are,1999,14.14065
are,2000,14.30527
are,2001,14.54672
are,2002,14.25036
are,2003,16.17482
are,2004,15.97246
are,2005,15.01919
are,2006,13.89067
are,2007,14.56587
are,2009,13.82081
are,2010,14.14972
are,2015,16.55146
are,2016,13.57949
arg,1998,12.53895
arg,1999,13.69002
arg,2000,12.5407
arg,2001,19.27351
arg,2002,18.71463
arg,2003,19.1731
arg,2004,20.17187
arg,2005,20.31235
arg,2006,19.0436
arg,2007,17.94619
arg,2008,16.31017
arm,2018,12.02976
atg,2000,12.04396
atg,2008,10.49393
atg,2009,15.67105
atg,2010,15.98645
atg,2012,10.88577
aut,1995,8.31662
aut,1996,9.17097
aut,1997,8.75993
aut,1998,8.71325
aut,1999,8.8883
aut,2002,8.98133
aut,2003,9.14191
aut,2004,9.2953
aut,2005,9.41489
aut,2006,9.22191
aut,2007,9.15539
aut,2008,9.11809
aut,2009,8.8125
aut,2010,8.49927
aut,2011,8.319
aut,2012,8.19386
aut,2013,8.16027
aut,2014,7.99922
aut,2015,7.89869
aut,2016,7.78891
aut,2017,7.72724
aze,2016,6.9377
aze,2017,6.56176
aze,2018,6.99111
bdi,2009,24.41899
bdi,2014,42.50685
bdi,2015,41.04089
bdi,2017,54.32768
bdi,2018,35.69109
bel,2005,10.13777
bel,2008,7.99313
bel,2009,7.94294
bel,2010,7.97428
bel,2011,8.1412
bel,2012,8.09836
bel,2013,9.22585
bel,2014,9.1517
bel,2015,9.29505
bel,2016,8.86126
bel,2017,8.69178
ben,1999,27.06338
ben,2000,27.0656
ben,2001,29.63476
ben,2003,25.82236
ben,2004,27.14958
ben,2013,10.89771
ben,2014,11.01843
bfa,1999,29.21759
bfa,2009,30.02287
bfa,2016,24.95077
bfa,2017,23.33123
bfa,2018,23.11976
bgd,1998,42.11771
bgd,1999,43.04644
bgd,2000,45.03028
bgd,2001,45.08008
bgd,2002,41.42316
bgd,2003,36.043
bgd,2004,33.74316
bgd,2005,28.26998
bgd,2006,28.25779
bgd,2007,28.59999
bgd,2008,29.56366
bgd,2009,29.92512
bgd,2010,31.04891
bgd,2011,32.90159
bgd,2012,34.01583
bgd,2013,36.87466
bgd,2016,41.05007
bgd,2017,36.68254
bgr,1996,11.10608
bgr,1997,10.83339
bgr,1998,11.25663
bgr,1999,13.39514
bgr,2000,12.07815
bgr,2001,12.97855
bgr,2002,12.73495
bgr,2003,13.12472
bgr,2004,12.75294
bgr,2005,12.39852
bgr,2006,12.071
bgr,2007,11.85303
bgr,2008,11.73918
bgr,2009,12.265
bgr,2010,12.40724
bgr,2011,12.28939
bgr,2012,12.61971
bgr,2013,13.58777
bgr,2014,13.43385
bgr,2016,12.92957
bgr,2017,12.71943
bhr,2011,11.95296
bhr,2012,11.35765
bhr,2013,11.08413
bhr,2014,10.85485
bhr,2015,10.72649
bhr,2016,10.56479
bhr,2017,10.96554
bhr,2018,11.31042
bhs,1999,15.60879
bhs,2002,15.21603
bhs,2004,16.56397
bhs,2005,17.00291
bhs,2006,13.08555
bhs,2007,12.50405
bhs,2008,12.66736
bhs,2009,15.68402
bhs,2010,12.01494
bhs,2011,11.89104
bhs,2012,15.96069
bhs,2013,13.59123
bhs,2014,13.31944
bhs,2015,14.05957
bhs,2016,13.10901
bhs,2017,14.80638
bhs,2018,12.61874
bih,2013,9.66941
bih,2014,9.46856
bih,2015,9.17162
