geo,time,se_sec_enrl_up_tc_zs
afg,2007,30.74908
afg,2015,32.13567
afg,2016,31.628
afg,2017,32.66596
afg,2018,32.84078
ago,1998,11.92857
ago,2011,20.50581
ago,2016,22.33338
alb,1998,16.58858
alb,1999,17.32423
alb,2000,18.26418
alb,2001,18.22594
alb,2002,19.7351
alb,2003,20.78361
alb,2004,20.72588
alb,2005,21.12879
alb,2006,20.57922
alb,2007,20.56849
alb,2008,21.18239
alb,2009,16.50547
alb,2010,17.04933
alb,2011,18.35603
alb,2012,17.96082
alb,2013,17.93554
alb,2014,17.65478
alb,2015,16.15062
alb,2016,14.58063
alb,2017,14.05817
alb,2018,13.42825
and,2005,13.98529
are,2016,6.32991
arg,1998,12.22417
arg,2000,11.91285
arg,2001,15.16121
arg,2002,14.89678
arg,2003,12.91274
arg,2004,11.10538
arg,2005,10.57306
arg,2006,9.94594
arg,2007,9.70888
arg,2008,8.5772
arm,2018,4.4579
atg,2000,16.42975
atg,2009,8.73154
atg,2010,7.80615
atg,2012,13.17411
atg,2015,3.71041
aut,1995,10.75598
aut,1996,11.18754
aut,1997,11.35171
aut,1998,12.27231
aut,1999,12.30354
aut,2002,12.59368
aut,2003,12.52981
aut,2004,12.78895
aut,2005,13.29767
aut,2006,13.50466
aut,2007,13.29308
aut,2008,12.55218
aut,2009,12.22347
aut,2010,11.91916
aut,2011,11.45888
aut,2012,11.26352
aut,2013,11.63756
aut,2014,11.79775
aut,2015,11.94349
aut,2016,11.78068
aut,2017,11.70888
aze,2018,9.18498
bdi,2009,38.41478
bdi,2014,26.20684
bdi,2015,25.77301
bdi,2017,16.16798
bdi,2018,19.96517
bel,2013,9.57712
bel,2014,9.58262
bel,2015,9.5013
bel,2016,9.31475
bel,2017,9.16384
ben,1999,15.169
ben,2000,15.17232
ben,2001,10.41843
ben,2003,14.81624
ben,2004,16.47812
ben,2013,7.62888
ben,2014,7.69833
bfa,1999,23.39653
bfa,2009,16.0522
bfa,2016,17.93345
bfa,2017,23.32915
bfa,2018,23.12079
bgd,1998,30.00112
bgd,1999,31.50241
bgd,2000,31.65343
bgd,2001,29.99204
bgd,2002,27.3953
bgd,2003,25.81195
bgd,2004,21.19574
bgd,2005,19.18166
bgd,2006,21.3636
bgd,2007,21.42344
bgd,2008,24.2615
bgd,2009,26.12235
bgd,2010,25.77661
bgd,2011,28.09058
bgd,2012,30.15118
bgd,2013,33.24147
bgd,2016,31.90002
bgd,2017,31.18447
bgd,2018,28.66906
bgr,1996,11.57786
bgr,1997,11.03673
bgr,1998,11.17391
bgr,1999,11.64645
bgr,2000,11.61623
bgr,2001,11.37446
bgr,2002,11.44425
bgr,2003,11.60772
bgr,2004,11.80637
bgr,2005,11.64306
bgr,2006,11.49513
bgr,2007,11.33414
bgr,2008,11.2841
bgr,2009,11.79382
bgr,2010,11.85267
bgr,2011,12.30381
bgr,2012,12.0985
bgr,2013,12.61906
bgr,2014,13.06862
bgr,2016,12.40294
bgr,2017,12.69892
bhr,2011,9.07416
bhr,2012,8.23439
bhr,2013,9.06705
bhr,2014,8.99816
bhr,2015,9.09454
bhr,2016,9.0843
bhr,2017,9.38465
bhr,2018,9.24561
bhs,1999,15.59096
bhs,2002,14.52068
bhs,2004,12.22833
bhs,2005,10.91835
bhs,2006,12.43973
bhs,2007,12.01147
bhs,2008,12.66297
bhs,2009,10.02064
bhs,2010,12.24927
bhs,2011,10.37682
bhs,2012,13.19431
bhs,2013,11.21217
bhs,2014,11.73893
bhs,2015,10.08032
bhs,2016,10.60813
bhs,2017,13.51165
bhs,2018,12.34294
bih,2005,14.73024
bih,2006,14.54589
bih,2007,14.29825
bih,2008,13.45496
bih,2009,12.65596
bih,2010,12.6035
bih,2011,12.48498
bih,2012,12.78353
bih,2013,12.77789
bih,2014,11.99279
