global,time,se_sec_enrl_up_tc_zs
world,1993,15.16787
world,1994,15.08177
world,1995,15.22061
world,1996,14.80619
world,1997,15.44541
world,1998,16.61645
world,1999,16.06912
world,2000,16.42786
world,2001,17.17534
world,2002,17.25652
world,2003,16.85155
world,2004,17.00315
world,2005,16.8431
world,2006,16.79332
world,2007,16.26311
world,2008,16.09906
world,2009,16.04701
world,2010,15.98421
world,2011,16.09995
world,2012,16.27819
world,2013,17.9494
world,2014,17.93834
world,2015,17.60635
world,2016,17.33722
world,2017,17.15356
world,2018,17.15988
