geo,time,se_sec_prog_ma_zs
abw,1999,99.39302
abw,2001,100
abw,2002,99.63486
abw,2003,99.07003
abw,2008,100
afg,1973,67.05105
afg,1976,88.94977
afg,1977,91.80692
afg,1984,91.71392
afg,2015,88.66661
afg,2016,96.42152
afg,2017,94.04482
ago,2008,30.77393
alb,1995,99.05708
alb,2000,96.90948
alb,2006,98.9542
alb,2007,98.07733
alb,2008,98.50327
alb,2009,97.8637
alb,2010,99.10345
alb,2011,99.50483
alb,2012,100
alb,2013,99.78225
alb,2014,99.05168
alb,2015,98.28624
alb,2016,97.95866
alb,2017,98.57902
are,1973,84.68076
are,1974,99.58264
are,1975,85.06637
are,1976,96.02856
are,1977,93.45902
are,1979,93.47351
are,1982,98.2274
are,1983,98.59707
are,1984,94.61909
are,1985,96.98659
are,1986,97.54011
are,1987,99.41766
are,1988,100
are,1989,99.16157
are,1990,97.6171
are,1991,92.94149
are,1992,96.0513
are,1993,98.99334
are,1994,97.76635
are,1996,97.65106
are,1999,98.46648
are,2000,100
are,2001,98.04543
are,2002,96.14125
are,2003,99.54714
are,2004,99.04643
are,2005,100
are,2006,100
are,2009,95.52038
are,2010,91.77475
are,2011,98.8909
are,2012,98.10216
are,2013,100
arg,1970,25.22491
arg,1998,96.41275
arg,1999,96.46113
arg,2000,95.43516
arg,2001,95.26872
arg,2002,94.11092
arg,2003,93.48618
arg,2004,91.83626
arg,2005,90.90037
arg,2006,90.08647
arg,2007,90.47356
arg,2008,90.79982
arg,2009,91.91828
arg,2010,92.51746
arg,2011,93.38344
arg,2012,93.82696
arg,2013,94.75433
arg,2014,94.93167
arg,2015,98.99978
arg,2016,100
arm,2002,98.21265
arm,2003,98.81746
arm,2004,99.49977
arm,2005,100
arm,2006,98.68379
arm,2007,100
arm,2011,97.71385
arm,2013,96.82392
arm,2014,100
arm,2015,98.18142
arm,2016,98.15183
arm,2017,97.8051
atg,2017,100
aut,1998,89.28794
aut,2010,99.89683
aut,2011,99.6989
aut,2012,99.87905
aut,2013,99.96101
aut,2014,100
aut,2015,100
aut,2016,100
aze,1993,99.05383
aze,1995,48.77982
aze,1996,100
aze,1998,97.64329
aze,1999,96.8928
aze,2000,99.43027
aze,2001,99.19159
aze,2002,98.52884
aze,2003,99.06929
aze,2004,99.65454
aze,2005,100
aze,2006,98.77321
aze,2007,100
aze,2008,99.81759
aze,2009,98.3953
aze,2010,99.15753
aze,2011,98.48709
aze,2012,100
aze,2013,98.29169
aze,2014,100
aze,2015,99.7006
aze,2016,95.48102
aze,2017,100
bdi,1976,10.40785
bdi,1977,14.80508
bdi,1978,17.85714
bdi,1979,18.15667
bdi,1980,18.19656
bdi,1981,17.85249
bdi,1982,12.94482
bdi,1983,12.63639
bdi,1984,13.11705
bdi,1985,13.47327
bdi,1986,14.08394
bdi,1987,17.82647
bdi,1988,18.3563
bdi,1989,11.65386
bdi,1991,17.73863
bdi,1992,17.88663
bdi,2003,58.7109
bdi,2004,60.11612
bdi,2007,68.3193
bdi,2008,61.27401
bdi,2009,75.68155
bdi,2010,75.23576
bdi,2011,72.30065
bdi,2012,78.77966
bdi,2013,79.86859
bdi,2014,81.87925
bdi,2015,88.15592
bdi,2016,75.53529
bdi,2017,75.50361
bel,1974,93.23102
bel,1975,96.84313
bel,1976,93.13684
ben,1971,44.43517
ben,1972,65.84826
ben,1973,56.91521
ben,1974,59.7746
ben,1975,42.78636
ben,1976,53.16227
ben,1977,56.60789
ben,1978,60.50437
ben,1979,71.44861
ben,1980,87.46893
ben,1982,69.77107
ben,1983,54.12002
ben,1989,33.92281
ben,2000,98.43685
ben,2002,78.05186
ben,2010,78.99477
ben,2012,89.77344
ben,2013,84.89555
ben,2014,87.68467
ben,2015,82.5359
bfa,1971,22.48601
bfa,1972,25.85079
bfa,1973,28.61837
bfa,1974,29.44953
bfa,1975,26.00319
bfa,1976,30.69827
