global,time,se_sec_prog_zs
world,1985,77.77073
world,1986,77.88537
world,1987,78.4576
world,1988,77.30675
world,1989,78.01279
world,1990,79.81551
world,1991,81.088
world,1992,82.76177
world,1993,82.59613
world,1994,83.9193
world,1995,86.17113
world,1996,86.76505
world,1997,86.75155
world,1998,86.88137
world,1999,87.53948
world,2000,87.86488
world,2001,89.15952
world,2002,89.38276
world,2003,89.53735
world,2004,89.58607
world,2005,90.42706
world,2006,91.35401
world,2007,91.53891
world,2008,91.49653
world,2009,91.43735
world,2010,91.44477
world,2011,91.68801
world,2012,90.6942
world,2013,90.50994
world,2014,90.66304
world,2015,91.1741
world,2016,90.86857
world,2017,91.3076
