geo,time,se_sec_tcaq_fe_zs
abw,1999,100
abw,2000,100
abw,2001,100
abw,2002,100
abw,2003,96.52174
abw,2004,95.47325
abw,2005,92.30769
abw,2006,91.84397
abw,2009,95.89905
abw,2010,96.19048
abw,2011,96.49682
abw,2012,97.56839
ago,2015,55.68698
alb,2020,50.81885
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
and,2019,100
and,2020,100
are,2016,100
are,2019,100
are,2020,100
arm,2019,75.48212
arm,2020,76.93656
atg,2000,41.72662
atg,2009,40.64516
atg,2010,43.37349
atg,2011,43.71257
atg,2014,53.26531
atg,2015,45.55766
atg,2016,51.77305
atg,2017,51.82724
atg,2018,48.54369
bdi,2003,28.42105
bdi,2011,53.0303
bdi,2012,74.70289
bdi,2015,100
bdi,2016,100
bdi,2018,100
ben,2000,41.47963
ben,2015,22.24971
ben,2016,21.83921
ben,2020,40.34032
bfa,2009,56.35056
bfa,2011,52.64009
bfa,2012,52.38095
bfa,2013,51.48835
bfa,2014,49.68689
bfa,2015,60.18942
bfa,2016,59.36736
bfa,2017,57.80326
bfa,2018,60.04881
bfa,2019,60.70373
bfa,2020,65.26543
bgd,2012,65.02181
bgd,2013,66.92134
bgd,2016,69.01311
bgd,2017,75.68596
bgd,2020,68.84737
bhr,2012,83.81783
bhr,2013,84.49043
bhr,2014,84.94361
bhr,2015,84.7445
bhr,2016,85.83318
bhr,2017,85.87509
bhr,2018,100
bhr,2019,100
bhr,2020,100
bhs,2002,99.71871
bhs,2005,90.96737
bhs,2006,90.26017
bhs,2007,88.35052
bhs,2008,87.23849
bhs,2009,87.08355
bhs,2011,88.00187
bhs,2012,81.85786
bhs,2013,81.14849
bhs,2014,82.14895
bhs,2015,87.27498
bhs,2016,86.31826
bhs,2017,87.27498
bhs,2018,86.28068
blr,2013,95.89644
blr,2014,96.37102
blr,2015,96.35791
blr,2016,96.38215
blr,2017,96.81023
blr,2018,96.98841
blz,2000,54.38871
blz,2001,42.46377
blz,2003,42.58555
blz,2004,57.80765
blz,2006,40.61265
blz,2007,38.60933
blz,2008,40.0184
blz,2009,38.25088
blz,2010,42.23549
blz,2011,40.33816
blz,2012,44.41065
blz,2013,40.78341
blz,2015,53.11431
blz,2016,55.79915
blz,2018,64.22925
blz,2019,68.78613
blz,2020,73.53325
bmu,2001,100
bmu,2002,100
bmu,2003,100
bmu,2004,100
bmu,2005,100
bmu,2006,100
bmu,2011,100
bmu,2012,100
bmu,2014,100
bmu,2016,100
bol,2013,81.76345
bol,2014,85.30852
bol,2015,85.42145
bol,2016,85.59368
bol,2017,87.71564
bol,2018,90.2944
brb,1999,64.3662
brb,2000,68.42857
brb,2001,71.01025
brb,2002,75
brb,2003,77.39558
brb,2004,64.80447
brb,2005,60.49544
brb,2006,57.19382
brb,2014,53.29897
brb,2015,53.92954
brb,2016,57.78098
brb,2017,47.6257
brb,2018,49.16667
brb,2019,52.93276
brb,2020,53.61367
brn,2005,85.71429
brn,2006,89.91663
brn,2007,82.87832
brn,2008,90.4989
brn,2009,88.17056
brn,2011,91.40244
brn,2012,92.03747
brn,2013,87.65885
brn,2014,92.00894
brn,2015,91.46006
brn,2016,92.03442
brn,2017,90.68571
brn,2018,90.49712
brn,2019,91.25381
brn,2020,87.74161
btn,1999,100
btn,2015,100
btn,2016,100
btn,2017,100
btn,2018,100
bwa,1998,78.89105
bwa,1999,81.43922
bwa,2000,86.35864
bwa,2001,90.59343
bwa,2002,93.96903
bwa,2003,95.15335
bwa,2004,88.69904
bwa,2005,96.56369
bwa,2006,99.02369
bwa,2007,99.137
caf,2016,49.08676
civ,2014,100
civ,2016,100
civ,2018,100
civ,2019,100
cmr,2013,54.64969
cmr,2014,62.97766
cmr,2015,63.20924
cod,2010,31.52259
cod,2012,21.02568
cod,2013,21.18324
cod,2014,22.34571
cod,2018,58.00053
cog,2012,96.22754
col,2007,97.43129
col,2009,97.41924
col,2010,97.43371
col,2011,97.57127
col,2012,98.03736
col,2013,98.51746
col,2014,99.32837
col,2015,98.11912
col,2016,98.70425
col,2017,98.84414
col,2019,99.42099
cpv,2003,65.38012
cpv,2004,63.71062
cpv,2005,65.36748
cpv,2007,76.74603
cpv,2008,79.58426
cpv,2009,82.99473
cpv,2010,84.75398
cpv,2012,89.06856
cpv,2014,90.62694
cpv,2016,93.22948
cpv,2017,95.65735
cpv,2018,97.3571
cpv,2019,95.55035
cri,1999,80.33594
cri,2006,79.34783
cri,2007,84.74813
cri,2008,82.54505
cri,2009,85.48398
cri,2010,87.6924
cri,2011,89.47274
cri,2013,95.58663
cri,2014,95.47332
cri,2015,96.28373
cri,2016,96.15864
cri,2017,95.26859
cri,2018,95.99615
cri,2019,96.98983
cri,2020,96.65792
cub,1999,94.43226
cub,2000,87.03852
cub,2001,94.2371
cub,2002,84.48229
cub,2003,84.1468
cub,2004,78.02505
cub,2005,100
cub,2006,100
cub,2007,100
cub,2008,100
cub,2009,100
cub,2010,100
cub,2011,100
cub,2012,100
cub,2013,100
cub,2014,100
cub,2015,100
cub,2016,100
cub,2017,100
cub,2018,100
cub,2019,100
cub,2020,100
cym,1999,100
cym,2000,100
cym,2001,100
cym,2004,100
cym,2005,100
cym,2006,100
cym,2008,100
cym,2011,99.43182
cym,2012,99.2891
cym,2018,100
cym,2020,100
dji,2011,100
dji,2014,100
dji,2015,100
dma,1999,31.10236
dma,2000,31.06383
dma,2001,33.33333
dma,2002,37.9661
dma,2003,35.48387
dma,2004,37.93103
dma,2005,34.48276
dma,2006,36.9863
dma,2007,40.52288
dma,2008,30.43478
dma,2009,35.43307
dma,2010,39.48864
dma,2011,41.96891
dma,2013,45.38462
dma,2014,47.87234
dma,2015,47.24409
dma,2016,51.35802
dma,2019,47.94521
dma,2020,29.12088
dom,2004,76.81406
dom,2005,89.72244
dom,2006,84.65713
dom,2007,92.69507
dom,2008,85.80376
dom,2009,83.21675
dom,2010,90.46079
dom,2011,81.82335
dom,2012,90.35603
dom,2013,76.82943
dom,2015,83.30435
ecu,2000,85.77932
