geo,time,se_ter_cuat_do_zs
alb,2012,0.08962
are,2016,2.53629
are,2017,0.68158
are,2018,0.90545
are,2019,0.78624
arm,2011,0.3002
arm,2015,0.35095
arm,2017,0.31005
arm,2020,0.58793
aus,2013,0.98579
aus,2014,1.13744
aus,2015,1.317
aus,2016,1.08242
aus,2017,1.2035
aus,2018,1.13663
aus,2019,1.33219
aus,2020,1.57927
aut,2014,0.83957
aut,2015,0.83056
aut,2016,0.81614
aut,2017,0.94266
aut,2019,1.02383
bel,2013,0.5344
bel,2014,0.49466
bel,2015,0.58629
bel,2016,0.62389
bel,2017,0.64815
bel,2019,0.6032
bfa,2014,0
bfa,2018,0.05982
bgd,2011,0.07955
bgd,2012,0.08145
bgd,2013,0.09163
bgd,2014,0.09679
bgd,2015,0.15837
bgd,2016,0.16596
bgd,2017,0.17941
bgd,2018,0.19305
bgd,2019,0.20525
bgd,2020,0.24528
bhr,2010,0.21463
bhr,2016,0.23339
bhr,2017,0.23255
bhr,2018,0.24447
bhr,2020,0.26478
bhs,2010,0.46001
bih,2015,0.09836
bih,2016,0.16581
bih,2018,0.1905
bih,2020,0.18179
blr,2009,1.06727
blr,2019,0.30263
bmu,2010,0.76166
bmu,2016,1.27531
bol,2012,0.2865
bol,2015,0.21664
bol,2019,0.18694
bra,2016,0.20434
bra,2017,0.21736
bra,2018,0.25762
brn,2011,0.20831
btn,2012,0.0839
btn,2017,0.19549
can,2016,0.9462
che,2014,2.97441
che,2015,2.90017
che,2016,2.90631
che,2018,2.93416
che,2019,2.96342
cod,2016,0.02417
cpv,2015,0.04261
cri,2018,0.31475
cri,2020,0.22178
cub,2012,0.35454
cym,2015,0.81418
cyp,2013,0.53518
cyp,2014,0.61689
cyp,2015,0.72515
cyp,2016,0.71836
cyp,2018,0.75498
cyp,2020,1.05021
cze,2014,0.50424
cze,2015,0.60068
cze,2016,0.65274
cze,2017,0.67514
cze,2019,0.68143
deu,2014,1.26113
deu,2015,1.28924
deu,2016,1.32318
deu,2018,1.25296
dnk,2015,0.6488
dnk,2016,0.83519
dnk,2018,0.77864
dnk,2020,1.12637
dom,2016,0
egy,2017,0.30649
esp,2016,0.68712
esp,2018,0.66018
esp,2020,0.88189
est,2020,0.93161
fin,2012,0.99873
fin,2013,1.03154
fin,2014,1.05986
fin,2015,1.08274
fin,2017,1.14366
fin,2019,1.22741
fji,2017,0.07462
fra,2014,0.71289
fra,2015,0.76414
fra,2016,0.80483
fra,2017,0.83638
fra,2019,0.84628
gbr,2013,0.91641
gbr,2014,0.88426
gbr,2017,1.00102
gbr,2020,1.07943
geo,2012,0.23457
geo,2014,0.30158
geo,2016,0.41306
geo,2017,0.512
geo,2019,0.51294
gin,2014,0.07534
gin,2018,0.08687
grc,2014,0.54033
grc,2015,0.48674
grc,2016,0.51148
grc,2020,0.7164
grl,2012,0.10487
grl,2014,0.08444
grl,2015,0.10101
grl,2018,0.12871
grl,2019,0.10337
gtm,2012,0
gtm,2013,0.01137
gtm,2014,0.04153
gtm,2019,0.00802
hun,2013,0.50284
hun,2014,0.65924
hun,2015,0.75356
hun,2016,0.71045
hun,2020,0.68953
idn,2015,0.03213
