geo,time,se_ter_cuat_ms_fe_zs
afg,2021,0.03983
alb,2011,9.99767
alb,2012,11.88469
and,2014,10.4698
and,2015,10.37374
and,2016,10.32094
are,2017,7.53052
are,2018,8.80156
are,2019,10.22453
aus,2013,5.61522
aus,2014,6.10106
aus,2015,6.44933
aus,2016,6.5679
aus,2017,7.25007
aus,2018,7.91087
aus,2019,8.47944
aus,2020,9.5134
aut,2014,9.24073
aut,2015,9.98458
aut,2016,10.19207
aut,2017,10.73362
aut,2019,11.59705
bdi,2014,0.05131
bel,2013,10.25865
bel,2014,11.23698
bel,2015,11.70127
bel,2016,12.08765
bel,2017,13.06487
bel,2019,14.01166
bfa,2014,0
bfa,2018,0.49609
bgd,2011,0.84737
bgd,2012,0.88938
bgd,2013,1.11153
bgd,2014,1.22836
bgd,2015,2.09446
bgd,2016,2.20489
bgd,2017,2.44122
bgd,2018,2.65644
bgd,2019,2.86735
bgd,2020,4.0468
bhr,2010,0.85628
bhr,2016,1.24622
bhr,2017,1.27517
bhr,2018,1.40342
bhr,2020,1.96864
bhs,2010,4.4193
bih,2014,0.55094
bih,2015,0.83435
bih,2016,1.5342
bih,2018,1.00146
bih,2020,1.49593
blr,2009,5.62628
blr,2019,0.87543
blz,2020,1.72905
bmu,2010,8.99663
bmu,2016,11.37274
bol,2012,1.46746
bol,2015,0.80709
bol,2019,1.12253
bra,2016,0.73684
bra,2017,0.75851
bra,2018,0.90046
brn,2011,1.79929
btn,2012,0.37069
btn,2017,1.26279
can,2016,6.68738
che,2014,14.30406
che,2015,15.15286
che,2016,15.01606
che,2018,16.30359
che,2019,16.66607
chl,2011,0.3702
chl,2013,0.52274
chl,2015,0.94028
chl,2017,1.31035
chn,2010,0.312
cod,2016,0.04529
col,2007,2.31437
col,2008,2.21519
col,2009,2.19826
col,2010,2.48813
col,2011,2.7092
col,2012,2.69506
col,2013,3.18388
col,2014,3.26488
col,2015,3.22959
col,2016,3.3405
col,2018,3.68804
col,2019,3.81805
col,2020,3.99995
cpv,2015,1.63251
cri,2014,2.28538
cri,2015,2.62031
cri,2016,2.60631
cri,2018,2.78066
cri,2020,2.7458
cub,2012,5.40449
cym,2015,9.15704
cyp,2014,9.12163
cyp,2015,9.98015
cyp,2016,10.47588
cyp,2018,12.38078
cyp,2020,14.02029
cze,2014,13.24619
cze,2015,13.85292
cze,2016,14.40106
cze,2017,14.88391
cze,2019,14.92029
deu,2014,9.77008
deu,2015,10.10289
deu,2016,10.62896
deu,2018,10.48316
dnk,2014,10.75581
dnk,2015,10.3211
dnk,2016,10.8545
dnk,2018,12.47853
dnk,2020,13.11659
dom,2016,1.58214
ecu,2007,0.39356
ecu,2008,0.58863
ecu,2009,0.55983
ecu,2010,0.64689
ecu,2011,0.46676
ecu,2012,0.6652
ecu,2013,0.80978
ecu,2014,0.81488
ecu,2015,1.04982
ecu,2016,1.1424
ecu,2017,1.16975
ecu,2020,1.61347
egy,2017,0.57315
esp,2016,12.63557
esp,2018,13.03359
esp,2020,14.47416
est,2020,23.0371
fin,2012,10.79717
fin,2013,11.26014
fin,2014,11.63354
fin,2015,11.93392
fin,2017,12.73281
fin,2019,13.69871
fji,2017,0.84304
fra,2014,6.72548
fra,2015,7.21581
fra,2016,7.49769
fra,2017,8.03739
fra,2019,9.14954
gbr,2013,8.46942
gbr,2014,8.90574
gbr,2017,12.01282
gbr,2020,13.97244
geo,2012,27.10073
geo,2014,27.44831
geo,2016,28.71104
geo,2017,27.9767
geo,2019,27.59173
gin,2018,0.76378
grc,2014,2.04669
grc,2015,1.89578
grc,2016,2.09247
grc,2020,5.44614
grl,2012,2.72957
grl,2014,2.94494
grl,2015,3.10849
grl,2018,3.32342
grl,2019,3.0691
gtm,2012,0.0753
gtm,2013,0.16247
gtm,2014,0.25095
gtm,2019,0.01485
hun,2013,7.09379
hun,2014,7.41233
hun,2015,7.92051
hun,2016,7.69739
hun,2020,10.87498
idn,2014,0.40044
idn,2015,0.34846
idn,2016,0.38732
idn,2018,0.46647
idn,2020,0.48787
irl,2011,10.12227
irl,2017,12.48832
irn,2012,2.29463
irn,2013,2.74315
irn,2014,3.0987
irn,2016,3.88535
isl,2019,18.44203
isl,2020,18.46306
isr,2013,12.36203
isr,2014,12.95236
isr,2015,13.26539
ita,2020,13.51508
jor,2018,1.26781
jor,2020,1.53387
kaz,2009,0.13381
kaz,2018,0.10217
kgz,2009,16.65038
khm,2014,0.18494
khm,2015,0.33482
kor,2010,2.38186
kor,2015,3.31424
kwt,2013,0.25066
kwt,2015,0.32502
kwt,2017,0.35961
kwt,2018,0.40804
lca,2010,2.17994
lka,2016,0.74867
lka,2017,0.60679
lka,2018,0.64356
lka,2019,0.64123
ltu,2014,14.3677
ltu,2015,15.11625
ltu,2016,14.94926
ltu,2017,14.8796
ltu,2020,16.07127
lva,2013,0.53847
lva,2014,12.7257
lva,2015,14.34833
lva,2016,14.62118
lva,2018,17.51472
lva,2019,20.58869
mda,2013,0.60565
mda,2014,0.76507
mda,2015,1.15074
mda,2018,1.30119
mda,2019,1.73533
mdg,2018,1.16159
