geo,time,se_ter_enrr_ma
abw,1999,26.02579
abw,2000,23.54056
abw,2001,23.13514
abw,2002,21.32701
abw,2003,22.00647
abw,2004,21.20075
abw,2005,25.89422
abw,2006,25
abw,2007,28.62431
abw,2008,29.70328
abw,2009,29.13085
abw,2010,31.10764
abw,2011,31.24257
abw,2012,30.5
abw,2013,10.23873
abw,2014,10.14717
abw,2015,9.447
abw,2016,10.66735
afg,1970,1.3372
afg,1972,1.65126
afg,1973,1.83759
afg,1974,1.74294
afg,1975,1.89617
afg,1976,2.14776
afg,1977,2.20289
afg,1978,2.89276
afg,1979,3.23926
afg,1986,3.60227
afg,1990,2.96306
afg,2003,1.8217
afg,2004,1.82145
afg,2009,5.97378
afg,2011,5.28638
afg,2014,12.63402
afg,2018,14.2081
afg,2020,15.05095
ago,1990,0.92973
ago,1998,0.65231
ago,1999,0.61221
ago,2002,0.86477
ago,2011,8.99838
ago,2013,9.8508
ago,2015,9.42249
ago,2016,10.23823
alb,1971,18.26933
alb,1972,19.73991
alb,1978,6.38444
alb,1981,5.14237
alb,1983,6.08714
alb,1984,6.90446
alb,1985,7.58563
alb,1986,7.72812
alb,1987,7.53183
alb,1988,7.65426
alb,1989,7.90759
alb,1990,7.95689
alb,1991,8.42896
alb,1992,8.83578
alb,1993,11.05136
alb,1994,10.07314
alb,1995,9.83765
alb,1996,10.27371
alb,1997,11.20017
alb,1998,11.89665
alb,1999,12.02927
alb,2000,12.70327
alb,2001,12.60296
alb,2002,12.6839
alb,2003,12.82352
alb,2004,15.48229
alb,2005,18.841
alb,2006,22.70437
alb,2007,25.86625
alb,2008,27.78814
alb,2009,28.35564
alb,2010,38.04778
alb,2011,42.33717
alb,2012,49.90621
alb,2013,54.22968
alb,2014,54.55885
alb,2015,51.56088
alb,2016,47.56265
alb,2017,45.73384
alb,2018,43.04797
alb,2019,46.94404
alb,2020,45.05058
are,2020,46.35613
arg,1970,15.02166
arg,1971,16.709
arg,1972,17.67386
arg,1973,21.29658
arg,1974,24.89581
arg,1975,28.33259
arg,1976,28.39589
arg,1977,25.33229
arg,1978,21.51326
arg,1979,22.55651
arg,1980,21.69407
arg,1981,21.71347
arg,1982,22.45723
arg,1983,23.11603
arg,1984,26.94925
arg,1985,33.88868
arg,1986,35.39048
arg,1987,36.87578
arg,1999,37.54072
arg,2000,42.87786
arg,2001,48.15512
arg,2002,51.01697
arg,2003,52.46652
arg,2004,54.60749
arg,2005,52.59029
arg,2006,53.6077
arg,2007,53.17609
arg,2008,54.44815
arg,2009,56.4313
