geo,time,sh_dth_2024
afg,1990,7531
afg,1991,7532
afg,1992,7658
afg,1993,7783
afg,1994,7769
afg,1995,7628
afg,1996,7273
afg,1997,6835
afg,1998,6365
afg,1999,5944
afg,2000,5604
afg,2001,5424
afg,2002,5327
afg,2003,5289
afg,2004,5280
afg,2005,5310
afg,2006,5297
afg,2007,5348
afg,2008,5516
afg,2009,5814
afg,2010,6257
afg,2011,7005
afg,2012,7909
afg,2013,8965
afg,2014,10096
afg,2015,11169
afg,2016,11970
afg,2017,12631
afg,2018,13135
afg,2019,13531
afg,2020,13913
ago,1990,7118
ago,1991,7407
ago,1992,7826
ago,1993,8315
ago,1994,8790
ago,1995,9187
ago,1996,9484
ago,1997,9705
ago,1998,9873
ago,1999,10040
ago,2000,10219
ago,2001,10370
ago,2002,10517
ago,2003,10649
ago,2004,10741
ago,2005,10811
ago,2006,10811
ago,2007,10810
ago,2008,10782
ago,2009,10730
ago,2010,10664
ago,2011,10558
ago,2012,10440
ago,2013,10343
ago,2014,10276
ago,2015,10247
ago,2016,10259
ago,2017,10300
ago,2018,10349
ago,2019,10420
ago,2020,10534
alb,1990,292
alb,1991,303
alb,1992,310
alb,1993,313
alb,1994,313
alb,1995,313
alb,1996,313
alb,1997,392
alb,1998,297
alb,1999,278
alb,2000,256
alb,2001,235
alb,2002,218
alb,2003,205
alb,2004,197
alb,2005,192
alb,2006,188
alb,2007,184
alb,2008,179
alb,2009,174
alb,2010,167
alb,2011,163
alb,2012,157
alb,2013,149
alb,2014,138
alb,2015,126
alb,2016,115
alb,2017,104
alb,2018,94
alb,2019,85
alb,2020,78
and,1990,5
and,1991,5
and,1992,5
and,1993,5
and,1994,5
and,1995,5
and,1996,4
and,1997,4
and,1998,4
and,1999,3
and,2000,3
and,2001,3
and,2002,3
and,2003,3
and,2004,3
and,2005,3
and,2006,3
and,2007,3
and,2008,3
and,2009,2
and,2010,2
and,2011,2
and,2012,2
and,2013,2
and,2014,2
and,2015,2
and,2016,2
and,2017,1
and,2018,1
and,2019,1
and,2020,1
are,1990,116
are,1991,134
are,1992,147
are,1993,154
are,1994,155
are,1995,152
are,1996,165
are,1997,177
are,1998,187
are,1999,192
are,2000,195
are,2001,228
are,2002,252
are,2003,268
are,2004,282
are,2005,297
are,2006,372
are,2007,442
are,2008,494
are,2009,515
are,2010,501
are,2011,509
are,2012,497
are,2013,464
are,2014,420
are,2015,376
are,2016,391
are,2017,408
are,2018,413
are,2019,402
are,2020,380
arg,1990,2493
arg,1991,2545
arg,1992,2625
arg,1993,2720
arg,1994,2824
arg,1995,2935
arg,1996,3048
arg,1997,3171
arg,1998,3289
arg,1999,3377
arg,2000,3407
arg,2001,3369
arg,2002,3267
arg,2003,3138
arg,2004,3027
arg,2005,2968
arg,2006,2977
arg,2007,3048
arg,2008,3146
arg,2009,3247
arg,2010,3344
arg,2011,3444
arg,2012,3529
arg,2013,3576
arg,2014,3579
arg,2015,3547
arg,2016,3503
arg,2017,3444
arg,2018,3369
arg,2019,3284
arg,2020,3205
arm,1990,226
arm,1991,240
arm,1992,296
arm,1993,336
arm,1994,306
arm,1995,242
arm,1996,189
arm,1997,151
arm,1998,125
arm,1999,111
arm,2000,104
arm,2001,102
arm,2002,104
arm,2003,110
arm,2004,120
arm,2005,130
arm,2006,138
arm,2007,144
arm,2008,150
arm,2009,157
arm,2010,158
arm,2011,151
arm,2012,139
arm,2013,134
arm,2014,139
arm,2015,145
arm,2016,146
arm,2017,136
arm,2018,115
arm,2019,90
arm,2020,70
atg,1990,9
atg,1991,8
atg,1992,8
atg,1993,8
atg,1994,7
atg,1995,7
atg,1996,7
atg,1997,7
atg,1998,7
atg,1999,7
atg,2000,6
atg,2001,6
atg,2002,6
atg,2003,6
atg,2004,6
atg,2005,6
atg,2006,6
atg,2007,6
atg,2008,6
atg,2009,6
atg,2010,6
atg,2011,6
atg,2012,6
atg,2013,6
atg,2014,5
atg,2015,5
atg,2016,5
atg,2017,5
atg,2018,5
atg,2019,5
atg,2020,5
aus,1990,1213
aus,1991,1146
aus,1992,1107
aus,1993,1094
aus,1994,1100
aus,1995,1119
aus,1996,1137
aus,1997,1133
aus,1998,1098
aus,1999,1028
aus,2000,937
aus,2001,864
aus,2002,818
aus,2003,796
aus,2004,788
aus,2005,783
aus,2006,788
aus,2007,784
aus,2008,774
aus,2009,766
aus,2010,760
aus,2011,745
aus,2012,725
aus,2013,706
aus,2014,692
aus,2015,684
aus,2016,677
aus,2017,677
aus,2018,681
aus,2019,688
aus,2020,697
aut,1990,557
aut,1991,553
aut,1992,541
aut,1993,520
aut,1994,491
aut,1995,455
aut,1996,415
aut,1997,381
aut,1998,353
aut,1999,332
aut,2000,319
aut,2001,315
aut,2002,318
aut,2003,323
aut,2004,325
aut,2005,323
aut,2006,315
aut,2007,304
aut,2008,289
aut,2009,274
aut,2010,259
aut,2011,247
aut,2012,236
aut,2013,226
aut,2014,216
aut,2015,207
aut,2016,199
aut,2017,191
aut,2018,183
aut,2019,177
aut,2020,171
aze,1990,558
aze,1991,821
aze,1992,1612
aze,1993,2327
aze,1994,1863
aze,1995,1191
aze,1996,906
aze,1997,838
aze,1998,801
aze,1999,723
aze,2000,642
aze,2001,594
aze,2002,578
aze,2003,588
aze,2004,616
aze,2005,648
aze,2006,665
aze,2007,669
aze,2008,777
aze,2009,672
aze,2010,673
aze,2011,669
aze,2012,764
aze,2013,657
aze,2014,651
aze,2015,629
aze,2016,578
aze,2017,520
aze,2018,485
aze,2019,480
aze,2020,1476
bdi,1990,4345
bdi,1991,4410
bdi,1992,4472
bdi,1993,7486
bdi,1994,4549
bdi,1995,4526
bdi,1996,4404
bdi,1997,4225
bdi,1998,3999
bdi,1999,3752
bdi,2000,3501
bdi,2001,3323
bdi,2002,3173
bdi,2003,3035
bdi,2004,2901
bdi,2005,2752
bdi,2006,2589
bdi,2007,2438
bdi,2008,2311
bdi,2009,2212
bdi,2010,2144
bdi,2011,2092
bdi,2012,2054
bdi,2013,2020
bdi,2014,1983
bdi,2015,1945
bdi,2016,1902
bdi,2017,1869
bdi,2018,1850
bdi,2019,1840
bdi,2020,1847
bel,1990,665
bel,1991,645
bel,1992,627
bel,1993,610
bel,1994,591
bel,1995,569
bel,1996,546
bel,1997,526
bel,1998,509
bel,1999,493
bel,2000,477
bel,2001,464
bel,2002,449
bel,2003,431
bel,2004,414
bel,2005,398
bel,2006,385
bel,2007,373
bel,2008,361
bel,2009,349
bel,2010,337
bel,2011,327
bel,2012,318
bel,2013,308
bel,2014,298
bel,2015,287
bel,2016,275
bel,2017,262
bel,2018,249
bel,2019,238
bel,2020,229
ben,1990,1262
ben,1991,1279
ben,1992,1297
ben,1993,1319
ben,1994,1343
ben,1995,1368
ben,1996,1384
ben,1997,1402
ben,1998,1422
ben,1999,1442
ben,2000,1468
ben,2001,1494
ben,2002,1524
ben,2003,1559
ben,2004,1594
ben,2005,1633
ben,2006,1670
ben,2007,1712
ben,2008,1760
ben,2009,1814
ben,2010,1873
ben,2011,1934
ben,2012,1998
ben,2013,2069
ben,2014,2139
ben,2015,2207
ben,2016,2272
ben,2017,2333
ben,2018,2388
ben,2019,2443
ben,2020,2492
bfa,1990,3140
bfa,1991,3185
bfa,1992,3224
bfa,1993,3264
bfa,1994,3311
bfa,1995,3360
bfa,1996,3395
bfa,1997,3429
bfa,1998,3456
bfa,1999,3475
bfa,2000,3481
bfa,2001,3480
bfa,2002,3479
bfa,2003,3492
bfa,2004,3512
bfa,2005,3530
bfa,2006,3535
bfa,2007,3536
bfa,2008,3530
bfa,2009,3531
bfa,2010,3545
bfa,2011,3578
bfa,2012,3618
bfa,2013,3680
bfa,2014,3739
bfa,2015,3806
bfa,2016,3876
bfa,2017,3958
bfa,2018,4020
bfa,2019,4098
bfa,2020,4198
bgd,1990,27390
bgd,1991,32688
bgd,1992,27006
bgd,1993,26458
bgd,1994,25790
bgd,1995,25090
bgd,1996,24322
bgd,1997,23551
bgd,1998,22857
bgd,1999,22131
bgd,2000,21327
bgd,2001,20602
bgd,2002,19914
bgd,2003,19251
bgd,2004,18631
bgd,2005,18105
bgd,2006,17669
bgd,2007,17279
bgd,2008,16902
bgd,2009,16598
bgd,2010,16436
bgd,2011,16431
bgd,2012,16477
bgd,2013,16561
bgd,2014,16615
bgd,2015,16614
bgd,2016,16693
bgd,2017,16763
bgd,2018,16780
bgd,2019,16733
bgd,2020,16642
bgr,1990,552
bgr,1991,561
bgr,1992,573
bgr,1993,582
bgr,1994,583
bgr,1995,575
bgr,1996,563
bgr,1997,549
bgr,1998,532
bgr,1999,512
bgr,2000,490
bgr,2001,466
bgr,2002,441
bgr,2003,418
bgr,2004,401
bgr,2005,392
bgr,2006,385
bgr,2007,381
bgr,2008,375
bgr,2009,365
bgr,2010,347
bgr,2011,326
bgr,2012,304
bgr,2013,282
bgr,2014,262
bgr,2015,243
bgr,2016,227
bgr,2017,211
bgr,2018,197
bgr,2019,186
bgr,2020,179
bhr,1990,28
bhr,1991,29
bhr,1992,31
bhr,1993,32
bhr,1994,34
bhr,1995,34
bhr,1996,35
bhr,1997,35
bhr,1998,36
bhr,1999,37
bhr,2000,39
bhr,2001,43
bhr,2002,47
bhr,2003,51
bhr,2004,55
bhr,2005,58
bhr,2006,65
bhr,2007,70
bhr,2008,72
bhr,2009,71
bhr,2010,68
bhr,2011,68
bhr,2012,67
bhr,2013,64
bhr,2014,61
bhr,2015,58
bhr,2016,61
bhr,2017,60
bhr,2018,57
bhr,2019,51
bhr,2020,45
bhs,1990,43
bhs,1991,44
bhs,1992,46
bhs,1993,48
bhs,1994,50
bhs,1995,51
bhs,1996,50
bhs,1997,49
bhs,1998,46
bhs,1999,43
bhs,2000,41
bhs,2001,41
bhs,2002,42
bhs,2003,42
bhs,2004,41
bhs,2005,42
bhs,2006,44
bhs,2007,47
bhs,2008,50
bhs,2009,52
bhs,2010,54
bhs,2011,58
bhs,2012,62
bhs,2013,65
bhs,2014,67
bhs,2015,67
bhs,2016,65
bhs,2017,62
bhs,2018,59
bhs,2019,68
bhs,2020,53
bih,1990,298
bih,1991,297
bih,1992,5471
bih,1993,5391
bih,1994,3228
bih,1995,466
bih,1996,212
bih,1997,195
bih,1998,180
bih,1999,169
bih,2000,161
bih,2001,155
bih,2002,151
bih,2003,149
bih,2004,149
bih,2005,148
bih,2006,147
bih,2007,144
bih,2008,140
bih,2009,134
bih,2010,128
bih,2011,119
bih,2012,111
bih,2013,104
bih,2014,99
bih,2015,97
bih,2016,100
bih,2017,104
bih,2018,109
bih,2019,111
bih,2020,110
blr,1990,971
blr,1991,994
blr,1992,1029
blr,1993,1067
blr,1994,1099
blr,1995,1124
blr,1996,1152
blr,1997,1178
blr,1998,1200
blr,1999,1221
blr,2000,1233
blr,2001,1225
blr,2002,1198
blr,2003,1165
blr,2004,1129
blr,2005,1090
blr,2006,1052
blr,2007,1016
blr,2008,979
blr,2009,937
blr,2010,881
blr,2011,806
blr,2012,716
blr,2013,621
blr,2014,531
blr,2015,451
blr,2016,387
blr,2017,328
blr,2018,275
blr,2019,230
blr,2020,197
blz,1990,22
blz,1991,23
blz,1992,25
blz,1993,28
blz,1994,30
blz,1995,33
blz,1996,38
blz,1997,43
blz,1998,46
blz,1999,49
blz,2000,51
blz,2001,52
blz,2002,54
blz,2003,55
blz,2004,56
blz,2005,57
blz,2006,58
blz,2007,58
blz,2008,59
blz,2009,60
blz,2010,61
blz,2011,62
blz,2012,63
blz,2013,64
blz,2014,64
blz,2015,64
blz,2016,64
blz,2017,63
blz,2018,62
blz,2019,62
blz,2020,61
bol,1990,1507
bol,1991,1467
bol,1992,1438
bol,1993,1409
bol,1994,1388
bol,1995,1367
bol,1996,1349
bol,1997,1335
bol,1998,1320
bol,1999,1301
bol,2000,1282
bol,2001,1255
bol,2002,1228
bol,2003,1200
bol,2004,1170
bol,2005,1142
bol,2006,1116
bol,2007,1094
bol,2008,1077
bol,2009,1074
bol,2010,1077
bol,2011,1083
bol,2012,1093
bol,2013,1098
bol,2014,1103
bol,2015,1105
bol,2016,1109
bol,2017,1116
bol,2018,1117
bol,2019,1115
bol,2020,1118
bra,1990,22896
bra,1991,22728
bra,1992,22751
bra,1993,23026
bra,1994,23571
bra,1995,24234
bra,1996,24785
bra,1997,25231
bra,1998,25638
bra,1999,26059
bra,2000,26478
bra,2001,26903
bra,2002,27318
bra,2003,27548
bra,2004,27489
bra,2005,27299
bra,2006,27197
bra,2007,27163
bra,2008,27191
bra,2009,27291
bra,2010,27462
bra,2011,27640
bra,2012,27774
bra,2013,27885
bra,2014,27945
bra,2015,27893
bra,2016,27655
bra,2017,27206
bra,2018,26465
bra,2019,25447
bra,2020,24372
brb,1990,28
brb,1991,27
brb,1992,26
brb,1993,25
brb,1994,24
brb,1995,23
brb,1996,22
brb,1997,21
brb,1998,20
brb,1999,19
brb,2000,19
brb,2001,19
brb,2002,20
brb,2003,20
brb,2004,20
brb,2005,20
brb,2006,20
brb,2007,20
brb,2008,19
brb,2009,18
brb,2010,17
brb,2011,17
brb,2012,16
brb,2013,16
brb,2014,15
brb,2015,15
brb,2016,15
brb,2017,15
brb,2018,14
brb,2019,14
brb,2020,14
brn,1990,32
brn,1991,33
brn,1992,33
brn,1993,33
brn,1994,32
brn,1995,31
brn,1996,31
brn,1997,30
brn,1998,29
brn,1999,28
brn,2000,27
brn,2001,26
brn,2002,25
brn,2003,24
brn,2004,24
brn,2005,24
brn,2006,23
brn,2007,23
brn,2008,23
brn,2009,23
brn,2010,23
brn,2011,23
brn,2012,22
brn,2013,20
brn,2014,19
brn,2015,18
brn,2016,17
brn,2017,17
brn,2018,16
brn,2019,15
brn,2020,15
btn,1990,132
btn,1991,126
btn,1992,120
btn,1993,113
btn,1994,106
btn,1995,100
btn,1996,97
btn,1997,95
btn,1998,95
btn,1999,96
btn,2000,96
btn,2001,98
btn,2002,100
btn,2003,102
btn,2004,104
btn,2005,107
btn,2006,108
btn,2007,109
btn,2008,110
btn,2009,111
btn,2010,112
btn,2011,113
btn,2012,114
btn,2013,114
btn,2014,113
btn,2015,112
btn,2016,110
btn,2017,108
btn,2018,105
btn,2019,103
btn,2020,100
bwa,1990,624
bwa,1991,658
bwa,1992,690
bwa,1993,719
bwa,1994,747
bwa,1995,770
bwa,1996,787
bwa,1997,798
bwa,1998,807
bwa,1999,812
bwa,2000,812
bwa,2001,807
bwa,2002,794
bwa,2003,773
bwa,2004,746
bwa,2005,712
bwa,2006,675
bwa,2007,634
bwa,2008,591
bwa,2009,547
bwa,2010,505
bwa,2011,463
bwa,2012,424
bwa,2013,387
bwa,2014,353
bwa,2015,322
bwa,2016,296
bwa,2017,276
bwa,2018,263
bwa,2019,256
bwa,2020,254
caf,1990,1337
caf,1991,1388
caf,1992,1445
caf,1993,1504
caf,1994,1566
caf,1995,1619
caf,1996,1669
caf,1997,1721
caf,1998,1775
caf,1999,1830
caf,2000,1892
caf,2001,1944
caf,2002,2007
caf,2003,2072
caf,2004,2129
caf,2005,2179
caf,2006,2195
caf,2007,2209
caf,2008,2221
caf,2009,2228
caf,2010,2225
caf,2011,2179
caf,2012,2129
caf,2013,2090
caf,2014,2071
caf,2015,2066
caf,2016,2092
caf,2017,2467
caf,2018,2182
caf,2019,2244
caf,2020,2302
can,1990,1732
can,1991,1617
can,1992,1526
can,1993,1456
can,1994,1403
can,1995,1362
can,1996,1331
can,1997,1310
can,1998,1297
can,1999,1288
can,2000,1283
