geo,time,sh_dth_comm_zs
afg,2000,59.81465
afg,2010,48.14991
afg,2015,39.39098
afg,2019,32.93045
ago,2000,72.83909
ago,2010,66.607
ago,2015,61.57538
ago,2019,59.16227
alb,2000,8.10935
alb,2010,3.25913
alb,2015,2.95538
alb,2019,3.02311
are,2000,10.31528
are,2010,7.17661
are,2015,7.02644
are,2019,7.09169
arg,2000,12.28092
arg,2010,14.12943
arg,2015,15.49178
arg,2019,17.59649
arm,2000,5.17826
arm,2010,4.44473
arm,2015,4.80844
arm,2019,6.6945
atg,2000,13.51311
atg,2010,12.21178
atg,2015,11.286
atg,2019,9.83439
aus,2000,4.36979
aus,2010,3.9545
aus,2015,4.56956
aus,2019,4.94105
aut,2000,2.67116
aut,2010,2.77306
aut,2015,2.67368
aut,2019,3.56998
aze,2000,18.76253
aze,2010,10.23827
aze,2015,7.43066
aze,2019,5.98819
bdi,2000,62.7775
bdi,2010,60.53016
bdi,2015,54.4843
bdi,2019,51.17481
bel,2000,7.50581
bel,2010,7.286
bel,2015,7.89759
bel,2019,7.89791
ben,2000,63.57611
ben,2010,57.66161
ben,2015,54.1183
ben,2019,51.832
bfa,2000,73.12803
bfa,2010,65.11072
bfa,2015,57.77329
bfa,2019,54.10483
bgd,2000,50.24665
bgd,2010,32.9784
bgd,2015,28.80766
bgd,2019,22.61284
bgr,2000,3.2143
bgr,2010,2.40866
bgr,2015,2.12346
bgr,2019,2.214
bhr,2000,6.11536
bhr,2010,6.02824
bhr,2015,5.61154
bhr,2019,5.00867
bhs,2000,29.15829
bhs,2010,13.85984
bhs,2015,14.90002
bhs,2019,10.71019
bih,2000,3.16307
bih,2010,2.12468
bih,2015,1.93185
bih,2019,1.80975
blr,2000,2.35988
blr,2010,2.16632
blr,2015,1.81476
blr,2019,1.60865
blz,2000,20.12017
blz,2010,19.11673
blz,2015,19.46783
blz,2019,15.93566
bol,2000,38.27133
bol,2010,26.01965
bol,2015,20.86722
bol,2019,18.62232
bra,2000,18.00924
bra,2010,13.82408
bra,2015,14.1762
bra,2019,13.70864
brb,2000,15.94148
brb,2010,13.56008
brb,2015,13.38687
brb,2019,12.9005
brn,2000,9.53328
brn,2010,11.82987
