geo,time,sh_dyn_1519
afg,1990,20.2
afg,1991,18.9
afg,1992,17.6
afg,1993,16.5
afg,1994,15.3
afg,1995,14.2
afg,1996,13.2
afg,1997,12.2
afg,1998,11.3
afg,1999,10.4
afg,2000,9.7
afg,2001,9
afg,2002,8.4
afg,2003,7.9
afg,2004,7.5
afg,2005,7.3
afg,2006,7.3
afg,2007,7.4
afg,2008,7.7
afg,2009,8.2
afg,2010,8.9
afg,2011,9.7
afg,2012,10.7
afg,2013,11.7
afg,2014,12.6
afg,2015,13.4
afg,2016,13.7
afg,2017,13.7
afg,2018,13.5
afg,2019,13.3
afg,2020,13
ago,1990,27.3
ago,1991,27.2
ago,1992,27.3
ago,1993,27.2
ago,1994,27.2
ago,1995,27.2
ago,1996,27
ago,1997,26.8
ago,1998,26.5
ago,1999,26.1
ago,2000,25.7
ago,2001,25.1
ago,2002,24.5
ago,2003,23.8
ago,2004,23.1
ago,2005,22.2
ago,2006,21.3
ago,2007,20.4
ago,2008,19.5
ago,2009,18.6
ago,2010,17.8
ago,2011,17
ago,2012,16.2
ago,2013,15.5
ago,2014,14.8
ago,2015,14.3
ago,2016,13.8
ago,2017,13.5
ago,2018,13.1
ago,2019,12.7
ago,2020,12.4
alb,1990,3.3
alb,1991,3.4
alb,1992,3.6
alb,1993,3.7
alb,1994,3.7
alb,1995,3.8
alb,1996,3.8
alb,1997,4.7
alb,1998,3.8
alb,1999,3.6
alb,2000,3.4
alb,2001,3.1
alb,2002,2.9
alb,2003,2.7
alb,2004,2.6
alb,2005,2.6
alb,2006,2.6
alb,2007,2.6
alb,2008,2.6
alb,2009,2.6
alb,2010,2.6
alb,2011,2.6
alb,2012,2.5
alb,2013,2.4
alb,2014,2.3
alb,2015,2.2
alb,2016,2
alb,2017,1.9
alb,2018,1.8
alb,2019,1.7
alb,2020,1.6
and,1990,4
and,1991,3.8
and,1992,3.7
and,1993,3.5
and,1994,3.4
and,1995,3.2
and,1996,3.1
and,1997,3
and,1998,2.9
and,1999,2.7
and,2000,2.6
and,2001,2.5
and,2002,2.4
and,2003,2.3
and,2004,2.3
and,2005,2.2
and,2006,2.1
and,2007,2
and,2008,1.9
and,2009,1.8
and,2010,1.8
and,2011,1.7
and,2012,1.6
and,2013,1.6
and,2014,1.5
and,2015,1.4
and,2016,1.4
and,2017,1.3
and,2018,1.3
and,2019,1.2
and,2020,1.2
are,1990,3.3
are,1991,3.2
are,1992,3.1
are,1993,3.1
are,1994,3
are,1995,3
are,1996,2.9
are,1997,2.9
are,1998,2.8
are,1999,2.8
are,2000,2.8
are,2001,2.7
are,2002,2.7
are,2003,2.7
are,2004,2.7
are,2005,2.6
are,2006,2.6
are,2007,2.6
are,2008,2.6
are,2009,2.5
are,2010,2.5
are,2011,2.5
are,2012,2.4
are,2013,2.4
are,2014,2.4
are,2015,2.4
are,2016,2.4
are,2017,2.4
are,2018,2.4
are,2019,2.3
are,2020,2.3
arg,1990,3.7
arg,1991,3.6
arg,1992,3.6
arg,1993,3.6
arg,1994,3.7
arg,1995,3.7
arg,1996,3.7
arg,1997,3.8
arg,1998,3.9
arg,1999,3.9
arg,2000,3.9
arg,2001,3.9
arg,2002,3.8
arg,2003,3.7
arg,2004,3.6
arg,2005,3.5
arg,2006,3.5
arg,2007,3.6
arg,2008,3.7
arg,2009,3.8
arg,2010,3.9
arg,2011,4
arg,2012,4
arg,2013,4
arg,2014,3.9
arg,2015,3.8
arg,2016,3.7
arg,2017,3.5
arg,2018,3.4
arg,2019,3.2
arg,2020,3.1
arm,1990,2.4
arm,1991,2.6
arm,1992,3.5
arm,1993,4.5
arm,1994,4.7
arm,1995,4.3
arm,1996,3.7
arm,1997,3.1
arm,1998,2.6
arm,1999,2.2
arm,2000,2
arm,2001,1.8
arm,2002,1.8
arm,2003,1.8
arm,2004,1.8
arm,2005,1.9
arm,2006,1.9
arm,2007,2
arm,2008,2.1
arm,2009,2.2
arm,2010,2.3
arm,2011,2.2
arm,2012,2.1
arm,2013,2.2
arm,2014,2.4
arm,2015,2.8
arm,2016,3
