geo,time,sh_dyn_mort
afg,1960,358.2
afg,1961,352.2
afg,1962,346.3
afg,1963,340.6
afg,1964,335.1
afg,1965,329.8
afg,1966,324.4
afg,1967,318.8
afg,1968,313.3
afg,1969,307.9
afg,1970,302.1
afg,1971,296.6
afg,1972,291
afg,1973,285.4
afg,1974,279.6
afg,1975,273.8
afg,1976,268
afg,1977,262.1
afg,1978,256
afg,1979,249.7
afg,1980,243.6
afg,1981,237.2
afg,1982,230.7
afg,1983,224.2
afg,1984,217.5
afg,1985,210.9
afg,1986,204.4
afg,1987,197.7
afg,1988,191.2
afg,1989,184.7
afg,1990,178.4
afg,1991,172.2
afg,1992,166.3
afg,1993,160.7
afg,1994,155.5
afg,1995,150.6
afg,1996,146
afg,1997,141.5
afg,1998,137.3
afg,1999,133.2
afg,2000,129.2
afg,2001,125.2
afg,2002,121.1
afg,2003,116.9
afg,2004,112.6
afg,2005,108.4
afg,2006,104.1
afg,2007,99.9
afg,2008,95.7
afg,2009,91.7
afg,2010,87.8
afg,2011,84
afg,2012,80.3
afg,2013,76.9
afg,2014,73.6
afg,2015,70.4
afg,2016,67.5
afg,2017,64.8
afg,2018,62.3
afg,2019,60.1
afg,2020,58
ago,1980,237.3
ago,1981,234.6
ago,1982,232.1
ago,1983,229.9
ago,1984,227.9
ago,1985,226
ago,1986,224.6
ago,1987,223.8
ago,1988,223.3
ago,1989,222.9
ago,1990,222.8
ago,1991,222.6
ago,1992,222.7
ago,1993,222.7
ago,1994,222.5
ago,1995,221.7
ago,1996,220
ago,1997,217.4
ago,1998,213.8
ago,1999,209.6
ago,2000,204.4
ago,2001,198.4
ago,2002,191.5
ago,2003,183.8
ago,2004,175.1
ago,2005,166.1
ago,2006,156.4
ago,2007,147
ago,2008,137.7
ago,2009,128.7
ago,2010,120.4
ago,2011,112.5
ago,2012,105.1
ago,2013,98.5
ago,2014,92.9
ago,2015,88.1
ago,2016,84.1
ago,2017,80.6
ago,2018,77.3
ago,2019,74.2
ago,2020,71.5
alb,1978,97.2
alb,1979,89.3
alb,1980,82.1
alb,1981,75.5
alb,1982,69.5
alb,1983,64.2
alb,1984,59.4
alb,1985,55.1
alb,1986,51.4
alb,1987,48.2
alb,1988,45.4
alb,1989,43
alb,1990,41
alb,1991,39.3
alb,1992,37.8
alb,1993,36.4
alb,1994,35.1
alb,1995,33.9
alb,1996,32.6
alb,1997,31.3
alb,1998,30
alb,1999,28.6
alb,2000,27.2
alb,2001,25.8
alb,2002,24.4
alb,2003,23
alb,2004,21.5
alb,2005,20
alb,2006,18.5
alb,2007,17.1
alb,2008,15.8
alb,2009,14.5
alb,2010,13.3
alb,2011,12.1
alb,2012,11.2
alb,2013,10.4
alb,2014,9.9
alb,2015,9.6
alb,2016,9.4
alb,2017,9.4
alb,2018,9.5
alb,2019,9.7
alb,2020,9.8
and,1985,20.8
and,1986,19.6
and,1987,18.4
and,1988,17.2
and,1989,16.1
and,1990,15.1
and,1991,14.2
and,1992,13.3
and,1993,12.4
and,1994,11.7
and,1995,11
and,1996,10.4
and,1997,9.7
and,1998,9.2
and,1999,8.6
and,2000,8.2
and,2001,7.7
and,2002,7.3
and,2003,6.9
and,2004,6.5
and,2005,6.1
and,2006,5.8
and,2007,5.4
and,2008,5.1
and,2009,4.8
and,2010,4.5
and,2011,4.2
and,2012,4
and,2013,3.8
and,2014,3.5
and,2015,3.3
and,2016,3.2
and,2017,3
and,2018,2.8
and,2019,2.7
and,2020,2.5
are,1960,198
are,1961,188
are,1962,178.2
are,1963,168.2
are,1964,158
are,1965,147.7
are,1966,137.3
are,1967,127.1
are,1968,116.8
are,1969,106.9
are,1970,97.4
are,1971,88.4
are,1972,80.1
are,1973,72.6
are,1974,65.7
are,1975,59.4
are,1976,53.6
are,1977,48.3
are,1978,43.5
are,1979,39.2
are,1980,35.3
are,1981,32
are,1982,29.1
are,1983,26.7
are,1984,24.6
are,1985,22.7
are,1986,21.2
are,1987,19.8
are,1988,18.6
are,1989,17.5
are,1990,16.5
are,1991,15.7
are,1992,14.9
are,1993,14.2
are,1994,13.6
are,1995,13.1
are,1996,12.6
are,1997,12.2
are,1998,11.8
are,1999,11.5
are,2000,11.1
are,2001,10.9
are,2002,10.6
are,2003,10.3
are,2004,10.1
are,2005,9.8
are,2006,9.6
are,2007,9.4
are,2008,9.2
are,2009,8.9
are,2010,8.7
are,2011,8.4
are,2012,8.2
are,2013,8
are,2014,7.8
are,2015,7.6
are,2016,7.4
are,2017,7.2
are,2018,7
are,2019,6.8
are,2020,6.6
arg,1969,72.5
arg,1970,71.7
arg,1971,70.8
arg,1972,69.7
arg,1973,68.2
arg,1974,66.1
arg,1975,63.3
arg,1976,59.8
arg,1977,55.7
arg,1978,51.2
arg,1979,46.8
arg,1980,42.8
arg,1981,39.4
arg,1982,36.6
arg,1983,34.2
arg,1984,32.1
arg,1985,30.6
arg,1986,29.6
arg,1987,29.1
arg,1988,28.9
arg,1989,28.8
arg,1990,28.6
arg,1991,28.1
arg,1992,27.3
arg,1993,26.3
arg,1994,25.2
arg,1995,24.1
arg,1996,23.1
arg,1997,22.1
arg,1998,21.2
arg,1999,20.4
arg,2000,19.6
arg,2001,18.9
arg,2002,18.3
arg,2003,17.7
arg,2004,17.1
arg,2005,16.5
arg,2006,16.1
arg,2007,15.7
arg,2008,15.3
arg,2009,14.9
arg,2010,14.5
arg,2011,13.9
arg,2012,13.3
arg,2013,12.7
arg,2014,12.1
arg,2015,11.5
arg,2016,10.9
arg,2017,10.3
arg,2018,9.7
arg,2019,9.1
arg,2020,8.6
arm,1976,87.1
arm,1977,83.6
arm,1978,80.2
arm,1979,76.9
arm,1980,73.7
arm,1981,70.8
arm,1982,67.9
arm,1983,65.2
arm,1984,62.6
arm,1985,60.2
arm,1986,57.8
arm,1987,55.6
arm,1988,92.7
arm,1989,51.2
arm,1990,49.1
arm,1991,47
arm,1992,44.9
arm,1993,42.9
arm,1994,40.9
arm,1995,39
arm,1996,37.2
arm,1997,35.4
arm,1998,33.8
arm,1999,32.1
arm,2000,30.6
arm,2001,29.1
arm,2002,27.7
arm,2003,26.3
arm,2004,25
arm,2005,23.7
arm,2006,22.5
arm,2007,21.4
arm,2008,20.3
arm,2009,19.2
arm,2010,18.3
arm,2011,17.3
arm,2012,16.4
arm,2013,15.6
arm,2014,14.8
arm,2015,14.1
arm,2016,13.4
arm,2017,12.7
arm,2018,12.1
arm,2019,11.5
arm,2020,10.9
atg,1960,86.3
atg,1961,80.3
atg,1962,73.9
atg,1963,67.3
atg,1964,60.8
atg,1965,54.5
atg,1966,48.6
atg,1967,43.4
atg,1968,38.8
atg,1969,34.9
atg,1970,31.7
atg,1971,29
atg,1972,26.9
atg,1973,25.1
atg,1974,23.5
atg,1975,22.1
atg,1976,20.8
atg,1977,19.5
atg,1978,18.3
atg,1979,17.3
atg,1980,16.3
atg,1981,15.5
atg,1982,14.8
atg,1983,14.3
atg,1984,13.9
