geo,time,sh_h2o_smdw_ru_zs
afg,2000,8.19544
afg,2001,8.19544
afg,2002,8.95026
afg,2003,9.70508
afg,2004,10.45989
afg,2005,11.21471
afg,2006,11.96953
afg,2007,13.22172
afg,2008,14.53292
afg,2009,15.47098
afg,2010,16.29139
afg,2011,17.11181
afg,2012,17.93222
afg,2013,18.75264
afg,2014,19.57305
afg,2015,20.39347
afg,2016,21.21388
afg,2017,22.0343
afg,2018,22.85471
afg,2019,23.67512
afg,2020,24.49554
aze,2000,33.85399
aze,2001,35.99825
aze,2002,38.20183
aze,2003,40.46472
aze,2004,42.78692
aze,2005,45.16844
aze,2006,47.60928
aze,2007,50.10943
aze,2008,52.66889
aze,2009,55.28767
aze,2010,57.96576
aze,2011,60.70317
aze,2012,63.49989
aze,2013,66.35592
aze,2014,69.27128
aze,2015,72.24594
aze,2016,73.41066
aze,2017,74.57537
aze,2018,75.74009
aze,2019,76.9048
aze,2020,78.06951
bgd,2000,59.32111
bgd,2001,59.43582
bgd,2002,59.55053
bgd,2003,59.66524
bgd,2004,59.77995
bgd,2005,59.89466
bgd,2006,60.00937
bgd,2007,60.12408
bgd,2008,60.23879
bgd,2009,60.35351
bgd,2010,60.46822
bgd,2011,60.58293
bgd,2012,60.74535
bgd,2013,60.90795
bgd,2014,61.07073
bgd,2015,61.23369
bgd,2016,61.39683
bgd,2017,61.56015
bgd,2018,61.72366
bgd,2019,61.88734
bgd,2020,62.0512
bra,2000,46.97544
bra,2001,49.05126
bra,2002,50.83533
bra,2003,51.5299
bra,2004,52.22447
bra,2005,52.91903
bra,2006,53.6136
bra,2007,54.30817
bra,2008,55.00273
bra,2009,55.6973
bra,2010,56.39187
bra,2011,57.08643
bra,2012,57.781
bra,2013,59.45096
bra,2014,61.1441
bra,2015,62.86041
bra,2016,64.15227
bra,2017,66.36254
bra,2018,68.14837
bra,2019,69.95736
bra,2020,71.78953
btn,2000,21.94565
btn,2001,22.2928
btn,2002,22.63995
btn,2003,22.98711
btn,2004,23.33426
btn,2005,23.68141
btn,2006,24.02856
btn,2007,24.37572
btn,2008,24.72287
btn,2009,25.07002
btn,2010,25.41718
btn,2011,25.76433
btn,2012,26.11148
btn,2013,26.45864
btn,2014,26.80579
btn,2015,27.15294
btn,2016,27.42575
btn,2017,27.6
btn,2018,27.6
btn,2019,27.6
btn,2020,27.6
caf,2000,3.41836
caf,2001,3.35717
caf,2002,3.29648
caf,2003,3.23631
caf,2004,3.17663
caf,2005,3.11746
caf,2006,3.0588
caf,2007,3.00065
caf,2008,2.943
caf,2009,2.88585
caf,2010,2.82921
caf,2011,2.77308
caf,2012,2.71745
caf,2013,2.66233
caf,2014,2.60771
caf,2015,2.5536
caf,2016,2.49999
caf,2017,2.44689
caf,2018,2.3943
caf,2019,2.34221
caf,2020,2.29063
civ,2000,17.01563
civ,2001,16.89391
civ,2002,16.77216
civ,2003,16.6504
civ,2004,16.5286
civ,2005,16.40678
civ,2006,16.28494
civ,2007,16.16307
civ,2008,16.04118
civ,2009,15.91927
civ,2010,15.79733
civ,2011,15.67536
civ,2012,15.55337
civ,2013,15.43136
civ,2014,15.30932
civ,2015,15.18726
civ,2016,15.06518
civ,2017,14.94307
