global,time,sh_hiv_0014
world,1990,520000
world,1991,650000
world,1992,790000
world,1993,950000
world,1994,1100000
world,1995,1300000
world,1996,1500000
world,1997,1600000
world,1998,1800000
world,1999,2000000
world,2000,2100000
world,2001,2200000
world,2002,2400000
world,2003,2400000
world,2004,2500000
world,2005,2600000
world,2006,2600000
world,2007,2600000
world,2008,2600000
world,2009,2600000
world,2010,2500000
world,2011,2500000
world,2012,2400000
world,2013,2300000
world,2014,2200000
world,2015,2100000
world,2016,2100000
world,2017,2000000
world,2018,1900000
world,2019,1800000
world,2020,1700000
