global,time,sh_imm_hepb
world,1985,0
world,1986,0
world,1987,0
world,1988,0
world,1989,0
world,1990,1
world,1991,1
world,1992,3
world,1993,4
world,1994,8
world,1995,11
world,1996,13
world,1997,15
world,1998,15
world,1999,18
world,2000,30
world,2001,32
world,2002,38
world,2003,44
world,2004,49
world,2005,54
world,2006,58
world,2007,63
world,2008,69
world,2009,73
world,2010,73
world,2011,75
world,2012,80
world,2013,79
world,2014,81
world,2015,82
world,2016,84
world,2017,84
world,2018,84
world,2019,85
world,2020,83
