global,time,sh_imm_idpt
world,1980,20
world,1981,23
world,1982,25
world,1983,38
world,1984,45
world,1985,49
world,1986,52
world,1987,56
world,1988,64
world,1989,68
world,1990,75
world,1991,71
world,1992,70
world,1993,70
world,1994,73
world,1995,73
world,1996,72
world,1997,71
world,1998,72
world,1999,72
world,2000,72
world,2001,73
world,2002,73
world,2003,75
world,2004,77
world,2005,77
world,2006,79
world,2007,79
world,2008,81
world,2009,83
world,2010,84
world,2011,85
world,2012,85
world,2013,84
world,2014,84
world,2015,84
world,2016,86
world,2017,86
world,2018,86
world,2019,86
world,2020,83
