global,time,sh_imm_meas
world,1980,16
world,1981,19
world,1982,20
world,1983,37
world,1984,41
world,1985,47
world,1986,47
world,1987,54
world,1988,63
world,1989,68
world,1990,73
world,1991,69
world,1992,69
world,1993,70
world,1994,71
world,1995,73
world,1996,73
world,1997,71
world,1998,71
world,1999,71
world,2000,72
world,2001,73
world,2002,72
world,2003,74
world,2004,76
world,2005,77
world,2006,79
world,2007,80
world,2008,81
world,2009,83
world,2010,84
world,2011,85
world,2012,84
world,2013,84
world,2014,84
world,2015,85
world,2016,85
world,2017,85
world,2018,86
world,2019,86
world,2020,84
