geo,time,sh_mmr_risk
afg,2000,9
afg,2001,9
afg,2002,10
afg,2003,11
afg,2004,12
afg,2005,13
afg,2006,13
afg,2007,14
afg,2008,15
afg,2009,16
afg,2010,17
afg,2011,18
afg,2012,20
afg,2013,22
afg,2014,24
afg,2015,28
afg,2016,30
afg,2017,33
ago,2000,18
ago,2001,19
ago,2002,21
ago,2003,23
ago,2004,26
ago,2005,28
ago,2006,31
ago,2007,34
ago,2008,38
ago,2009,42
ago,2010,46
ago,2011,51
ago,2012,55
ago,2013,58
ago,2014,61
ago,2015,64
ago,2016,67
ago,2017,69
alb,2000,2000
alb,2001,2100
alb,2002,2400
alb,2003,2600
alb,2004,3200
alb,2005,2700
alb,2006,3300
alb,2007,3300
alb,2008,3200
alb,2009,3100
alb,2010,3000
alb,2011,2800
alb,2012,3500
alb,2013,3600
alb,2014,3500
alb,2015,3800
alb,2016,3700
alb,2017,3800
are,2000,5000
are,2001,5600
are,2002,6100
are,2003,6600
are,2004,7200
are,2005,7900
are,2006,8900
are,2007,9900
are,2008,10700
are,2009,11300
are,2010,12000
are,2011,12800
are,2012,13800
are,2013,14900
are,2014,16000
are,2015,17000
are,2016,17500
are,2017,17900
arg,2000,560
arg,2001,560
arg,2002,590
arg,2003,590
arg,2004,630
arg,2005,660
arg,2006,690
arg,2007,700
arg,2008,750
arg,2009,720
arg,2010,800
arg,2011,840
arg,2012,880
arg,2013,920
arg,2014,980
arg,2015,1000
arg,2016,1000
arg,2017,1100
arm,2000,1500
arm,2001,1500
arm,2002,1600
arm,2003,1600
arm,2004,1700
arm,2005,1700
arm,2006,1600
arm,2007,1800
arm,2008,1500
arm,2009,1700
arm,2010,1700
arm,2011,1700
arm,2012,1700
arm,2013,2000
arm,2014,1900
arm,2015,1900
arm,2016,2000
arm,2017,2000
atg,2000,1000
atg,2001,1000
atg,2002,1100
atg,2003,1000
atg,2004,1100
atg,2005,1200
atg,2006,1000
atg,2007,1000
atg,2008,1000
atg,2009,1100
atg,2010,1200
atg,2011,1200
atg,2012,1200
atg,2013,1200
atg,2014,1200
atg,2015,1200
atg,2016,1200
atg,2017,1200
aus,2000,8400
aus,2001,9500
aus,2002,9900
aus,2003,9900
aus,2004,10300
aus,2005,10200
aus,2006,10400
aus,2007,10100
aus,2008,10100
aus,2009,9400
aus,2010,9500
aus,2011,8900
aus,2012,9000
aus,2013,8700
aus,2014,8400
aus,2015,8200
aus,2016,8100
aus,2017,8200
aut,2000,11200
aut,2001,12200
aut,2002,12500
aut,2003,12600
aut,2004,14400
aut,2005,13700
aut,2006,14600
aut,2007,14600
aut,2008,15200
aut,2009,14200
aut,2010,14000
aut,2011,13700
aut,2012,14400
aut,2013,14200
aut,2014,13300
aut,2015,13300
aut,2016,13500
aut,2017,13500
aze,2000,1000
aze,2001,1100
aze,2002,1200
aze,2003,1200
aze,2004,1400
aze,2005,1300
aze,2006,1500
aze,2007,1500
aze,2008,1600
aze,2009,1500
aze,2010,1500
aze,2011,1500
aze,2012,1500
aze,2013,1500
aze,2014,1600
aze,2015,1600
aze,2016,1700
aze,2017,1700
bdi,2000,16
bdi,2001,17
bdi,2002,18
bdi,2003,19
bdi,2004,20
bdi,2005,21
bdi,2006,22
bdi,2007,23
bdi,2008,23
bdi,2009,25
bdi,2010,26
bdi,2011,27
bdi,2012,28
bdi,2013,29
bdi,2014,30
bdi,2015,31
bdi,2016,32
bdi,2017,33
bel,2000,7900
bel,2001,8100
bel,2002,8400
bel,2003,8600
bel,2004,8900
bel,2005,8700
bel,2006,9000
bel,2007,8300
bel,2008,8800
bel,2009,8800
bel,2010,8800
bel,2011,9100
bel,2012,10000
bel,2013,9700
bel,2014,10300
bel,2015,10600
bel,2016,10500
bel,2017,11200
ben,2000,32
ben,2001,32
ben,2002,33
ben,2003,33
ben,2004,34
ben,2005,35
ben,2006,35
ben,2007,36
ben,2008,37
ben,2009,38
ben,2010,39
ben,2011,40
ben,2012,41
ben,2013,42
ben,2014,43
ben,2015,45
ben,2016,47
ben,2017,49
bfa,2000,30
bfa,2001,31
bfa,2002,32
bfa,2003,34
bfa,2004,35
bfa,2005,37
bfa,2006,38
bfa,2007,39
bfa,2008,41
bfa,2009,42
bfa,2010,43
bfa,2011,45
bfa,2012,46
bfa,2013,48
bfa,2014,50
bfa,2015,52
bfa,2016,55
bfa,2017,57
bgd,2000,61
bgd,2001,65
bgd,2002,70
bgd,2003,75
bgd,2004,83
bgd,2005,93
bgd,2006,110
bgd,2007,120
bgd,2008,130
bgd,2009,140
bgd,2010,150
bgd,2011,160
bgd,2012,170
bgd,2013,180
bgd,2014,190
bgd,2015,210
bgd,2016,230
bgd,2017,250
bgr,2000,4500
bgr,2001,4700
bgr,2002,4900
bgr,2003,5000
bgr,2004,4800
bgr,2005,4800
bgr,2006,5000
bgr,2007,5100
bgr,2008,5400
bgr,2009,5500
bgr,2010,5400
bgr,2011,5700
bgr,2012,6400
bgr,2013,6600
bgr,2014,6300
bgr,2015,6600
bgr,2016,6700
bgr,2017,7000
bhr,2000,1200
bhr,2001,1700
bhr,2002,1300
bhr,2003,1600
bhr,2004,1700
bhr,2005,1800
bhr,2006,1600
bhr,2007,2500
bhr,2008,2300
bhr,2009,2200
bhr,2010,2400
bhr,2011,2900
bhr,2012,2400
bhr,2013,2500
bhr,2014,2800
bhr,2015,2800
bhr,2016,2900
bhr,2017,3000
bhs,2000,620
bhs,2001,650
bhs,2002,660
