geo,time,sh_sta_orth
afg,1986,26
afg,1987,11
afg,1989,11
afg,1997,33
afg,2003,29.5
afg,2011,53.3
afg,2015,46.2
afg,2018,39.9
ago,1986,5
ago,1987,12
ago,1989,12
ago,1996,34.9
ago,2016,42.6
alb,2000,23.5
alb,2005,51.8
alb,2009,54.3
alb,2018,34.5
are,1986,9
are,1987,13
are,1989,24
are,1995,39.9
arg,1986,3
arg,1987,3
arg,1989,70
arg,2012,17.5
arm,1997,33
arm,2000,33
arm,2005,24.9
arm,2010,33
arm,2016,36.9
aze,2000,10.1
aze,2006,21.1
aze,2011,11.1
aze,2013,7.5
bdi,1986,9
bdi,1987,30
bdi,1989,30
bdi,2000,11
bdi,2005,34.8
bdi,2010,37.8
bdi,2012,47.2
bdi,2016,35.6
bdi,2017,35.6
ben,1986,12
ben,1987,26
ben,1989,45
ben,1996,25.8
ben,2001,23.3
ben,2006,23.3
ben,2012,50.1
ben,2014,25.4
ben,2018,22.2
bfa,1986,9
bfa,1987,15
bfa,1989,15
bfa,1993,12
bfa,1999,14.6
bfa,2003,18.9
bfa,2006,16.5
bfa,2010,21.2
bfa,2015,39.5
bgd,1986,51
bgd,1987,26
bgd,1989,26
bgd,1994,50.3
bgd,1997,47.9
bgd,2000,61.3
bgd,2004,67.1
bgd,2006,64.4
bgd,2007,76.6
bgd,2011,77.6
bgd,2013,73
bgd,2014,77
bgd,2018,83.3
bgd,2019,72.4
bhr,1986,37
bhr,1987,53
bhr,1989,6
bhr,1995,35.5
bih,2000,13.2
bih,2006,36.3
bih,2012,36.3
blr,2005,36.4
blr,2012,45.3
blz,1986,65
blz,1987,65
blz,1989,65
blz,1991,33
blz,2006,27
blz,2011,22.8
blz,2016,55.2
bol,1986,21
bol,1987,53
bol,1989,60
bol,1994,33.4
bol,1998,30.2
bol,2000,24.6
bol,2003,28.8
bol,2004,28.8
bol,2008,34.9
bol,2012,22.3
bra,1986,40
bra,1987,40
bra,1989,45
bra,1991,27
bra,1996,43.6
brb,1986,1
brb,1987,1
brb,1989,10
brn,1986,7
btn,1986,11
btn,1987,40
btn,1989,40
btn,2010,60.9
bwa,1986,46
bwa,1987,46
bwa,1989,66
bwa,2000,48.9
bwa,2007,42.9
caf,1986,6
caf,1987,15
caf,1989,20
caf,1995,27.7
caf,1996,24
caf,2000,17.2
caf,2006,13.4
caf,2010,15.6
chl,1989,1
chn,1986,5
chn,1987,5
chn,1989,40
chn,1994,11.3
civ,1986,4
civ,1987,4
civ,1989,16
civ,1994,11.1
civ,1999,23.6
civ,2000,16.1
civ,2006,10.2
civ,2012,17.2
civ,2016,16.5
cmr,1986,1
cmr,1987,22
cmr,1989,84
cmr,1991,18
cmr,1998,21.9
cmr,2000,14.1
cmr,2004,16.8
cmr,2006,12.8
cmr,2011,17.2
cmr,2014,15.8
cmr,2018,17.9
cod,1986,18
cod,1987,10
cod,1989,40
cod,1995,17.7
cod,2001,16.8
cod,2007,30.8
cod,2010,26.6
cod,2014,39.1
cod,2018,24.1
cog,1986,2
cog,1987,2
cog,1989,13
cog,2005,18.2
cog,2012,28
cog,2015,26.9
col,1986,6
col,1987,12
col,1989,40
col,1990,31.1
col,1995,44.5
col,2000,21.2
col,2004,46.6
col,2005,46.6
col,2010,54.1
com,1986,1
com,1987,18
com,1989,79
com,1996,29.1
com,2000,18.5
com,2012,37.5
cpv,1986,9
cpv,1987,9
cpv,1989,5
cri,1986,52
cri,1987,78
cri,1989,78
cri,1994,31
cri,2011,40
cri,2018,56.3
cub,1986,20
cub,1987,70
cub,1989,75
cub,2011,51.1
cub,2014,60.9
cyp,1986,5
cyp,1987,2
cyp,1989,4
dji,1987,22
dji,1989,51
dji,2006,61.6
dji,2012,93.6
dom,1986,11
dom,1987,41
dom,1989,22
dom,1991,25.2
dom,1996,12.4
dom,1999,41.5
dom,2000,28
dom,2002,28.2
dom,2007,40.5
dom,2010,31.9
dom,2013,48
dom,2014,47.5
dza,1986,6
dza,1987,16
dza,1989,26
dza,2000,17.7
dza,2002,29.5
dza,2006,18.5
dza,2012,25.3
dza,2013,25.3
ecu,1986,11
ecu,1987,24
ecu,1989,70
ecu,1999,29.4
ecu,2012,45.8
egy,1986,61
egy,1987,83
egy,1989,83
egy,1992,28.9
egy,1993,29
egy,1995,40.2
egy,1996,40.2
egy,2000,33.7
egy,2003,28.2
egy,2005,33.5
egy,2008,28.4
egy,2014,28.4
eri,1995,32.8
eri,1996,32.8
eri,2002,44.7
eri,2010,43.4
eth,1986,11
eth,1987,23
eth,1989,32
eth,2000,13.1
eth,2005,19.9
eth,2011,26.3
eth,2016,29.5
fji,1987,16
fji,1989,16
gab,1986,7
gab,1987,7
gab,1989,10
gab,1996,24.8
gab,2000,24.8
gab,2001,24.8
gab,2012,26.1
gbm,1986,29.11993
gbm,1987,42.96843
gbm,1989,56.85265
geo,1999,25.4
geo,2005,40
geo,2018,42.4
gha,1986,3
gha,1987,36
gha,1988,33.5
gha,1989,21
gha,1993,28.5
gha,1994,28.5
gha,1998,29.2
gha,1999,29.2
gha,2003,38.6
gha,2006,28.8
gha,2008,44.5
gha,2011,35
gha,2014,48.6
gha,2018,47.8
gin,1986,1
gin,1987,1
gin,1989,63
gin,1992,24.5
gin,1999,34.5
gin,2003,40.1
gin,2005,33.1
gin,2012,34.3
gin,2016,34.3
gin,2018,54.9
gmb,1986,3
gmb,1987,3
gmb,1989,39
gmb,2000,33
gmb,2006,38.7
gmb,2010,38.9
gmb,2013,59.2
gmb,2018,43.9
gmb,2020,44.3
gnb,1986,1
gnb,1987,1
gnb,1989,5
gnb,2000,39
gnb,2006,23.4
gnb,2010,18.7
gnb,2014,35.1
gnq,1986,12
gnq,1987,21
gnq,1989,21
gnq,2000,28.9
gnq,2011,40.4
grd,1989,70
gtm,1986,5
gtm,1987,17
gtm,1989,24
gtm,1995,21.5
gtm,1999,30.4
gtm,2002,33.8
gtm,2009,37.1
gtm,2015,48.8
guy,1986,10
guy,1987,10
guy,1989,10
guy,2000,34.1
guy,2007,39
guy,2009,49.8
guy,2014,42.5
hnd,1986,40
hnd,1987,56
hnd,1989,66
hnd,1996,29.9
hnd,2006,55.7
hnd,2012,59.7
hrv,1996,4.6
hti,1986,9
hti,1987,16
hti,1989,24
hti,1995,25.7
hti,2000,34.8
hti,2006,40.3
hti,2012,52.9
hti,2017,39.3
idn,1986,20
idn,1987,72
idn,1989,39
idn,1991,43
idn,1994,45.1
idn,1997,47.7
idn,2000,43.2
idn,2003,35.5
idn,2007,34.7
idn,2012,38.8
idn,2017,36.1
ind,1986,21
ind,1987,23
ind,1989,13
ind,1993,17.5
ind,1999,26.8
ind,2006,26
ind,2014,39.3
ind,2016,50.6
irn,1986,27
irn,1987,31
irn,1989,71
irn,1995,36.9
irn,2010,61.4
irn,2011,61.38
irq,1986,31
irq,1987,51
irq,1989,70
irq,2000,26.5
irq,2006,30.7
irq,2011,22.8
irq,2018,25.4
jam,1986,6
jam,1987,6
jam,1989,15
jam,2000,24.4
jam,2005,40.3
jam,2011,64.1
jor,1986,32
jor,1987,47
jor,1989,68
jor,1990,41.4
jor,1997,24
jor,2002,18.2
jor,2007,19.8
jor,2012,20.4
jor,2018,44.4
kaz,1995,28.2
kaz,1999,32
kaz,2006,74
kaz,2011,61.8
ken,1986,23
ken,1987,26
ken,1989,80
ken,1993,31.6
ken,1998,36.9
ken,2000,39.2
ken,2003,29.2
ken,2009,71.5
ken,2014,53.8
kgz,1997,40.4
kgz,2006,20.2
kgz,2012,35.4
kgz,2014,33.4
kgz,2018,36.4
khm,1986,16
khm,1987,6
khm,1989,6
khm,2000,17.8
khm,2005,21.1
khm,2006,21.1
khm,2010,34.1
khm,2011,34.1
khm,2014,35.2
kir,1986,19
kir,1987,19
kir,1989,84
kir,2009,61.5
kir,2019,61.3
kna,1986,2
kna,1987,2
kna,1989,2
kos,2014,38.6
kwt,1986,10
kwt,1987,10
kwt,1989,3
kwt,1996,29.2
lao,1986,4
lao,1987,20
lao,1989,30
lao,2000,31.9
lao,2006,46.2
lao,2012,42.3
lao,2017,56.1
lbn,1986,4
lbn,1987,10
lbn,1989,10
lbn,2000,44.4
lbr,1986,6.5
lbr,1987,9
lbr,1989,9
lbr,2007,53.1
lbr,2013,60.4
lbr,2020,54.1
lby,1986,12
lby,1987,10
lby,1989,60
lby,1995,40.4
lca,1987,75
lca,1989,75
lka,1986,15
lka,1987,40
lka,1989,58
lka,1993,34.4
lka,2007,51.1
lka,2016,54
lso,1987,68
lso,1989,68
lso,1996,35
lso,2000,53.9
lso,2004,41.9
lso,2005,41.9
