geo,time,sh_sta_smss_ru_zs
alb,2000,38.78252
alb,2001,39.2237
alb,2002,39.66488
alb,2003,40.10606
alb,2004,40.54725
alb,2005,41.41155
alb,2006,42.27719
alb,2007,43.14417
alb,2008,44.01248
alb,2009,44.88213
alb,2010,45.7531
alb,2011,46.62542
alb,2012,47.49907
alb,2013,48.37405
alb,2014,49.25036
alb,2015,50.12801
alb,2016,51.007
alb,2017,51.88732
alb,2018,52.76897
alb,2019,53.27286
alb,2020,53.60536
and,2000,14.60404
and,2001,21.78866
and,2002,28.97328
and,2003,36.15791
and,2004,43.34253
and,2005,50.52716
and,2006,57.71178
and,2007,64.89641
and,2008,72.08103
and,2009,79.26566
and,2010,86.45028
and,2011,93.63491
and,2012,100
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
and,2019,100
and,2020,100
aut,2000,99.19979
aut,2001,99.19982
aut,2002,99.19984
aut,2003,99.19985
aut,2004,99.19985
aut,2005,99.19985
aut,2006,99.19985
aut,2007,99.19985
aut,2008,99.19985
aut,2009,99.19985
aut,2010,99.19985
aut,2011,99.19985
aut,2012,99.19985
aut,2013,99.19985
aut,2014,99.19985
aut,2015,99.19985
aut,2016,99.19985
aut,2017,99.19985
aut,2018,99.19985
aut,2019,99.19985
aut,2020,99.19985
bgd,2000,15.24151
bgd,2001,16.34643
bgd,2002,17.45135
bgd,2003,18.55627
bgd,2004,19.6612
bgd,2005,20.9288
bgd,2006,22.20477
bgd,2007,23.49692
bgd,2008,24.80622
bgd,2009,26.13268
bgd,2010,27.4763
bgd,2011,28.83708
bgd,2012,30.21502
bgd,2013,31.61012
bgd,2014,33.02237
bgd,2015,34.45179
bgd,2016,35.89836
bgd,2017,37.36209
bgd,2018,38.84298
bgd,2019,40.34103
bgd,2020,41.85623
bgr,2000,44.54264
bgr,2001,44.15346
bgr,2002,43.76428
bgr,2003,43.3751
bgr,2004,42.98593
bgr,2005,42.59675
bgr,2006,42.20757
bgr,2007,41.81839
bgr,2008,41.42921
bgr,2009,42.06379
bgr,2010,43.42905
bgr,2011,45.03944
bgr,2012,46.72041
bgr,2013,48.47197
bgr,2014,50.2941
bgr,2015,52.18682
bgr,2016,54.15011
bgr,2017,56.18399
bgr,2018,57.48763
bgr,2019,58.79126
bgr,2020,60.0949
blr,2000,73.61167
blr,2001,73.61167
blr,2002,73.61167
blr,2003,73.61167
blr,2004,72.13729
blr,2005,70.51477
blr,2006,68.9073
blr,2007,67.31494
blr,2008,65.73771
blr,2009,64.17566
blr,2010,62.62884
blr,2011,61.09728
blr,2012,59.58104
blr,2013,58.08014
blr,2014,56.59465
blr,2015,55.08058
blr,2016,53.58438
blr,2017,52.43377
blr,2018,51.28316
blr,2019,50.13255
blr,2020,48.98194
btn,2000,56.20278
btn,2001,56.20278
btn,2002,56.90991
btn,2003,57.61703
btn,2004,58.32416
btn,2005,59.03129
btn,2006,59.73842
btn,2007,60.44554
btn,2008,61.15267
btn,2009,61.64619
btn,2010,62.11653
btn,2011,62.58604
btn,2012,63.05471
btn,2013,63.52256
btn,2014,63.98957
btn,2015,64.45575
btn,2016,64.9211
btn,2017,65.38562
btn,2018,65.8493
btn,2019,66.31216
btn,2020,66.77418
caf,2000,9.32232
caf,2001,9.32048
caf,2002,9.31865
caf,2003,9.31666
caf,2004,9.31436
caf,2005,9.10127
caf,2006,8.8883
caf,2007,8.67542
caf,2008,8.46266
caf,2009,8.24999
caf,2010,8.03743
caf,2011,7.82498
caf,2012,7.61262
caf,2013,7.40038
caf,2014,7.18823
caf,2015,6.97619
caf,2016,6.76426
caf,2017,6.55243
caf,2018,6.3407
caf,2019,6.12908
caf,2020,5.91756
can,2000,77.36185
can,2001,77.36185
can,2002,77.36185
can,2003,77.80435
can,2004,78.24685
can,2005,78.66349
can,2006,79.05349
can,2007,79.44262
can,2008,79.83089
can,2009,80.21829
can,2010,80.60481
can,2011,80.99045
can,2012,81.37521
can,2013,81.75909
can,2014,82.14209
can,2015,82.52419
can,2016,82.90541
can,2017,83.28572
can,2018,83.69422
can,2019,84.1023
can,2020,84.1023
che,2000,98.82979
che,2001,98.82979
che,2002,98.82979
che,2003,98.82979
che,2004,98.82979
che,2005,98.82979
che,2006,98.82979
che,2007,98.82979
che,2008,98.82979
che,2009,98.82979
che,2010,98.82979
che,2011,98.84062
che,2012,98.85145
che,2013,98.86229
che,2014,98.87312
che,2015,98.88395
che,2016,98.89478
che,2017,98.9008
che,2018,98.9008
che,2019,98.9008
che,2020,98.94784
chn,2000,4.74913
chn,2001,4.75326
chn,2002,5.52899
chn,2003,6.49361
chn,2004,7.60306
chn,2005,8.8577
chn,2006,10.25791
chn,2007,11.80406
chn,2008,13.49652
chn,2009,15.33566
chn,2010,17.32185
chn,2011,19.45547
chn,2012,21.73689
chn,2013,24.16648
chn,2014,26.7446
chn,2015,29.47164
chn,2016,32.34797
chn,2017,35.37395
chn,2018,38.54996
chn,2019,41.87636
chn,2020,43.92951
cod,2000,23.65326
cod,2001,23.0639
cod,2002,22.47455
cod,2003,21.88519
cod,2004,21.29584
cod,2005,20.70649
cod,2006,20.03058
cod,2007,19.35974
cod,2008,18.69397
cod,2009,18.03945
cod,2010,17.38994
cod,2011,16.74545
cod,2012,16.10597
cod,2013,15.47151
cod,2014,14.84207
cod,2015,14.21765
cod,2016,13.59825
cod,2017,12.98386
cod,2018,12.37449
cod,2019,11.77013
cod,2020,11.1708
cri,2000,37.95325
cri,2001,37.87376
cri,2002,37.79428
cri,2003,37.71479
cri,2004,37.6353
cri,2005,37.55582
cri,2006,37.47633
cri,2007,37.39684
cri,2008,37.22706
cri,2009,37.132
cri,2010,37.03887
cri,2011,36.94768
cri,2012,36.85846
cri,2013,36.77121
cri,2014,36.68595
cri,2015,36.6027
cri,2016,36.52147
cri,2017,36.44227
cri,2018,36.36513
cri,2019,36.40677
cri,2020,36.57438
cub,2000,57.10506
cub,2001,57.02534
cub,2002,56.94561
cub,2003,56.86589
cub,2004,56.78617
cub,2005,56.44979
cub,2006,56.10227
cub,2007,55.74361
cub,2008,55.37381
cub,2009,54.99285
cub,2010,54.60076
cub,2011,54.24711
cub,2012,53.8906
cub,2013,53.53139
cub,2014,53.16962
cub,2015,52.80547
cub,2016,52.43909
cub,2017,52.07065
cub,2018,51.70029
cub,2019,51.32818
cub,2020,50.95448
deu,2000,90.5829
deu,2001,90.5829
deu,2002,90.5829
deu,2003,90.5829
deu,2004,90.65245
deu,2005,90.72199
deu,2006,90.79153
deu,2007,90.86108
deu,2008,90.93062
deu,2009,91.00016
deu,2010,91.06971
deu,2011,91.13925
deu,2012,91.20879
deu,2013,91.27834
deu,2014,91.34788
deu,2015,91.41742
deu,2016,91.48697
deu,2017,91.55651
deu,2018,91.62605
deu,2019,91.62605
deu,2020,91.62605
dji,2000,10.92345
dji,2001,10.92345
dji,2002,10.92345
dji,2003,10.92345
dji,2004,10.92345
dji,2005,11.57932
dji,2006,12.23679
dji,2007,12.89586
dji,2008,13.55653
dji,2009,14.21879
dji,2010,14.88266
dji,2011,15.54812
dji,2012,16.21518
dji,2013,16.88384
dji,2014,17.5541
dji,2015,18.22596
dji,2016,18.89942
dji,2017,19.57448
dji,2018,20.25114
dji,2019,20.92939
dji,2020,20.92939
dza,2000,24.39973
dza,2001,24.32334
dza,2002,24.24695
dza,2003,24.17056
dza,2004,24.09418
dza,2005,24.01779
dza,2006,23.9414
dza,2007,23.86501
dza,2008,23.78862
dza,2009,23.71223
dza,2010,23.63584
dza,2011,23.55945
dza,2012,23.44739
dza,2013,23.33557
dza,2014,23.22397
dza,2015,23.11261
dza,2016,23.00148
dza,2017,22.89058
dza,2018,22.77991
dza,2019,22.66948
dza,2020,22.55927
ecu,2000,41.82724
ecu,2001,42.6743
ecu,2002,43.52136
ecu,2003,44.36841
ecu,2004,45.21547
ecu,2005,46.13599
ecu,2006,47.05921
ecu,2007,47.98514
ecu,2008,48.91376
ecu,2009,49.84509
ecu,2010,50.77912
ecu,2011,51.71585
ecu,2012,52.65528
ecu,2013,53.59742
ecu,2014,54.54225
ecu,2015,55.48979
ecu,2016,56.44003
ecu,2017,57.39297
ecu,2018,58.34862
ecu,2019,59.30696
ecu,2020,60.26801
egy,2000,46.28912
egy,2001,46.2503
egy,2002,46.2106
egy,2003,46.17002
egy,2004,47.10949
egy,2005,48.05334
egy,2006,49.00155
egy,2007,49.95413
egy,2008,50.91108
egy,2009,51.8724
egy,2010,52.8381
egy,2011,53.80816
egy,2012,54.78258
egy,2013,55.76138
egy,2014,56.74455
egy,2015,57.73209
egy,2016,58.724
egy,2017,59.72027
egy,2018,60.72092
egy,2019,61.72593
egy,2020,62.73532
eth,2000,0.3536
eth,2001,0.59672
eth,2002,0.84013
eth,2003,1.08354
eth,2004,1.31089
eth,2005,1.53235
eth,2006,1.74792
eth,2007,1.9576
eth,2008,2.16139
eth,2009,2.35929
eth,2010,2.55129
