geo,time,sh_sta_smss_ur_zs
alb,2000,42.26806
alb,2001,42.2806
alb,2002,42.29314
alb,2003,42.30569
alb,2004,42.31823
alb,2005,42.40469
alb,2006,42.51565
alb,2007,42.62675
alb,2008,42.73798
alb,2009,42.84935
alb,2010,42.96086
alb,2011,43.0725
alb,2012,43.18428
alb,2013,43.29619
alb,2014,43.40824
alb,2015,43.52043
alb,2016,43.63275
alb,2017,43.74521
alb,2018,43.8578
alb,2019,43.97054
alb,2020,44.0834
and,2000,14.60404
and,2001,21.78866
and,2002,28.97328
and,2003,36.15791
and,2004,43.34253
and,2005,50.52716
and,2006,57.71178
and,2007,64.89641
and,2008,72.08103
and,2009,79.26566
and,2010,86.45028
and,2011,93.63491
and,2012,100
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
and,2019,100
and,2020,100
arg,2000,44.52317
arg,2001,44.66355
arg,2002,44.80415
arg,2003,44.94497
arg,2004,45.08601
arg,2005,45.22727
arg,2006,45.36875
arg,2007,45.51045
arg,2008,45.65238
arg,2009,45.79452
arg,2010,45.93689
arg,2011,46.07947
arg,2012,46.22228
arg,2013,46.36531
arg,2014,46.50856
arg,2015,46.65203
arg,2016,46.79572
arg,2017,46.81599
arg,2018,46.73459
arg,2019,46.65251
arg,2020,47.12357
arm,2000,43.93345
arm,2001,43.94032
arm,2002,43.94624
arm,2003,43.95119
arm,2004,43.95407
arm,2005,43.95597
arm,2006,45.62866
arm,2007,47.33041
arm,2008,49.06141
arm,2009,50.82185
arm,2010,52.61192
arm,2011,54.4318
arm,2012,56.28169
arm,2013,58.16177
arm,2014,60.07222
arm,2015,62.01325
arm,2016,63.89642
arm,2017,65.68484
arm,2018,67.4927
arm,2019,69.49844
arm,2020,71.35785
aut,2000,100
aut,2001,100
aut,2002,100
aut,2003,99.99727
aut,2004,99.99413
aut,2005,99.991
aut,2006,99.98786
aut,2007,99.98473
aut,2008,99.98159
aut,2009,99.97845
aut,2010,99.97532
aut,2011,99.97218
aut,2012,99.96905
aut,2013,99.96591
aut,2014,99.96278
aut,2015,99.95964
aut,2016,99.9565
aut,2017,99.95337
aut,2018,99.95337
aut,2019,99.95337
aut,2020,99.95337
aze,2000,12.06877
aze,2001,12.55833
aze,2002,13.04788
aze,2003,13.53744
aze,2004,14.02699
aze,2005,14.04995
aze,2006,13.96162
aze,2007,13.86056
aze,2008,13.75302
aze,2009,13.63902
aze,2010,13.51854
aze,2011,13.39159
aze,2012,13.25817
aze,2013,13.11828
aze,2014,12.82862
aze,2015,12.43106
aze,2016,11.7207
aze,2017,11.01035
aze,2018,10.3
aze,2019,9.58965
aze,2020,8.87929
bgd,2000,25.49803
bgd,2001,26.26748
bgd,2002,27.03692
bgd,2003,27.80637
bgd,2004,28.57582
bgd,2005,28.92367
bgd,2006,29.26624
bgd,2007,29.60355
bgd,2008,29.93558
bgd,2009,30.26234
bgd,2010,30.58383
bgd,2011,30.90005
bgd,2012,31.211
bgd,2013,31.51667
bgd,2014,31.81707
bgd,2015,32.1122
bgd,2016,32.40206
bgd,2017,32.68664
bgd,2018,32.96595
bgd,2019,33.23999
bgd,2020,33.50876
bgr,2000,53.89873
bgr,2001,53.82078
bgr,2002,53.74282
bgr,2003,53.66486
bgr,2004,53.58691
bgr,2005,53.50895
bgr,2006,53.431
bgr,2007,53.35304
bgr,2008,53.27509
bgr,2009,55.06234
bgr,2010,56.85901
bgr,2011,58.66511
bgr,2012,60.48064
bgr,2013,62.3056
bgr,2014,64.26101
bgr,2015,66.29057
bgr,2016,68.33427
bgr,2017,70.39211
bgr,2018,72.30366
bgr,2019,74.21521
bgr,2020,76.12676
bih,2000,6.45104
bih,2001,6.25821
bih,2002,6.06537
bih,2003,5.87254
bih,2004,5.67971
bih,2005,5.48595
bih,2006,5.29226
bih,2007,5.09863
bih,2008,4.90507
bih,2009,4.71157
bih,2010,6.98878
bih,2011,9.38257
bih,2012,11.78832
bih,2013,14.2771
bih,2014,16.8246
bih,2015,19.42881
bih,2016,22.03302
bih,2017,24.63723
bih,2018,27.24144
bih,2019,29.84565
bih,2020,29.84565
blr,2000,88.66877
blr,2001,88.66877
blr,2002,88.66877
blr,2003,88.66877
blr,2004,88.27281
blr,2005,87.8594
blr,2006,87.42857
blr,2007,86.98034
blr,2008,86.51473
blr,2009,86.03177
blr,2010,85.53149
blr,2011,85.01391
blr,2012,84.47905
blr,2013,83.92695
blr,2014,83.35762
blr,2015,82.149
blr,2016,80.94149
blr,2017,80.78759
blr,2018,80.63368
blr,2019,80.47978
blr,2020,80.32588
bol,2000,38.12394
bol,2001,38.81253
bol,2002,39.50111
bol,2003,40.1897
bol,2004,40.87829
bol,2005,41.56687
bol,2006,42.25546
bol,2007,43.41764
bol,2008,44.59501
bol,2009,45.78757
bol,2010,46.99531
bol,2011,48.21824
bol,2012,49.45636
bol,2013,50.70967
bol,2014,51.97817
bol,2015,53.26185
bol,2016,54.56072
bol,2017,55.87478
bol,2018,57.20403
bol,2019,58.54846
bol,2020,59.90808
bra,2000,39.0327
bra,2001,39.34517
bra,2002,39.65809
bra,2003,39.97146
bra,2004,40.28527
bra,2005,40.59953
bra,2006,40.91424
bra,2007,41.22939
bra,2008,41.545
bra,2009,41.86105
bra,2010,42.17755
bra,2011,42.49449
bra,2012,43.36076
bra,2013,44.24427
bra,2014,45.14506
bra,2015,46.06317
bra,2016,46.99864
bra,2017,47.95151
bra,2018,48.92181
bra,2019,49.90958
bra,2020,50.67438
btn,2000,79.50784
btn,2001,79.50784
btn,2002,78.52018
btn,2003,77.53252
btn,2004,76.54486
btn,2005,75.5572
btn,2006,74.56954
btn,2007,73.58188
btn,2008,72.59422
btn,2009,70.86837
btn,2010,69.13551
btn,2011,67.39563
btn,2012,65.64875
btn,2013,63.89485
btn,2014,62.13394
btn,2015,60.36602
btn,2016,59.81417
btn,2017,60.63008
btn,2018,61.4486
btn,2019,62.26974
btn,2020,63.09349
caf,2000,36.8298
caf,2001,36.65428
caf,2002,36.47877
caf,2003,36.30325
caf,2004,36.12774
caf,2005,35.33976
caf,2006,34.5569
caf,2007,33.77913
caf,2008,33.00646
caf,2009,32.23889
caf,2010,31.47642
caf,2011,30.71906
caf,2012,29.96679
caf,2013,29.21962
caf,2014,28.47756
caf,2015,27.74059
caf,2016,27.00873
caf,2017,26.28197
caf,2018,25.56031
caf,2019,24.84374
caf,2020,24.13228
can,2000,77.62994
can,2001,77.62994
can,2002,77.62994
can,2003,78.085
can,2004,78.54007
can,2005,78.94091
can,2006,79.33674
can,2007,79.73188
can,2008,80.12633
can,2009,80.5201
can,2010,80.91318
can,2011,81.30558
can,2012,81.6973
can,2013,82.08834
can,2014,82.4787
can,2015,82.86838
can,2016,83.25739
can,2017,83.64571
can,2018,84.03748
can,2019,84.42855
can,2020,84.42855
che,2000,99.8999
che,2001,99.8999
che,2002,99.8999
che,2003,99.8999
che,2004,99.8999
che,2005,99.8999
che,2006,99.8999
che,2007,99.8999
che,2008,99.8999
che,2009,99.8999
che,2010,99.8999
che,2011,99.8999
che,2012,99.8999
che,2013,99.8999
che,2014,99.8999
che,2015,99.8999
che,2016,99.8999
che,2017,99.8999
che,2018,99.8999
che,2019,99.8999
che,2020,99.8999
chl,2000,52.95582
chl,2001,53.09759
chl,2002,53.23935
chl,2003,53.38112
chl,2004,54.98816
chl,2005,56.6053
chl,2006,58.23252
chl,2007,59.86984
chl,2008,61.51724
chl,2009,63.17474
chl,2010,64.84233
chl,2011,66.52001
chl,2012,68.20778
chl,2013,69.90564
chl,2014,71.6136
chl,2015,73.29804
chl,2016,74.92137
chl,2017,76.61439
chl,2018,78.15307
chl,2019,79.81353
chl,2020,81.35026
chn,2000,27.74213
chn,2001,27.96306
chn,2002,28.20521
chn,2003,31.2492
chn,2004,34.32978
chn,2005,37.4471
chn,2006,40.60135
chn,2007,43.79267
chn,2008,47.02123
chn,2009,50.28721
chn,2010,53.59075
chn,2011,56.93202
chn,2012,60.31119
chn,2013,63.72842
chn,2014,67.18387
chn,2015,70.67771
chn,2016,74.2101
chn,2017,77.7812
chn,2018,81.39118
chn,2019,85.0402
chn,2020,85.61645
cod,2000,19.65818
cod,2001,19.58652
cod,2002,19.51486
cod,2003,19.4432
cod,2004,19.37154
cod,2005,19.29987
cod,2006,19.10817
cod,2007,18.91735
cod,2008,18.72744
cod,2009,18.35765
cod,2010,17.99108
cod,2011,17.62771
cod,2012,17.26755
cod,2013,16.91061
cod,2014,16.55687
cod,2015,16.20634
cod,2016,15.85903
cod,2017,15.51492
cod,2018,15.17402
cod,2019,14.83633
cod,2020,14.50186
col,2000,14.23357
col,2001,14.35095
col,2002,14.46841
col,2003,14.58597
col,2004,14.70362
col,2005,14.82136
col,2006,14.9392
col,2007,15.05712
col,2008,15.17515
col,2009,15.29326
col,2010,15.41147
col,2011,15.52976
col,2012,15.64816
col,2013,15.76664
col,2014,15.88522
col,2015,16.00389
col,2016,16.12265
col,2017,16.24151
col,2018,16.36046
col,2019,16.4795
col,2020,16.59863
cri,2000,39.47351
cri,2001,39.12003
cri,2002,38.76656
cri,2003,38.41308
cri,2004,38.0596
cri,2005,37.70612
cri,2006,37.35265
cri,2007,36.99917
cri,2008,36.08637
cri,2009,35.21145
cri,2010,34.36614
cri,2011,33.55043
cri,2012,32.76435
cri,2013,32.04989
cri,2014,31.37165
cri,2015,30.72313
cri,2016,30.10435
cri,2017,29.51532
cri,2018,28.95606
cri,2019,28.82204
cri,2020,28.68796
cub,2000,34.88242
cub,2001,34.78807
cub,2002,34.69371
cub,2003,34.59935
cub,2004,34.505
cub,2005,34.23806
cub,2006,33.96912
cub,2007,33.69818
cub,2008,33.42524
cub,2009,33.1503
cub,2010,32.87336
cub,2011,32.79717
cub,2012,32.72742
cub,2013,32.66414
cub,2014,32.60741
cub,2015,32.55728
cub,2016,32.51382
cub,2017,32.47707
cub,2018,32.44711
cub,2019,32.42399
cub,2020,32.40777
cyp,2000,86.34214
cyp,2001,86.34214
cyp,2002,86.34214
cyp,2003,86.34071
cyp,2004,86.33929
cyp,2005,86.33786
