geo,time,sh_sta_stnt_me_zs
afg,2000,54.6
afg,2001,54.4
afg,2002,54
afg,2003,53.5
afg,2004,52.9
afg,2005,52.2
afg,2006,51.4
afg,2007,50.4
afg,2008,49.5
afg,2009,48.4
afg,2010,47.2
afg,2011,46
afg,2012,44.7
afg,2013,43.4
afg,2014,42.1
afg,2015,41.1
afg,2016,39.9
afg,2017,38.6
afg,2018,37.4
afg,2019,36.3
afg,2020,35.1
ago,2000,47.8
ago,2001,45.1
ago,2002,42.4
ago,2003,39.9
ago,2004,37.7
ago,2005,35.8
ago,2006,34.2
ago,2007,33.1
ago,2008,32.3
ago,2009,32
ago,2010,31.9
ago,2011,32
ago,2012,32.4
ago,2013,32.9
ago,2014,33.6
ago,2015,34.4
ago,2016,35.2
ago,2017,36.1
ago,2018,36.8
ago,2019,37.4
ago,2020,37.7
alb,2000,29.7
alb,2001,30
alb,2002,29.9
alb,2003,29.5
alb,2004,28.7
alb,2005,27.5
alb,2006,26.2
alb,2007,24.7
alb,2008,23.1
alb,2009,21.7
alb,2010,20.3
alb,2011,18.9
alb,2012,17.6
alb,2013,16.5
alb,2014,15.4
alb,2015,14.3
alb,2016,13.3
alb,2017,12.4
alb,2018,11.4
alb,2019,10.4
alb,2020,9.6
arg,2000,10.5
arg,2001,10.3
arg,2002,10
arg,2003,9.7
arg,2004,9.4
arg,2005,9
arg,2006,8.7
arg,2007,8.5
arg,2008,8.3
arg,2009,8.2
arg,2010,8
arg,2011,7.9
arg,2012,7.8
arg,2013,7.8
arg,2014,7.8
arg,2015,7.8
arg,2016,7.8
arg,2017,7.7
arg,2018,7.7
arg,2019,7.7
arg,2020,7.8
arm,2000,17.7
arm,2001,18.5
arm,2002,19
arm,2003,19.3
arm,2004,19.4
arm,2005,19.3
arm,2006,19
arm,2007,18.2
arm,2008,17.3
arm,2009,16.5
arm,2010,15.6
arm,2011,14.7
arm,2012,14
arm,2013,13.3
arm,2014,12.6
arm,2015,12
arm,2016,11.2
arm,2017,10.6
arm,2018,10
arm,2019,9.5
arm,2020,9.1
aus,2000,1.3
aus,2001,1.3
aus,2002,1.4
aus,2003,1.5
aus,2004,1.5
aus,2005,1.6
aus,2006,1.7
aus,2007,1.8
aus,2008,1.9
aus,2009,1.9
aus,2010,2
aus,2011,2
aus,2012,2.1
aus,2013,2.1
aus,2014,2.1
aus,2015,2.1
aus,2016,2.1
aus,2017,2.1
aus,2018,2.1
aus,2019,2.1
aus,2020,2.1
aze,2000,24.3
aze,2001,24.3
aze,2002,24.2
aze,2003,24
aze,2004,23.7
aze,2005,23.1
aze,2006,22.2
aze,2007,21.2
aze,2008,20.2
aze,2009,19.3
aze,2010,18.4
aze,2011,17.7
aze,2012,17.2
aze,2013,16.9
aze,2014,16.6
aze,2015,16.5
aze,2016,16.4
aze,2017,16.4
aze,2018,16.3
aze,2019,16.3
aze,2020,16.3
bdi,2000,62.3
bdi,2001,62
bdi,2002,61.6
bdi,2003,61.2
bdi,2004,60.8
bdi,2005,60.4
bdi,2006,59.8
bdi,2007,59.2
bdi,2008,58.5
bdi,2009,57.9
bdi,2010,57.4
bdi,2011,57
bdi,2012,56.8
bdi,2013,56.6
bdi,2014,56.4
bdi,2015,56.3
bdi,2016,56.3
bdi,2017,56.5
bdi,2018,56.8
bdi,2019,57.2
bdi,2020,57.6
bel,2000,4
bel,2001,3.9
bel,2002,3.8
bel,2003,3.6
bel,2004,3.5
bel,2005,3.4
bel,2006,3.2
bel,2007,3.1
bel,2008,3
bel,2009,2.9
bel,2010,2.8
bel,2011,2.7
bel,2012,2.7
bel,2013,2.6
bel,2014,2.5
bel,2015,2.5
bel,2016,2.5
bel,2017,2.4
bel,2018,2.4
bel,2019,2.4
bel,2020,2.3
ben,2000,36.8
ben,2001,36.4
ben,2002,36.1
ben,2003,36
ben,2004,36.1
ben,2005,36.1
ben,2006,36.1
ben,2007,35.9
ben,2008,35.6
ben,2009,35.1
ben,2010,34.6
ben,2011,34.1
ben,2012,33.8
ben,2013,33.5
ben,2014,33.3
ben,2015,33.2
ben,2016,32.9
ben,2017,32.7
ben,2018,32.4
ben,2019,31.9
ben,2020,31.3
bfa,2000,41.5
bfa,2001,41.8
bfa,2002,42.1
bfa,2003,42.3
bfa,2004,42.2
bfa,2005,42
bfa,2006,41.5
bfa,2007,40.7
bfa,2008,39.7
bfa,2009,38.5
bfa,2010,37.1
bfa,2011,35.5
bfa,2012,33.9
bfa,2013,32.2
bfa,2014,30.7
bfa,2015,29.3
bfa,2016,28.3
bfa,2017,27.4
bfa,2018,26.7
