geo,time,sh_xpd_chex_gd_zs
afg,2002,9.44339
afg,2003,8.94126
afg,2004,9.80847
afg,2005,9.94829
afg,2006,10.62277
afg,2007,9.90467
afg,2008,10.2565
afg,2009,9.81849
afg,2010,8.56967
afg,2011,8.56191
afg,2012,7.89718
afg,2013,8.80594
afg,2014,9.52887
afg,2015,10.10535
afg,2016,11.81856
afg,2017,12.62082
afg,2018,14.12674
afg,2019,13.2422
ago,2000,1.9086
ago,2001,4.48352
ago,2002,3.32946
ago,2003,3.54797
ago,2004,3.9672
ago,2005,2.8522
ago,2006,2.68554
ago,2007,2.97439
ago,2008,3.3229
ago,2009,3.84261
ago,2010,2.6951
ago,2011,2.64561
ago,2012,2.39575
ago,2013,2.73283
ago,2014,2.43413
ago,2015,2.60579
ago,2016,2.71315
ago,2017,2.7915
ago,2018,2.5401
ago,2019,2.53336
alb,2000,7.23337
alb,2001,7.13952
alb,2002,6.90934
alb,2003,7.06349
alb,2004,6.77337
alb,2005,6.33554
alb,2006,6.00928
alb,2007,6.31683
alb,2008,5.13906
alb,2009,4.60223
alb,2010,4.7458
alb,2011,4.79534
alb,2012,5.05527
alb,2013,5.38561
alb,2014,5.50347
alb,2015,4.89631
alb,2016,4.91602
alb,2017,5.01264
alb,2018,5.23207
and,2000,5.96051
and,2001,5.86594
and,2002,6.0984
and,2003,5.63992
and,2004,5.38125
and,2005,5.73989
and,2006,5.0645
and,2007,5.02832
and,2008,5.78569
and,2009,6.23958
and,2010,6.58006
and,2011,6.08634
and,2012,6.12628
and,2013,6.15503
and,2014,6.13151
and,2015,6.28353
and,2016,6.30526
and,2017,6.58946
and,2018,6.75163
and,2019,6.71159
are,2000,2.37414
are,2001,2.48437
are,2002,2.71771
are,2003,2.64634
are,2004,2.46204
are,2005,2.3202
are,2006,2.32541
are,2007,2.5657
are,2008,2.92848
are,2009,4.04999
are,2010,3.87875
are,2011,3.67007
are,2012,3.4252
are,2013,3.593
are,2014,3.63021
are,2015,3.58359
are,2016,3.46602
are,2017,4.05959
are,2018,4.14546
are,2019,4.27505
arg,2000,8.22001
arg,2001,8.3718
arg,2002,7.39331
arg,2003,6.89452
arg,2004,7.22868
arg,2005,7.61079
arg,2006,7.64033
arg,2007,7.83455
arg,2008,8.18267
arg,2009,9.45599
arg,2010,9.44547
arg,2011,9.41822
arg,2012,9.82728
arg,2013,9.78097
arg,2014,9.67129
arg,2015,10.22934
arg,2016,9.0019
arg,2017,10.44226
arg,2018,9.66646
arg,2019,9.51007
arm,2000,4.1958
arm,2001,4.64563
arm,2002,7.6136
arm,2003,7.17938
arm,2004,6.05509
arm,2005,5.86188
arm,2006,5.85007
arm,2007,5.49815
arm,2008,6.63976
arm,2009,8.44378
arm,2010,9.23539
arm,2011,9.37588
arm,2012,9.13455
arm,2013,10.32345
arm,2014,10.17827
arm,2015,10.11763
arm,2016,9.95197
arm,2017,10.36271
arm,2018,10.00543
arm,2019,11.33526
atg,2000,4.69438
atg,2001,5.43588
atg,2002,5.28794
atg,2003,5.58627
atg,2004,5.11668
atg,2005,4.99456
atg,2006,4.63347
atg,2007,4.44986
atg,2008,4.20482
atg,2009,4.19123
atg,2010,5.37907
atg,2011,5.44257
atg,2012,5.47921
atg,2013,5.50909
atg,2014,5.8727
atg,2015,5.27966
atg,2016,5.1219
atg,2017,4.87494
atg,2018,4.85093
atg,2019,4.44296
aus,2000,7.61383
aus,2001,7.69623
aus,2002,7.89332
aus,2003,7.9045
aus,2004,8.10949
aus,2005,7.99008
aus,2006,7.98944
aus,2007,8.06755
aus,2008,8.25586
aus,2009,8.56316
aus,2010,8.43084
aus,2011,8.54154
aus,2012,8.67565
aus,2013,8.76116
aus,2014,9.03597
aus,2015,9.32759
aus,2016,9.24815
aus,2017,9.26682
aus,2018,9.155
aus,2019,9.91079
aut,2000,9.20371
aut,2001,9.26943
aut,2002,9.39476
aut,2003,9.54724
aut,2004,9.7094
aut,2005,9.62703
aut,2006,9.53113
aut,2007,9.5321
aut,2008,9.72565
aut,2009,10.22583
aut,2010,10.22102
aut,2011,10.02613
aut,2012,10.19916
aut,2013,10.28575
aut,2014,10.36809
aut,2015,10.36747
aut,2016,10.35226
aut,2017,10.38461
aut,2018,10.31751
aut,2019,10.43403
aze,2000,2.94894
aze,2001,2.75591
aze,2002,2.73279
aze,2003,2.73471
aze,2004,2.6653
aze,2005,2.26108
aze,2006,2.06678
aze,2007,1.99021
aze,2008,1.93881
aze,2009,2.61378
aze,2010,2.48997
aze,2011,2.44642
aze,2012,2.96482
aze,2013,3.03672
aze,2014,3.37714
aze,2015,4.10664
aze,2016,4.03655
aze,2017,3.73651
aze,2018,3.55621
aze,2019,4.03829
bdi,2000,6.17697
bdi,2001,6.40484
bdi,2002,6.47216
bdi,2003,6.31328
bdi,2004,7.70104
bdi,2005,8.42371
bdi,2006,9.94232
bdi,2007,10.58082
bdi,2008,9.23542
bdi,2009,10.35022
bdi,2010,11.27638
bdi,2011,10.06998
bdi,2012,8.52668
bdi,2013,8.53728
bdi,2014,7.31549
bdi,2015,6.42883
bdi,2016,7.71921
bdi,2017,7.90302
bdi,2018,8.24477
bdi,2019,7.99091
bel,2000,7.99918
bel,2001,8.14989
bel,2002,8.31821
bel,2003,9.20823
bel,2004,9.36722
bel,2005,9.26114
bel,2006,9.16103
bel,2007,9.16611
bel,2008,9.63002
bel,2009,10.35455
bel,2010,10.23325
bel,2011,10.39208
bel,2012,10.50651
bel,2013,10.56134
bel,2014,10.59411
bel,2015,10.43065
bel,2016,10.7732
bel,2017,10.78313
bel,2018,10.7647
bel,2019,10.65605
ben,2000,3.1027
ben,2001,3.2491
ben,2002,3.04335
ben,2003,3.03765
ben,2004,3.07606
ben,2005,2.93478
ben,2006,2.97331
ben,2007,2.89382
ben,2008,2.69675
ben,2009,2.82528
ben,2010,2.9971
ben,2011,3.09628
ben,2012,3.4145
ben,2013,2.85861
ben,2014,2.66744
ben,2015,2.90742
ben,2016,2.7395
ben,2017,2.61911
ben,2018,2.50416
ben,2019,2.38843
bfa,2000,2.95026
bfa,2001,2.88835
bfa,2002,2.97113
bfa,2003,3.14307
bfa,2004,4.21721
bfa,2005,3.95109
bfa,2006,4.51446
bfa,2007,5.23373
bfa,2008,4.64781
bfa,2009,5.08159
bfa,2010,5.23959
bfa,2011,4.64868
bfa,2012,4.60267
bfa,2013,5.56331
bfa,2014,5.00027
bfa,2015,5.13192
bfa,2016,5.95963
bfa,2017,6.02941
bfa,2018,4.90989
bfa,2019,5.46494
bgd,2000,2.07144
bgd,2001,2.06375
bgd,2002,2.25973
bgd,2003,2.30959
bgd,2004,2.3395
bgd,2005,2.41364
bgd,2006,2.4844
bgd,2007,2.55898
bgd,2008,2.48848
bgd,2009,2.56098
bgd,2010,2.68101
bgd,2011,2.76118
bgd,2012,2.74823
bgd,2013,2.65447
bgd,2014,2.65588
bgd,2015,2.63947
bgd,2016,2.47291
bgd,2017,2.4318
bgd,2018,2.50803
bgd,2019,2.48358
bgr,2000,5.82971
bgr,2001,6.85959
bgr,2002,7.08099
bgr,2003,7.19987
bgr,2004,6.89091
bgr,2005,6.89011
bgr,2006,6.52545
bgr,2007,6.16036
bgr,2008,6.28771
bgr,2009,6.59578
bgr,2010,7.13801
bgr,2011,7.13881
bgr,2012,7.57609
bgr,2013,7.16769
bgr,2014,7.70713
bgr,2015,7.41094
bgr,2016,7.47691
bgr,2017,7.52063
bgr,2018,7.34342
