geo,time,sh_xpd_chex_pp_cd
afg,2002,81.27103
afg,2003,82.45785
afg,2004,89.47005
afg,2005,100.70699
afg,2006,113.7541
afg,2007,107.17704
afg,2008,131.14537
afg,2009,148.12166
afg,2010,143.66949
afg,2011,143.09152
afg,2012,151.91798
afg,2013,174.05948
afg,2014,198.2941
afg,2015,211.5873
afg,2016,234.14021
afg,2017,259.78683
afg,2018,294.30911
afg,2019,285.55814
ago,2000,62.69587
ago,2001,151.74704
ago,2002,126.02512
ago,2003,136.1994
ago,2004,167.63263
ago,2005,137.98094
ago,2006,143.99896
ago,2007,179.96881
ago,2008,219.55394
ago,2009,248.64264
ago,2010,177.55281
ago,2011,177.54013
ago,2012,177.59608
ago,2013,209.94879
ago,2014,199.09459
ago,2015,191.202
ago,2016,192.72113
ago,2017,204.08374
ago,2018,188.50548
ago,2019,178.02606
alb,2000,275.79718
alb,2001,300.2757
alb,2002,314.32544
alb,2003,343.94418
alb,2004,358.11136
alb,2005,362.53198
alb,2006,385.00952
alb,2007,449.82941
alb,2008,415.06366
alb,2009,399.6788
alb,2010,451.88205
alb,2011,485.5835
alb,2012,529.6322
alb,2013,567.6048
alb,2014,618.1142
alb,2015,568.9184
alb,2016,591.66962
alb,2017,639.82349
alb,2018,726.98248
and,2000,1936.80212
and,2001,2034.90259
and,2002,2225.17334
and,2003,2150.15894
and,2004,2165.2688
and,2005,2433.20728
and,2006,2328.08789
and,2007,2405.69849
and,2008,2672.67603
and,2009,2751.87988
and,2010,2816.19165
and,2011,2631.67383
and,2012,2712.64746
and,2013,2755.26489
and,2014,2888.26172
and,2015,3096.1731
and,2016,3065.61548
and,2017,3319.40503
and,2018,3607.00098
and,2019,3716.26611
are,2000,2325.354
are,2001,2402.94775
are,2002,2596.76953
are,2003,2626.18774
are,2004,2508.12109
are,2005,2266.13721
are,2006,2224.91602
are,2007,2234.76465
are,2008,2334.9021
are,2009,2760.7373
are,2010,2516.59229
are,2011,2484.13818
are,2012,2366.89502
are,2013,2528.54224
are,2014,2672.52563
are,2015,2325.81714
are,2016,2217.17358
are,2017,2727.39014
are,2018,2843.77686
are,2019,2996.36328
arg,2000,1067.82861
arg,2001,1050.86182
arg,2002,830.96198
arg,2003,849.87982
arg,2004,882.96454
arg,2005,1032.68982
arg,2006,1142.3606
arg,2007,1298.18567
arg,2008,1424.12219
arg,2009,1544.61194
arg,2010,1701.55762
arg,2011,1817.20679
arg,2012,1929.19482
arg,2013,1969.39734
arg,2014,1905.10474
arg,2015,2059.32861
arg,2016,1831.53528
arg,2017,2470.10986
arg,2018,2260.39575
arg,2019,2198.88037
arm,2000,111.53931
