geo,time,sh_xpd_ghed_ch_zs
afg,2002,0.89142
afg,2003,7.28044
afg,2004,5.53527
afg,2005,5.31935
afg,2006,4.68654
afg,2007,5.65337
afg,2008,6.121
afg,2009,5.41737
afg,2010,5.47462
afg,2011,5.60623
afg,2012,4.34189
afg,2013,5.03476
afg,2014,4.96026
afg,2015,5.17224
afg,2016,5.07785
afg,2017,5.09582
afg,2018,3.8878
afg,2019,8.1892
ago,2000,58.20957
ago,2001,45.64084
ago,2002,39.30446
ago,2003,41.308
ago,2004,42.51448
ago,2005,44.83417
ago,2006,53.77399
ago,2007,57.89379
ago,2008,64.35443
ago,2009,67.67429
ago,2010,62.11628
ago,2011,64.75706
ago,2012,65.25455
ago,2013,62.0298
ago,2014,54.15326
ago,2015,47.36523
ago,2016,44.13826
ago,2017,46.27865
ago,2018,42.07642
ago,2019,41.22382
alb,2000,38.23709
alb,2001,38.56386
alb,2002,37.46623
alb,2003,37.80501
alb,2004,41.64583
alb,2005,42.06929
alb,2006,42.58933
alb,2007,38.55909
alb,2008,44.1959
alb,2009,50.80281
alb,2010,50.123
alb,2011,49.33046
alb,2012,48.56696
alb,2013,47.86377
alb,2014,47.12691
alb,2015,55.78379
alb,2016,57.03205
alb,2017,53.36657
alb,2018,53.9938
and,2000,65.43889
and,2001,65.08621
and,2002,66.74998
and,2003,64.51071
and,2004,62.59927
and,2005,65.03299
and,2006,60.58561
and,2007,60.39723
and,2008,65.68434
and,2009,68.47375
and,2010,69.49567
and,2011,66.79932
and,2012,66.42776
and,2013,66.89189
and,2014,68.21192
and,2015,68.98734
and,2016,69.09091
and,2017,69.71429
and,2018,67.93478
and,2019,69.48704
are,2000,68.83046
are,2001,77.0104
are,2002,61.22886
are,2003,61.27508
are,2004,57.10731
are,2005,56.84106
are,2006,57.30421
are,2007,58.6737
are,2008,63.91039
are,2009,73.68283
are,2010,70.85416
are,2011,72.42097
are,2012,72.54479
are,2013,71.97174
are,2014,70.97638
are,2015,71.25105
are,2016,72.12788
are,2017,54.81139
are,2018,51.57846
are,2019,52.29784
arg,2000,54.7317
arg,2001,54.85204
arg,2002,54.55614
arg,2003,54.71241
arg,2004,51.79898
arg,2005,51.4191
arg,2006,52.60231
arg,2007,54.30964
arg,2008,55.09855
arg,2009,59.96014
arg,2010,58.95256
arg,2011,60.32123
arg,2012,62.42687
arg,2013,63.59714
arg,2014,65.42355
arg,2015,66.71374
arg,2016,62.1112
arg,2017,63.19857
arg,2018,61.40615
arg,2019,62.36081
arm,2000,22.75322
arm,2001,28.82457
arm,2002,15.39144
arm,2003,16.80313
arm,2004,21.37231
arm,2005,25.22076
arm,2006,27.11775
arm,2007,29.3534
arm,2008,22.41244
arm,2009,21.45593
arm,2010,18.259
arm,2011,17.84222
arm,2012,17.27693
arm,2013,13.32556
arm,2014,14.79111
arm,2015,15.91488
arm,2016,16.45247
arm,2017,13.24467
arm,2018,12.34011
arm,2019,12.40508
atg,2000,57.84612
atg,2001,59.07861
atg,2002,58.43794
atg,2003,59.90863
atg,2004,58.0332
atg,2005,55.62261
atg,2006,52.95464
atg,2007,51.33233
atg,2008,50.7641
atg,2009,54.89454
atg,2010,58.31644
atg,2011,56.94827
atg,2012,56.29527
atg,2013,56.08193
atg,2014,59.15979
atg,2015,59.78766
atg,2016,55.84991
atg,2017,56.16209
atg,2018,60.07439
atg,2019,58.43976
aus,2000,71.83632
aus,2001,71.10847
aus,2002,71.93769
aus,2003,71.34126
aus,2004,71.68711
aus,2005,71.83749
aus,2006,71.66632
aus,2007,72.9062
aus,2008,72.32992
aus,2009,73.01054
aus,2010,72.35728
aus,2011,73.26029
aus,2012,71.23466
aus,2013,67.7656
aus,2014,67.51346
aus,2015,68.43889
aus,2016,68.53295
aus,2017,68.69087
aus,2018,68.78314
aus,2019,71.68196
aut,2000,74.16341
aut,2001,73.64529
aut,2002,73.43814
aut,2003,73.13827
aut,2004,72.05495
aut,2005,72.65169
aut,2006,72.85014
aut,2007,72.79901
aut,2008,73.7876
aut,2009,72.84671
aut,2010,72.39571
aut,2011,72.68903
aut,2012,72.87378
aut,2013,72.16906
aut,2014,72.51709
aut,2015,72.45602
aut,2016,72.35967
aut,2017,71.70004
aut,2018,72.58782
aut,2019,73.00772
aze,2000,29.39672
aze,2001,28.66816
aze,2002,26.87609
aze,2003,28.48566
aze,2004,32.42845
aze,2005,40.59416
aze,2006,41.9046
aze,2007,45.5675
aze,2008,44.55004
aze,2009,43.2602
aze,2010,40.59404
aze,2011,38.74685
aze,2012,37.56232
aze,2013,35.00721
aze,2014,33.4005
aze,2015,31.71984
aze,2016,28.82155
aze,2017,26.81677
aze,2018,26.11437
aze,2019,31.73549
bdi,2000,23.7183
bdi,2001,26.42441
bdi,2002,23.72472
bdi,2003,21.46399
bdi,2004,30.75167
bdi,2005,24.48413
bdi,2006,23.7773
bdi,2007,23.28587
bdi,2008,16.88206
bdi,2009,20.10342
bdi,2010,17.60574
bdi,2011,34.4696
bdi,2012,31.30749
bdi,2013,18.04871
bdi,2014,38.09447
bdi,2015,37.63589
bdi,2016,24.77156
bdi,2017,25.82352
bdi,2018,27.76355
bdi,2019,33.37875
bel,2000,74.53091
bel,2001,75.33213
bel,2002,73.72327
bel,2003,73.76642
bel,2004,74.68391
bel,2005,74.48225
bel,2006,74.31139
bel,2007,73.9225
bel,2008,75.48978
bel,2009,76.05449
bel,2010,76.02929
bel,2011,76.10446
bel,2012,76.55556
bel,2013,76.11443
bel,2014,76.32601
bel,2015,75.90756
bel,2016,77.23086
bel,2017,77.31998
bel,2018,76.82448
bel,2019,76.77693
ben,2000,26.01166
ben,2001,28.5347
ben,2002,23.84386
ben,2003,21.88357
ben,2004,23.78564
ben,2005,23.26778
ben,2006,24.19742
ben,2007,20.59367
ben,2008,20.87326
ben,2009,26.45173
ben,2010,24.17092
ben,2011,25.70649
ben,2012,21.86915
ben,2013,26.7482
ben,2014,21.56858
ben,2015,20.13638
ben,2016,20.98594
ben,2017,31.09479
