geo,time,sh_xpd_ghed_pc_cd
afg,2002,0.14087
afg,2003,1.24028
afg,2004,1.1299
afg,2005,1.27082
afg,2006,1.30457
afg,2007,1.76791
afg,2008,2.33226
afg,2009,2.26027
afg,2010,2.46306
afg,2011,2.85096
afg,2012,2.23348
afg,2013,2.77086
afg,2014,2.927
afg,2015,3.04679
afg,2016,3.05629
afg,2017,3.34826
afg,2018,2.72141
afg,2019,5.38899
ago,2000,7.56664
ago,2001,13.19847
ago,2002,11.4177
ago,2003,14.40624
ago,2004,21.17677
ago,2005,24.32737
ago,2006,37.54086
ago,2007,53.76035
ago,2008,87.26835
ago,2009,81.20664
ago,2010,60.06459
ago,2011,79.07306
ago,2012,79.73165
ago,2013,89.07905
ago,2014,71.2915
ago,2015,51.43056
ago,2016,41.9865
ago,2017,52.91252
ago,2018,36.73723
ago,2019,29.4033
alb,2000,30.82558
alb,2001,34.54579
alb,2002,36.06915
alb,2003,47.62977
alb,2004,65.20412
alb,2005,69.52597
alb,2006,74.33125
alb,2007,85.71828
alb,2008,97.43618
alb,2009,94.71818
alb,2010,96.23779
alb,2011,104.12453
alb,2012,103.79718
alb,2013,113.41702
alb,2014,118.45739
alb,2015,107.59863
alb,2016,115.21235
alb,2017,120.75824
alb,2018,148.43657
and,2000,852.4205
and,2001,877.02698
and,2002,1020.44077
and,2003,1174.12192
and,2004,1279.09218
and,2005,1495.56598
and,2006,1309.37946
and,2007,1451.70741
and,2008,1851.5133
and,2009,1858.54867
and,2010,1866.29221
and,2011,1759.51587
and,2012,1574.37586
and,2013,1627.3345
and,2014,1725.14076
and,2015,1549.63119
and,2016,1631.38666
and,2017,1789.86121
and,2018,1916.98456
and,2019,1906.85943
are,2000,541.71029
are,2001,598.47137
are,2002,525.28966
are,2003,543.20437
are,2004,510.84798
are,2005,519.16126
are,2006,558.44142
are,2007,629.3959
are,2008,832.84234
are,2009,955.6499
are,2010,931.47001
are,2011,1041.75551
are,2012,1018.18421
are,2013,1096.7656
are,2014,1127.30539
are,2015,987.21031
are,2016,953.53372
are,2017,904.39817
are,2018,937.35993
are,2019,963.68928
arg,2000,387.92161
arg,2001,370.28302
arg,2002,122.12314
arg,2003,143.50332
arg,2004,161.42893
arg,2005,201.86563
arg,2006,239.76034
arg,2007,310.67294
arg,2008,411.30692
arg,2009,471.089
arg,2010,580.70292
arg,2011,728.91669
arg,2012,854.26358
arg,2013,904.13348
arg,2014,841.4892
arg,2015,1021.71045
arg,2016,716.47383
arg,2017,966.72964
arg,2018,692.61743
arg,2019,589.92823
arm,2000,5.94521
arm,2001,9.29862
arm,2002,9.17828
arm,2003,11.2208
arm,2004,15.42477
arm,2005,24.30143
arm,2006,34.23696
arm,2007,50.66452
arm,2008,59.68692
arm,2009,54.24823
arm,2010,54.27105
