global,time,si_pov_lmic_gp
world,1981,31.6
world,1982,31
world,1983,30.3
world,1984,29
world,1985,28.1
world,1986,27.3
world,1987,26.7
world,1988,25.6
world,1989,27.3
world,1990,26.9
world,1991,26.8
world,1992,26.3
world,1993,25.8
world,1994,24.9
world,1995,23.8
world,1996,23
world,1997,22.8
world,1998,22.9
world,1999,22.4
world,2000,21.7
world,2001,21.1
world,2002,20.2
world,2003,19.4
world,2004,18.2
world,2005,16.9
world,2006,16.4
world,2007,15.5
world,2008,15
world,2009,14.4
world,2010,13.3
world,2011,12
world,2012,11.3
world,2013,10.2
world,2014,9.7
world,2015,9.2
world,2016,8.8
world,2017,8.4
world,2018,8
