geo,time,si_pov_mdim_17
afg,2016,56.4
afg,2020,53.8
ago,2015,64.3
alb,2017,54.8
alb,2018,52.4
alb,2019,49.4
arm,2018,25.5
arm,2020,20
aut,2010,22.4
aut,2011,22.5
aut,2012,21.7
aut,2013,24.2
aut,2014,23.8
aut,2015,22.7
aut,2016,20.6
aut,2017,24
aut,2018,21.7
aut,2019,19.1
aut,2020,22.9
bel,2010,23.2
bel,2011,22.9
bel,2012,22.6
bel,2013,21.5
bel,2014,22.3
bel,2015,22.7
bel,2016,21.1
bel,2017,21.5
bel,2018,22.4
bel,2019,22.2
bel,2020,19.9
bgr,2010,49.8
bgr,2011,51.1
bgr,2012,51.7
bgr,2013,51.5
bgr,2014,45.2
bgr,2015,43.1
bgr,2016,45.5
bgr,2017,41
bgr,2018,33.4
bgr,2019,34
bgr,2020,32.8
btn,2010,33.9
btn,2017,7.2
chl,2011,26.4
chl,2013,23.4
chl,2015,23.3
chl,2017,22.9
cri,2010,38.1
cri,2011,36.3
cri,2012,29.1
cri,2013,32.2
cri,2014,31.6
cri,2015,32.8
cri,2016,32.2
cri,2017,29.7
cri,2018,31.2
cri,2019,27.6
cyp,2010,21.8
cyp,2011,23.1
cyp,2012,26.8
cyp,2013,27.1
cyp,2014,24.6
cyp,2015,29.2
cyp,2016,29.3
cyp,2017,25.1
cyp,2018,25.1
cyp,2019,23.3
cyp,2020,23.4
cze,2010,18.9
cze,2011,19.1
cze,2012,18.3
cze,2013,15.8
cze,2014,19.3
cze,2015,18.4
cze,2016,17.8
cze,2017,14.3
cze,2018,12.6
cze,2019,12.9
cze,2020,13
deu,2010,21.7
deu,2011,19.9
deu,2012,18.2
deu,2013,19.1
deu,2014,19.3
deu,2015,18.6
deu,2016,18.9
deu,2017,18
deu,2018,17.3
deu,2019,15.1
deu,2020,25.4
dnk,2010,15.1
dnk,2011,16.1
dnk,2012,14.3
dnk,2013,15.4
dnk,2014,14.4
dnk,2015,15.3
dnk,2016,13.6
dnk,2017,14.5
dnk,2018,14.9
dnk,2019,13.6
dnk,2020,12.7
dom,2010,44.7
dom,2011,43.2
dom,2012,43.5
dom,2013,42.3
dom,2014,37.2
dom,2015,33.9
dom,2016,31
dom,2017,28.1
dom,2018,26.7
dom,2019,23.1
esp,2010,33.3
esp,2011,31.6
esp,2012,31.4
esp,2013,31.9
esp,2014,35.4
esp,2015,33.4
esp,2016,31.7
esp,2017,31
esp,2018,28.8
esp,2019,30.1
esp,2020,31.2
est,2010,24
est,2011,24.7
est,2012,21.8
est,2013,22
est,2014,23.5
est,2015,21.8
est,2016,20.7
est,2017,18.5
est,2018,17.7
est,2019,19.9
est,2020,17.8
fin,2010,14.2
fin,2011,16.4
fin,2012,15.1
fin,2013,12.8
fin,2014,15.5
fin,2015,14.8
fin,2016,15.1
fin,2017,15
fin,2018,15.6
fin,2019,13.7
fin,2020,15.1
fra,2010,22.9
fra,2011,22.6
fra,2012,22.8
fra,2013,20.2
fra,2014,21.4
fra,2015,20.9
fra,2016,22.1
fra,2017,21.6
fra,2018,22.6
fra,2019,21.8
fra,2020,21
grc,2010,28.7
grc,2011,29.6
grc,2012,35.1
grc,2013,37.6
grc,2014,36
grc,2015,36.6
grc,2016,36.3
grc,2017,35.7
grc,2018,32.2
grc,2019,29.7
grc,2020,30.5
gtm,2014,67.92
hrv,2010,29.4
hrv,2011,31.1
hrv,2012,34.8
hrv,2013,29.2
hrv,2014,28.4
hrv,2015,26.9
hrv,2016,25.4
hrv,2017,25.6
hrv,2018,23.1
hrv,2019,20.1
hrv,2020,19.7
hun,2010,39.7
hun,2011,40.1
hun,2012,41.8
hun,2013,43.6
hun,2014,42.1
hun,2015,35.5
hun,2016,33.8
hun,2017,31.5
hun,2018,23.1
hun,2019,21.6
hun,2020,18
irl,2010,34.1
irl,2011,33.8
irl,2012,32.3
irl,2013,34.1
irl,2014,29.7
irl,2015,27.9
irl,2016,26.8
irl,2017,24
irl,2018,23.1
irl,2019,23
irl,2020,24.2
isl,2010,16.9
isl,2011,17
isl,2012,16.5
isl,2013,17
isl,2014,14
isl,2015,15.3
isl,2016,14.8
isl,2017,14.6
isl,2018,13.1
ita,2010,29.5
ita,2011,31.2
ita,2012,34
ita,2013,31.7
ita,2014,31.9
ita,2015,33.4
ita,2016,32.8
ita,2017,31.5
ita,2018,30.6
ita,2019,27.7
kos,2018,57.1
lka,2016,2.63238
lka,2019,16.9
ltu,2010,35.8
ltu,2011,33.7
ltu,2012,30.7
ltu,2013,34.8
ltu,2014,28.5
ltu,2015,31.5
ltu,2016,32.4
ltu,2017,31.2
ltu,2018,27.4
ltu,2019,26.8
ltu,2020,22.7
lux,2010,22.3
lux,2011,21.1
lux,2012,24.1
