geo,time,si_rmt_cost_ob_zs
ago,2016,16.68806
ago,2017,27.64125
ago,2018,26.94069
ago,2019,16.05333
ago,2020,19.09386
are,2011,3.89652
are,2012,4.05774
are,2013,3.89
are,2014,3.13806
are,2015,3.15499
are,2016,3.56622
are,2017,4.32115
are,2018,3.708
are,2019,3.47272
are,2020,4.09921
aus,2011,13.64045
aus,2012,10.84349
aus,2013,10.19
aus,2014,8.88198
aus,2015,9.2438
aus,2016,9.6607
aus,2017,8.84054
aus,2018,7.76595
aus,2019,7.4222
aus,2020,7.21487
aut,2012,9.4877
aut,2013,9.47
aut,2014,6.46019
aut,2015,6.24837
aut,2016,6.70316
aut,2017,6.90504
aut,2018,6.44054
aut,2019,6.18257
aut,2020,6.36644
bel,2011,9.53548
bel,2012,7.62205
bel,2013,9.95
bel,2014,7.4264
bel,2015,6.97182
bel,2016,7.33915
bel,2017,7.49752
bel,2018,7.31254
bel,2019,7.78686
bel,2020,7.58078
bhr,2016,3.20233
bhr,2017,3.16546
bhr,2018,3.27399
bhr,2019,3.7226
bhr,2020,3.32742
bra,2011,11.12235
bra,2012,5.88259
bra,2013,5.94
bra,2014,5.25517
bra,2015,7.40248
bra,2016,5.72976
bra,2017,4.64215
bra,2018,6.47155
bra,2019,6.57106
bra,2020,9.7732
can,2011,11.87065
can,2012,10.05511
can,2013,10.97
can,2014,9.30714
can,2015,9.07544
can,2016,8.36471
can,2017,7.28556
can,2018,8.0162
can,2019,7.93849
can,2020,6.26783
che,2011,11.65352
che,2012,11.10641
che,2013,14.51
che,2014,15.29942
che,2015,15.37551
che,2016,12.91478
che,2017,9.88895
che,2018,9.06218
che,2019,8.44591
che,2020,8.25257
chl,2011,2.89714
chl,2012,6.54161
chl,2013,4.92
chl,2014,4.33713
chl,2015,5.22073
chl,2016,3.49555
chl,2017,4.25474
chl,2018,4.58648
chl,2019,2.64391
chl,2020,7.56706
civ,2016,5.00115
civ,2017,2.44016
civ,2018,3.71263
civ,2019,3.39355
civ,2020,2.70753
cmr,2016,6.91756
cmr,2017,15.38035
cmr,2018,14.86146
cmr,2019,10.192
cmr,2020,14.68696
cri,2011,3.91
cri,2012,3.31533
cri,2013,3.48
cri,2014,3.93333
cri,2015,3.12417
cri,2016,3.12458
cri,2017,3.33292
cri,2018,5.49955
cri,2019,5.83333
cri,2020,5.125
cze,2011,11.47225
cze,2012,13.01445
cze,2013,11.67
cze,2014,9.64006
cze,2015,9.0708
cze,2016,10.23155
cze,2017,9.85488
cze,2018,8.87625
cze,2019,8.98213
cze,2020,8.71048
deu,2011,12.63738
deu,2012,10.93887
deu,2013,9.01
deu,2014,7.76344
deu,2015,7.31724
deu,2016,8.55863
deu,2017,7.56913
deu,2018,7.30593
deu,2019,7.63796
deu,2020,7.47437
dom,2011,13.03889
dom,2012,8.69306
dom,2013,8.19
dom,2014,8.63919
dom,2015,13.41151
dom,2016,8.43148
