geo,time,si_spr_pc40
alb,2014,3.9
alb,2017,5.02
are,2013,34.83
are,2018,47.64
arg,2016,7.3
arg,2020,5.78
arm,2013,3.68
arm,2018,3.91
aus,2003,19.43
aus,2010,26.09
aut,2014,29.26
aut,2019,30.92
bel,2014,27.03
bel,2019,30.07
ben,2011,1.06
ben,2015,0.87
bfa,2009,1.03
bfa,2014,1.37
bgd,2010,1.89
bgd,2016,2.05
bgr,2015,7.28
bgr,2019,10.25
blr,2014,12.24
blr,2019,12.94
bol,2015,4.46
bol,2020,4.98
bra,2014,5.71
bra,2019,5.32
btn,2012,3.52
btn,2017,3.81
bwa,2009,2.12
bwa,2015,2.18
can,2012,27.41
can,2017,29.44
che,2013,34.94
che,2018,34.35
chl,2015,8.85
chl,2020,9.73
chn,2014,4.26
chn,2019,6.04
civ,2008,1.41
civ,2015,1.48
cmr,2007,1.48
cmr,2014,1.64
cod,2004,0.29
cod,2012,0.58
cog,2005,0.91
cog,2011,1.13
col,2015,4.2
col,2020,3.09
cri,2015,7.16
cri,2020,6.09
cyp,2014,19.31
cyp,2019,24.84
cze,2014,16.94
cze,2019,21.01
deu,2013,27.53
deu,2018,29.98
dnk,2014,29.89
dnk,2019,32.46
dom,2011,4.18
dom,2016,5.39
ecu,2015,4.7
ecu,2020,3.93
egy,2012,3.15
egy,2017,2.76
esp,2014,15.02
esp,2019,18.29
est,2014,13.54
est,2019,19.92
eth,2010,1.44
eth,2015,1.51
fin,2014,29
fin,2019,30.67
fji,2008,3.98
fji,2013,4.21
fra,2013,26.9
fra,2018,28.23
gbr,2012,21.45
gbr,2017,22.75
geo,2015,3.42
geo,2020,3.32
gha,2012,2.44
gha,2016,2.42
gin,2007,0.95
gin,2012,1.4
gmb,2010,1.85
gmb,2015,2.32
grc,2014,9.21
grc,2019,11.8
hnd,2014,2.28
hnd,2019,2.39
hrv,2014,9.18
hrv,2019,13.53
hun,2014,10.64
hun,2019,14.75
idn,2015,2.63
idn,2019,3.15
ind,2004,1.43
ind,2011,1.78
irl,2013,21.01
irl,2018,29.15
irn,2014,6.43
irn,2019,5.66
irq,2006,3.36
irq,2012,3.44
isl,2012,26.8
isl,2017,35.29
isr,2013,13.21
isr,2018,15.83
ita,2013,18.43
ita,2018,19.4
jor,2008,5.1
jor,2010,5.6
kaz,2013,7.47
kaz,2018,7.36
kgz,2015,3.2
kgz,2020,3.32
kor,2012,19.9
kor,2016,21.98
kos,2012,4.43
kos,2017,4.98
lao,2012,2.08
lao,2018,2.34
lka,2012,3.36
lka,2016,3.81
ltu,2014,10.05
ltu,2019,16.11
lux,2014,37.06
lux,2019,35.81
lva,2014,10.15
lva,2019,14.37
mda,2014,5.53
mda,2019,6.02
mdg,2010,0.65
mdg,2012,0.59
mex,2016,4.29
mex,2020,4.41
mkd,2013,3.96
mkd,2018,5.57
mli,2006,1.08
mli,2009,1.18
mlt,2014,23.14
mlt,2019,26.74
mmr,2015,2.86
mmr,2017,3.43
mne,2013,5.21
mne,2018,6.16
mng,2014,5.53
mng,2018,4.76
moz,2008,0.71
moz,2014,0.77
mrt,2008,2.36
mrt,2014,2.86
mus,2012,5.6
mus,2017,6.4
mwi,2016,0.84
mwi,2019,0.76
mys,2011,7.88
mys,2015,10.98
nam,2009,1.72
nam,2015,2.36
ner,2011,1.26
ner,2014,1.26
nic,2009,2.91
nic,2014,3.84
nld,2014,27.39
nld,2019,31.1
nor,2014,40.75
nor,2019,40.27
npl,2003,1.15
npl,2010,2
pak,2013,2.46
pak,2018,2.63
pan,2014,6.15
pan,2019,7.84
per,2015,4.7
per,2020,3.88
phl,2015,2.81
phl,2018,3.36
pol,2013,11.48
pol,2018,16
prt,2014,12.15
prt,2019,16.21
pry,2015,5.66
pry,2020,5.82
pse,2011,5.48
pse,2016,5.21
rou,2014,4.36
rou,2019,8.68
rus,2015,9.06
rus,2020,9.35
rwa,2013,0.99
rwa,2016,1
sen,2005,1.3
sen,2011,1.28
sle,2011,1.12
sle,2018,1.35
slv,2014,3.88
slv,2019,5.09
srb,2013,4.31
srb,2017,5.02
svk,2014,12.88
svk,2019,16.03
svn,2014,20.27
svn,2019,24.08
swe,2014,29.24
swe,2019,30.84
swz,2009,1.09
swz,2016,1.5
syc,2013,8.38
syc,2018,10
tgo,2011,0.87
tgo,2015,0.96
tha,2015,7.29
tha,2019,7.48
tjk,2009,3
tjk,2015,3.25
ton,2009,4.31
ton,2015,4.59
tun,2010,4.33
tun,2015,5.62
tur,2014,7.28
tur,2019,7.6
tza,2011,1.19
tza,2018,1.18
uga,2016,1.28
uga,2019,1.28
ukr,2015,7.18
ukr,2020,8.79
ury,2014,10.66
ury,2019,10.84
usa,2014,24.68
usa,2019,30.18
vnm,2014,4
vnm,2018,5
zaf,2010,2.13
zaf,2014,2
zmb,2010,0.66
zmb,2015,0.64
zwe,2011,1.86
zwe,2017,1.48
