geo,time,si_spr_pcap
alb,2014,8.4
alb,2017,10.28
are,2013,76.3
are,2018,82.96
arg,2016,19.89
arg,2020,16.14
arm,2013,6.84
arm,2018,7.7
aus,2003,39.87
aus,2010,54.66
aut,2014,55.25
aut,2019,58.48
bel,2014,48.39
bel,2019,51.9
ben,2011,2.7
ben,2015,2.71
bfa,2009,2.38
bfa,2014,2.75
bgd,2010,3.55
bgd,2016,3.89
bgr,2015,17.22
bgr,2019,24.53
blr,2014,21.02
blr,2019,21.25
bol,2015,13.82
bol,2020,13.69
bra,2014,20.25
bra,2019,20.39
btn,2012,8.04
btn,2017,8.74
bwa,2009,9.94
bwa,2015,7.97
can,2012,56.97
can,2017,60.39
che,2013,68.99
che,2018,69.28
chl,2015,22.96
chl,2020,25.97
chn,2014,10.2
chn,2019,13.82
civ,2008,3.78
civ,2015,3.72
cmr,2007,3.88
cmr,2014,5.05
cod,2004,0.74
cod,2012,1.5
cog,2005,2.69
cog,2011,3.65
col,2015,14.33
col,2020,12.11
cri,2015,22.55
cri,2020,20.12
cyp,2014,39.93
cyp,2019,46.53
cze,2014,27.95
cze,2019,34.21
deu,2013,52.56
deu,2018,57.47
dnk,2014,52.62
dnk,2019,55.93
dom,2011,12.58
dom,2016,15.49
ecu,2015,13.76
ecu,2020,12.08
egy,2012,5.37
egy,2017,5.06
esp,2014,34.91
esp,2019,39.73
est,2014,28.47
est,2019,38.27
eth,2010,2.8
eth,2015,3.11
fin,2014,49.28
fin,2019,53.07
fji,2008,9.15
fji,2013,8.94
fra,2013,51.99
fra,2018,54.02
gbr,2012,43.35
gbr,2017,49.43
geo,2015,7.57
geo,2020,7.02
gha,2012,6.45
gha,2016,6.78
gin,2007,2.23
gin,2012,2.84
gmb,2010,5.01
gmb,2015,4.89
grc,2014,21.01
grc,2019,24.41
hnd,2014,8.01
hnd,2019,8.27
hrv,2014,18.5
hrv,2019,25
hun,2014,20.48
hun,2019,27.57
idn,2015,5.97
idn,2019,6.93
ind,2004,2.76
ind,2011,3.55
irl,2013,42.5
irl,2018,53.47
irn,2014,14.96
irn,2019,13.95
irq,2006,5.94
irq,2012,6.28
isl,2012,45.84
isl,2017,59.24
isr,2013,34.27
isr,2018,39.39
ita,2013,39.98
ita,2018,42.71
jor,2008,9.81
jor,2010,11.03
kaz,2013,12.76
kaz,2018,12.61
kgz,2015,5.58
kgz,2020,5.9
kor,2012,39.22
kor,2016,42.88
kos,2012,7.97
kos,2017,8.75
lao,2012,4.36
lao,2018,5.25
lka,2012,7.38
lka,2016,8.5
ltu,2014,22.87
ltu,2019,33.91
lux,2014,71.87
lux,2019,76.81
lva,2014,21.71
lva,2019,30.04
mda,2014,9.44
mda,2019,10.01
mdg,2010,1.59
mdg,2012,1.49
mex,2016,12.66
mex,2020,12.32
mkd,2013,9.46
mkd,2018,12.04
mli,2006,2.49
mli,2009,2.36
mlt,2014,42.02
mlt,2019,50.48
mmr,2015,6.13
mmr,2017,6.29
mne,2013,13.37
mne,2018,14.69
mng,2014,10.7
mng,2018,9.42
moz,2008,1.92
moz,2014,2.6
mrt,2008,5.25
mrt,2014,5.74
mus,2012,12.32
mus,2017,13.62
mwi,2016,2.06
mwi,2019,1.71
mys,2011,21.76
mys,2015,27.57
nam,2009,7.63
nam,2015,11.02
ner,2011,2.33
ner,2014,2.57
nic,2009,7.82
nic,2014,10.72
nld,2014,48.78
nld,2019,56.03
nor,2014,70.05
nor,2019,71.3
npl,2003,2.85
npl,2010,3.91
pak,2013,4.35
pak,2018,4.63
pan,2014,21.52
pan,2019,26.79
per,2015,12.86
per,2020,10.8
phl,2015,7.57
phl,2018,8.36
pol,2013,23.4
pol,2018,29.87
prt,2014,26
prt,2019,31.89
pry,2015,17.32
pry,2020,15.67
pse,2011,11.21
pse,2016,10.86
rou,2014,10.54
rou,2019,19.79
rus,2015,20.1
rus,2020,19.64
rwa,2013,2.55
rwa,2016,2.54
sen,2005,3.07
sen,2011,3.12
sle,2011,2.26
sle,2018,2.75
slv,2014,9.75
slv,2019,11.87
srb,2013,11.38
srb,2017,12.07
svk,2014,22.31
svk,2019,25.74
svn,2014,33.8
svn,2019,38.84
swe,2014,52.55
swe,2019,56.84
swz,2009,3.8
swz,2016,5.73
syc,2013,22.04
syc,2018,20.33
tgo,2011,2.58
tgo,2015,2.64
tha,2015,15.53
tha,2019,15.59
tjk,2009,5.7
tjk,2015,6.68
ton,2009,9.72
ton,2015,10.07
tun,2010,9.45
tun,2015,11.17
tur,2014,18.23
tur,2019,19.61
tza,2011,2.57
tza,2018,2.72
uga,2016,3.2
uga,2019,3.18
ukr,2015,11.82
ukr,2020,14.46
ury,2014,26.64
ury,2019,26.63
usa,2014,63.92
usa,2019,78.8
vnm,2014,8.39
vnm,2018,10.78
zaf,2010,11.87
zaf,2014,11.18
zmb,2010,2.48
zmb,2015,2.87
zwe,2011,4.85
zwe,2017,3.92
